Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"Ja, es ist mein|erster Tag hier.","Dann willkommen an unserem|College, ich bin Miss Yuki.",1,0,0,
0,0,0,,"Seltsam, dass Sie nicht|von mir gehört haben.",Habe ich aber nicht. Ich bin Miss Yuki.,1,0,1,
0,0,0,,"Ja, Miss, neue Schulen|sind immer beängstigend.","Keine Angst, alles wird gut.|Ich bin Miss Yuki.",1,0,-1,
1,0,0,,"Schön, Sie kennen-|zulernen, Miss Yuki.","Die Freude ist ganz meinerseits, junge Dame.|Aber sei in der Bibliothek bitte leise.",2,1,0,
1,0,0,,"Yo, Yuki.",(Sie runzelt die Stirn.) Miss Yuki für dich.|Sei jedenfalls in der Bibliothek bitte leise.,2,-1,0,
1,0,0,!Common_PlayerRestrained,(Ihre Hand schütteln.),(Sie antwortet mit einem festen Händedruck.)|Sei in der Bibliothek bitte leise.,2,0,0,
2,0,0,,(Still nicken.),Ausgezeichnet. Suchst du nach|einem bestimmten Buch?,100,1,-1,
2,0,0,,"Ja, ja, ich weiß.",(Sie schaut dich böse an.)|Suchst du nach einem bestimmten Buch?,100,-1,1,
2,0,0,,Ich werde still sein.,Sehr gut. Suchst du also nach|einem bestimmten Buch?,100,0,0,
5,0,0,Common_PlayerRestrained,(An deinen Fesseln zerren.),"Hier, ich helfe dir, junge Dame.|(Sie lässt dich frei.) Du darfst gehen.",6,0,0,TestRelease()
5,0,0,Common_PlayerGagged,@Numn ngnnnuh!,"Hier, ich helfe dir, junge Dame.|(Sie lässt dich frei.) Du darfst gehen.",6,0,0,TestRelease()
5,0,0,,"Können Sie mir|helfen, Miss?","Also gut, ich helfe dir, junge Dame.|(Sie lässt dich frei.) Du darfst jetzt gehen.",6,0,0,TestRelease()
5,0,0,,Jennifer hat mir|das angetan.,"Ich bin erstaunt, dass sie so etwas tun würde.|(Sie lässt dich frei.) Du darfst jetzt gehen.",6,0,0,TestRelease()
6,0,0,,(Nicken und gehen.),,6,0,0,PlayerLeaveForBook()
6,0,0,,"Sehr wohl, Miss.|(Weggehen.)",,6,0,0,PlayerLeaveForBook()
10,0,0,,Ich erinnere|mich nicht.,"Und ob du dich erinnerst, mein Schoßhündchen.|(Sie packt dich am Haar und setzt sich auf den Tisch.)",700,0,0,StartPleasure()
10,0,0,,"Ja, Miss Yuki.|Ich erinnere mich.","Sehr gut, mein Schoßhündchen, komm näher.|(Sie packt dich am Haar und setzt sich auf den Tisch.)",700,1,-1,StartPleasure()
10,0,0,,Eine Abmachung? Sie|machen wohl Witze.,(Sie runzelt die Stirn.) Wenn du das witzig findest.|(Sie packt dich am Haar und setzt sich auf den Tisch.),700,-1,1,StartPleasure()
20,0,0,,Eine Schülerin|hat mir geholfen.,"Du hattest nochmal Glück, junge Dame.|Versprichst du mir jetzt, artig zu sein?",22,0,0,
20,0,0,,Eine Lehrerin|hat mir geholfen.,"Du hattest nochmal Glück, junge Dame.|Versprichst du mir jetzt, artig zu sein?",22,0,0,
20,0,0,,Ich habe mich|mühsam freigekämpft.,"Beeindruckend. Meinst du, du könntest|dich aus jeder Fesselung befreien?",21,1,0,
20,0,0,,Kinderkram! Ich bin|Entfesselungskünstlerin.,"Glaube ich nicht. Meinst du, du könntest|dich aus jeder Fesselung befreien?",21,0,1,
20,0,0,,Das geht Sie 'nen|Scheißdreck an.,"Mal sehen, ob du hieraus entkommst, junge Dame.|(Sie packt dich und legt dir einen Monohandschuh an.)",300,-1,1,RestrainPlayer()
21,0,0,,Ich komme aus|allem heraus!,"Na gut, junge Dame, versuch's mal hiermit.|(Sie packt dich und legt dir einen Monohandschuh an.)",300,0,1,RestrainPlayer()
21,0,0,,Nein. Ich hatte heute|Morgen sehr viel Glück.,"Du bist auf jeden Fall eine besondere Schülerin.|Versprichst du mir jetzt, artig zu sein?",22,0,0,
22,0,0,,"Okay, versprochen.",Sehr schön. Suchst du nach einem Buch?,100,0,0,NoSecondChance()
22,0,0,,"Natürlich. Ich verspreche,|brav zu sein.",Ausgezeichnet. Suchst du nach einem Buch?,100,1,0,NoSecondChance()
22,0,0,,"Ja, ja, ja.|Versprochen.",Wie dem auch sei. Suchst du nach einem Buch?,100,-1,0,NoSecondChance()
22,0,0,,Das verspreche|ich niemals!,"Wenn du dich nicht benimmst, hast du Arrest.|(Sie packt dich und legt dir einen Monohandschuh an.)",300,-1,1,RestrainPlayer()
30,0,0,,"Ja, Miss, ich habe|meine Lektion gelernt.","Gut. Jetzt verprich mir, leise zu sein und|in der Bibliothek keinen Ärger zu machen.",31,0,-1,
30,0,0,,Diese Stunde im Keller|ging schnell vorbei.,"(Sie runzelt die Stirn.) Nächstes Mal wird's ein ganzer|Tag. Versprichst du mir jetzt, artig zu sein?",31,0,1,
30,0,0,,"Tut mir leid, dass ich Sie|nicht befriedigen konnte.","Du bekommst eine zweite Chance, Schoßhündchen.|(Sie packt dich am Haar und setzt sich auf den Tisch.)",700,0,-1,StartPleasure()
30,0,0,,Ich kann Ihnen bestimmt|einen Orgasmus geben.,"Ach wirklich? Ich bin gespannt, Schoßhündchen.|(Sie packt dich am Haar und setzt sich auf den Tisch.)",700,0,1,StartPleasure()
31,0,0,,"Okay, versprochen.",Sehr schön. Suchst du nach einem Buch?,100,0,0,NoSecondChance()
31,0,0,,"Natürlich. Ich verspreche,|brav zu sein.",Ausgezeichnet. Suchst du nach einem Buch?,100,1,0,NoSecondChance()
31,0,0,,"Ja, ja, ja.|Versprochen.",Wie dem auch sei. Suchst du nach einem Buch?,100,-1,0,NoSecondChance()
31,0,0,,Das verspreche|ich niemals!,"Wenn du dich nicht benimmst, hast du Arrest.|(Sie packt dich und legt dir einen Monohandschuh an.)",300,-1,1,RestrainPlayer()
40,0,0,,Ärger ist mein|zweiter Vorname.,"(Sie seufzt.) Versprich mir, leise zu sein und|in der Bibliothek keinen Ärger zu machen.",41,0,1,
40,0,0,,Ich mache doch|gar keinen Ärger.,"Nun gut. Versprich mir, leise zu sein und|in der Bibliothek keinen Ärger zu machen.",41,0,0,
40,0,0,,"Ja, Miss, ich bin jetzt|ein braves Mädchen.","Sehr gut. Versprich mir, leise zu sein und|in der Bibliothek keinen Ärger zu machen.",41,0,-1,
41,0,0,,"Okay, versprochen.",Sehr schön. Suchst du nach einem Buch?,100,0,0,NoSecondChance()
41,0,0,,"Natürlich. Ich verspreche,|brav zu sein.",Ausgezeichnet. Suchst du nach einem Buch?,100,1,0,NoSecondChance()
41,0,0,,"Ja, ja, ja.|Versprochen.",Wie dem auch sei. Suchst du nach einem Buch?,100,-1,0,NoSecondChance()
41,0,0,,Das verspreche|ich niemals!,"Wenn du dich nicht benimmst, hast du Arrest.|(Sie packt dich und legt dir einen Monohandschuh an.)",300,-1,1,RestrainPlayer()
50,0,0,,Gut. Grüßen Sie|sie von mir.,"Das ist nicht lustig, junge Dame.|Suchst du nach einem Buch?",100,-1,1,
50,0,0,,"Ja, wir haben uns|schon kennengelernt.",Davon habe ich gehört.|Suchst du nach einem Buch?,100,0,0,
50,0,0,,Mein Ruf eilt|mir also voraus.,"Kein sehr guter Ruf, würde ich meinen.|Suchst du nach einem Buch?",100,0,1,
50,0,0,,Mildred ist 'ne|verdammte Hexe.,"Ich sollte dir den Mund einseifen.|Egal, suchst du nach einem Buch?",100,-2,0,
50,0,0,,Was ich getan|habe tut mir leid.,"Es ist nicht zu spät, ein braves Mädchen zu sein.|Suchst du nach einem bestimmten Buch?",100,1,-1,
60,0,0,,"Ja, das Nachsitzen|war gerechtfertigt.",Du hast eine gute Einstellung.|Suchst du nach einem Buch?,100,1,0,
60,0,0,,"Ja, Miss, ich werde|mich nicht mehr prügeln.","Sehr gut, junge Dame.|Suchst du nach einem Buch?",100,1,-1,
60,0,0,,Sie hat angefangen!,Das höre ich mir nicht noch einmal an.|Suchst du nach einem Buch?,100,-1,1,
60,0,0,,(Schweigend nicken.),"Gut. Also, suchst du nach einem Buch?",100,0,-1,
70,0,0,,"Ja, das Nachsitzen|war gerechtfertigt.",Du hast eine gute Einstellung.|Suchst du nach einem Buch?,100,1,0,
70,0,0,,"Ja, Miss, ich werde|keinen Ärger mehr machen.","Sehr gut, junge Dame.|Suchst du nach einem Buch?",100,1,-1,
70,0,0,,Ich bereue nichts!,So ein vorlautes kleines Balg.|Suchst du nach einem Buch?,100,-1,1,
70,0,0,,(Schweigend nicken.),"Gut. Also, suchst du nach einem Buch?",100,0,-1,
80,0,0,,Da drin hat|was gefunkelt.,Neugierige Katzen verbrennen sich die Tatzen.|Versuch das bitte nicht nochmal.,81,-1,0,
80,0,0,,Ich hab nach|Käse gesucht.,Und dann hat die Mausefalle zugeschnappt?|Versuch das bitte nicht nochmal.,81,-2,0,
80,0,0,PenInHole,Ich hab meinen|Stift da drin verloren.,"Du armes, tollpatschiges kleines Mädchen.|Du brauchst also Hilfe, da ran zu kommen?",83,0,-1,
80,0,0,,Eine schwarzhaarige|hat mich hineingedrückt.,"Sidney! (Sie ballt ihre Hände zu Fäusten.)|Junge Dame, du musst lernen, dich zu wehren.",82,0,-1,
81,0,0,,"Ja, Miss.|Versprochen.","Sehr gut, junge Dame. (Ihr geht zu ihrem Schreibtisch.)|Suchst du nach einem bestimmten Buch?",100,1,-1,
81,0,0,,Es wird nicht|wieder vorkommen.,"Nun gut, junge Dame. (Ihr geht zu ihrem Schreibtisch.)|Suchst du nach einem bestimmten Buch?",100,0,0,
81,0,0,,"Ja, ja, ja. Ich tu's|nicht nochmal.",Deine Haltung ist dürftig. (Ihr geht zu ihrem|Schreibtisch.) Suchst du nach einem bestimmten Buch?,100,-1,1,
81,0,0,,"Ja, das war dämlich.|Ich tu's nicht nochmal.","Wohl wahr, junge Dame. (Ihr geht zu ihrem Schreib-|tisch.) Also, suchst du nach einem bestimmten Buch?",100,1,0,
82,0,0,,Das ist ein|sehr guter Rat.,"Durchaus. (Ihr geht beide zu ihrem Schreibtisch.)|Also, suchst du nach einem bestimmten Buch?",100,1,0,
82,0,0,,Keine Sorge. Das nächste|Mal mach ich sie platt.,"Standhaftigkeit sollte genügen, Fräulein.|(Ihr geht zu ihrem Schreibtisch.) Suchst du ein Buch?",100,-1,1,
82,0,0,,"Könnten Sie mir helfen,|mich zu verteidigen?","Ja, ich helfe dir später. (Ihr geht zu ihrem Schreibtisch.)|Also, suchst du nach einem bestimmten Buch?",100,1,-2,
82,0,0,,"Ja, ich weiß.","Nun gut. (Ihr geht beide zu ihrem Schreibtisch.)|Also, suchst du nach einem bestimmten Buch?",100,0,0,
83,0,0,,"Ja, können Sie meinen|Stift rausholen?","Ich glaube, ich kann ihn erkennen.|Es wird nicht einfach, da ranzukommen.",240,0,0,
