Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"En effet,|c'est mon premier jour.","Bienvenue dans notre université.|Je suis le professeur Yuki.",1,0,0,
0,0,0,,Je suis surprise que vous|ne me connaissiez pas.,Je n'ai jamais entendu parlé de toi.|Je suis le professeur Yuki.,1,0,1,
0,0,0,,"Oui Madame, la rentrée|est toujours terrifiante.","N'aie pas peur, tout ira bien.|Je suis le professeur Yuki.",1,0,-1,
1,0,0,,"Ravie de vous rencontrer,|professeur Yuki.",Moi de même jeune fille.|Merci de garder le silence dans la bibliothèque.,2,1,0,
1,0,0,,Salut Yuki.,"(Elle grimace.) C'est professeur Yuki, quoi qu'il en soit.|Je te prie de garder le silence dans la bibliothèque.",2,-1,0,
1,0,0,!Common_PlayerRestrained,(Tu lui serres la main.),"(Elle te serre fermement la main.) A présent,|je te prierais de garder le silence dans la bibliothèque.",2,0,0,
2,0,0,,(Tu acquiesces|en silence.),Parfait.|Tu recherches un livre en particulier ?,100,1,-1,
2,0,0,,"Ouais, ouais...",(Elle te lance un regard furieux.)|Tu recherches un livre en particulier ?,100,-1,1,
2,0,0,,Je ferai attention.,Très bien.|Tu recherches un livre en particulier ?,100,0,0,
5,0,0,Common_PlayerRestrained,(Tu tires sur tes entraves.),"Laissez-moi vous aider ma petite demoiselle.|(Elle te libère.) Tu peux y aller.",6,0,0,TestRelease()
5,0,0,Common_PlayerGagged,@Numn ngnnnuh !,"Laissez-moi vous aider ma petite demoiselle.|(Elle te libère.) Tu peux y aller.",6,0,0,TestRelease()
5,0,0,,"Pouvez-vous m'aider,|Madame ?","Volontiers ma petite demoiselle.|(Elle te libère.) Tu peux y aller à présent.",6,0,0,TestRelease()
5,0,0,,C'est Jennifer.,Ça me surprend beaucoup venant de sa part.|(Elle te libère.) Tu peux y aller à présent.,6,0,0,TestRelease()
6,0,0,,(Tu acquiesces|et tu t'en vas.),,6,0,0,PlayerLeaveForBook()
6,0,0,,Entendu Madame.|(Tu t'en vas.),,6,0,0,PlayerLeaveForBook()
10,0,0,,Ça ne me dit rien.,Je suis sûre que tu vas t'en souvenir.|(Elle saisit ta chevelure et s'assoit sur son bureau.),700,0,0,StartPleasure()
10,0,0,,Oui Madame Yuki.|Je m'en souviens.,"Très bien ma petite chienne, approche.|(Elle saisit ta chevelure et s'assoit sur son bureau.)",700,1,-1,StartPleasure()
10,0,0,,Un marché ?|Vous plaisantez.,(Elle fronce les sourcils.) Tu vas voir si je plaisante.|(Elle saisit ta chevelure et s'assoit sur son bureau.),700,-1,1,StartPleasure()
20,0,0,,Une étudiante est|venu m'aider.,"Tu as eu beaucoup de chance, jeune fille.|Peux-tu me promettre d'être sage à présent ?",22,0,0,
20,0,0,,Un professeur est|venu m'aider.,"Tu as eu beaucoup de chance, jeune fille.|Peux-tu me promettre d'être sage à présent ?",22,0,0,
20,0,0,,J'ai beaucoup lutté.,"C'est assez impressionnant. Alors tu penses que|tu peux t'extirper de n'importe quelle situation ?",21,1,0,
20,0,0,,Facile ! Je suis une|reine de l'évasion !,Je ne te crois pas. Tu penses que tu peux|t'extirper de n'importe quelle situation ?,21,0,1,
20,0,0,,Occupez-vous|de vos fesses.,Voyons voir si notre petite demoiselle peux s'échapper|à présent. (Elle t'attrape et te fait enfiler un fourreau.),300,-1,1,RestrainPlayer()
21,0,0,,Aucun lien|ne m'arrête !,"C'est ce qu'on va voir jeune fille, essaye d'échapper |à ceci. (Elle t'attrape et te fait enfiler un fourreau.)",300,0,1,RestrainPlayer()
21,0,0,,Non. J'ai eu beaucoup|de chance ce matin.,Tu sors de l'ordinaire.|Peux-tu me promettre d'être sage à présent ?,22,0,0,
22,0,0,,"D'accord,|je vous le promets.",Très bien.|De quel livre as-tu besoin ?,100,0,0,NoSecondChance()
22,0,0,,"C'est entendu, je vous|promets d'être sage.",Parfait.|De quel livre as-tu besoin ?,100,1,0,NoSecondChance()
22,0,0,,"Ouais, ouais...|je vous le promets.",Quoi qu'il en soit.|De quel livre as-tu besoin ?,100,-1,0,NoSecondChance()
22,0,0,,Jamais de la vie !,"Si tu ne sais pas te tenir, tu resteras attachée.|(Elle t'attrape et te fait enfiler un fourreau.)",300,-1,1,RestrainPlayer()
30,0,0,,"Oui Madame,|j'ai retenu la leçon.",Bien. Maintenant promet-moi de te tenir|tranquille et de ne plus causer d'ennuis.,31,0,-1,
30,0,0,,Cette heure en isolement|est passée assez vite.,"(Elle grimace.) La prochaine fois ce sera la journée.|Bon, peux-tu me promettre d'être sage à présent ",31,0,1,
30,0,0,,Je suis navrée de ne pas|avoir pu vous satisfaire.,"Voici ta seconde chance ma petit chienne.|(Elle saisit ta chevelure et s'assoit sur son bureau.)",700,0,-1,StartPleasure()
30,0,0,,Je suis sûre que je|peux vous faire jouir.,Ah vraiment ? Voyons cela ma petit chienne.|(Elle saisit ta chevelure et s'assoit sur son bureau.),700,0,1,StartPleasure()
31,0,0,,"D'accord,|je vous le promets.",Très bien.|De quel livre as-tu besoin ?,100,0,0,NoSecondChance()
31,0,0,,"C'est entendu, je vous|promets d'être sage.",Parfait.|De quel livre as-tu besoin ?,100,1,0,NoSecondChance()
31,0,0,,"Ouais, ouais...|je vous le promets.",Quoi qu'il en soit.|De quel livre as-tu besoin ?,100,-1,0,NoSecondChance()
31,0,0,,Jamais de la vie !,"Si tu ne sais pas te tenir, tu resteras attachée.|(Elle t'attrape et te fait enfiler un fourreau.)",300,-1,1,RestrainPlayer()
40,0,0,,"Avoir des problèmes,|c'est ma spécialité.",(Elle soupire.) Promet-moi de te tenir tranquille|et de ne plus causer d'ennuis.,41,0,1,
40,0,0,,Je ne causerai|plus de problèmes.,"Bien, promet-moi de te tenir tranquille|et de ne plus causer d'ennuis.",41,0,0,
40,0,0,,"Oui Madame, je serais|une bonne fille à présent.","Très bien, promet-moi de te tenir tranquille|et de ne plus causer d'ennuis.",41,0,-1,
41,0,0,,"D'accord,|je vous le promets.",Très bien.|De quel livre as-tu besoin ?,100,0,0,NoSecondChance()
41,0,0,,"C'est entendu, je vous|promets d'être sage.",Parfait.|De quel livre as-tu besoin ?,100,1,0,NoSecondChance()
41,0,0,,"Ouais, ouais...|je vous le promets.",Quoi qu'il en soit.|De quel livre as-tu besoin ?,100,-1,0,NoSecondChance()
41,0,0,,Jamais de la vie !,"Si tu ne sais pas te tenir, tu resteras attachée.|(Elle t'attrape et te fait enfiler un fourreau.)",300,-1,1,RestrainPlayer()
50,0,0,,Vous la saluerez|de ma part.,"Ça ne m'amuse pas, jeune fille.|De quel livre as-tu besoin ?",100,-1,1,
50,0,0,,"On s'est déjà rencontrés.",C'est bien ce qu'on m'a dit.|De quel livre as-tu besoin ?,100,0,0,
50,0,0,,On dirait que j'ai|déjà une réputation.,Pas une très flatteuse.|De quel livre as-tu besoin ?,100,0,1,
50,0,0,,Mildred n'est qu'une|vieille sorcière.,"Je devrais te scotcher la bouche.|Quoi qu'il en soit. De quel livre as-tu besoin ?",100,-2,0,
50,0,0,,Je suis désolée pour|mon comportement.,Il n'est pas trop tard pour changer.|Tu recherches un livre en particulier ?,100,1,-1,
60,0,0,,"La retenue était justifiée.",C'est la bonne attitude.|De quel livre as-tu besoin ?,100,1,0,
60,0,0,,"Oui Madame, ça ne|se reproduira plus.",C'est très bien ma petite demoiselle.|De quel livre as-tu besoin ?,100,1,-1,
60,0,0,,Elle m'a cherchée !,Je ne veux pas en entendre davantage.|Quoi qu'il en soit. De quel livre as-tu besoin ?,100,-1,1,
60,0,0,,(Tu acquiesces.),Bien. De quel livre as-tu besoin ?,100,0,-1,
70,0,0,,"La retenue était justifiée.",C'est la bonne attitude.|De quel livre as-tu besoin ?,100,1,0,
70,0,0,,"Oui Madame, ça ne|se reproduira plus.",C'est très bien ma petite demoiselle.|De quel livre as-tu besoin ?,100,1,-1,
70,0,0,,Je ne regrette|rien du tout !,Quelle petite peste arrogante.|Quoi qu'il en soit. De quel livre as-tu besoin ?,100,-1,1,
70,0,0,,(Tu acquiesces.),Bien. De quel livre as-tu besoin ?,100,0,-1,
80,0,0,,J'ai vu quelque chose de|brillant à l'intérieur.,La curiosité est un vilain défaut.|Promets-moi de ne plus jamais recommencer.,81,-1,0,
80,0,0,,J'ai vu du fromage|au fond.,C'est ça et tu as fini piégé par une tapette à souris ?|Promets-moi de ne plus jamais recommencer.,81,-2,0,
