Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,AmandaVictim,Was hab ich|denn getan?,Das weißt du ganz genau! Du hast mich|gefesselt in der Öffentlichkeit zurückgelassen!,10,-1,0,
0,0,0,!AmandaVictim,Was hab ich|denn getan?,Das weißt du ganz genau! Du hast sie|gefesselt in der Öffentlichkeit zurückgelassen!,10,-1,0,
0,0,0,AmandaVictim,"Gib's zu, Mädchen.|Es hat dir gefallen.",Nein! Andere Mädchen haben mich|gefunden und es war sehr demütigend.,20,-1,1,
0,0,0,!AmandaVictim,Sie hatte Spaß.,"Nein! Ein anderer Gast hat sie nackt und|gefesselt gefunden, sie war gedemütigt.",20,-1,0,
0,0,0,AmandaVictim,Es war wohl|nicht so nett.,Nicht nett? Andere Mädchen haben mich|gefunden und es war sehr demütigend.,20,0,0,
0,0,0,!AmandaVictim,Es war wohl|nicht so nett.,"Nicht nett? Ein anderer Gast hat sie nackt und|gefesselt gefunden, sie war gedemütigt.",20,0,0,
0,0,0,,Entschuldigung.,(Sarah tritt vor.) Eine Entschuldigung reicht nicht!|Du musst für deine Taten bezahlen!,30,1,-1,"SwitchFocus(""Sarah"")"
10,0,0,AmandaVictim,"Gib's zu, Mädchen.|Es hat dir gefallen.",Nein! Andere Mädchen haben mich|gefunden und es war sehr demütigend.,20,-1,1,
10,0,0,!AmandaVictim,Sie hatte Spaß.,"Nein! Ein anderer Gast hat sie nackt und|gefesselt gefunden, sie war gedemütigt.",20,-1,0,
10,0,0,AmandaVictim,Es war wohl|nicht so nett.,Nicht nett? Andere Mädchen haben mich|gefunden und es war sehr demütigend.,20,0,0,
10,0,0,!AmandaVictim,Es war wohl|nicht so nett.,"Nicht nett? Ein anderer Gast hat sie nackt und|gefesselt gefunden, sie war gedemütigt.",20,0,0,
10,0,0,,Entschuldigung.,(Sarah tritt vor.) Eine Entschuldigung reicht nicht!|Du musst für deine Taten bezahlen!,30,1,-1,"SwitchFocus(""Sarah"")"
20,0,0,AmandaVictim,"Du hast es verdient,|kleine Schlampe.",(Sarah tritt vor.) Du bist die Schlampe!|Und jetzt wirst du dafür bezahlen!,30,-1,1,"SwitchFocus(""Sarah"")"
20,0,0,!AmandaVictim,"Sie ist 'ne Schlampe,|sie hat's verdient.",(Sarah tritt vor.) Du bist die Schlampe!|Und jetzt wirst du dafür bezahlen!,30,-1,1,"SwitchFocus(""Sarah"")"
20,0,0,,Ich bereue es nicht.,(Sarah tritt vor.) Solltest du aber!|Und jetzt wirst du dafür bezahlen!,30,-1,0,"SwitchFocus(""Sarah"")"
20,0,0,,Es ist nun mal passiert.|Ich muss jetzt los.,"(Sarah tritt vor.) Oh nein, du bleibst hier!|Du sollst dafür bezahlen!",30,0,0,"SwitchFocus(""Sarah"")"
20,0,0,,Entschuldigung.,(Sarah tritt vor.) Eine Entschuldigung reicht nicht!|Du musst für deine Taten bezahlen!,30,1,-1,"SwitchFocus(""Sarah"")"
30,0,0,,Ich zahle. Wie|viel wollt ihr?,"Wie viel? Wir wollen kein|Geld, wir wollen Rache!",40,0,-1,
30,0,0,,Bezahlen? Ich gebe|euch gar nichts.,"Wir wollen gar nichts von|dir, wir wollen Rache!",40,0,0,
30,0,0,,Das ist nicht witzig.|Geht aus dem Weg.,Natürlich ist es nicht witzig.|Es ist Zeit für unsere Rache!,40,-1,1,
30,0,10,,"Ruhe, Sarah.|Ich rede mit ihr.",(Sarah lässt den Kopf sinken und Amanda reden.)|Genug! Leg deine Sachen ab und ergib dich.,60,-1,1,"SwitchFocus(""Amanda"")"
30,0,15,,"Sarah, geh|auf die Knie.","Auf die Knie? Sehr wohl, Miss. (Sie kniet sich|hin und Amanda schaut sie sprachlos an.)",51,0,1,SarahKneel()
40,0,0,,Bitte verzeiht mir.,Ich könnte dir verzeihen. Aber du musst|trotzdem noch dafür bezahlen.,50,1,-1,
40,0,0,,Fickt euch und|eure Rache.,"Große, schmutzige Worte für einen so kleinen|Mund. Du wirst sicher oft geknebelt.",50,-1,0,
40,0,0,,Was wollt ihr von mir?,(Amanda tritt vor.) Erst legst du all deine|Sachen ab und ergibst dich uns.,60,0,0,"SwitchFocus(""Amanda"")"
40,0,15,,"Sarah, geh|auf die Knie.","Auf die Knie? Sehr wohl, Miss. (Sie kniet sich|hin und Amanda schaut sie sprachlos an.)",51,0,1,SarahKneel()
50,0,0,,Was wollt ihr von mir?,(Amanda tritt vor.) Erst legst du all deine|Sachen ab und ergibst dich uns.,60,0,0,"SwitchFocus(""Amanda"")"
50,0,0,,Was ist euer|bescheuerter Plan?,(Amanda tritt vor.) Erst legst du all deine|Sachen ab und ergibst dich uns.,60,-1,0,"SwitchFocus(""Amanda"")"
50,0,0,,"Schließen wir|Frieden, okay?",(Amanda tritt vor.) Oh nein! Leg all deine|Sachen ab und ergib dich uns.,60,0,-1,"SwitchFocus(""Amanda"")"
50,0,15,,"Sarah, geh|auf die Knie.","Auf die Knie? Sehr wohl, Miss. (Sie kniet sich|hin und Amanda schaut sie sprachlos an.)",51,0,1,SarahKneel()
51,0,0,,"Geh mir aus den|Augen, Sklavin.",(Sarah läuft davon und Amanda bleibt zurück.)|SARAH!!! Was zur Hölle? Wir hatten einen Plan!,52,0,1,SarahLeave()
51,0,0,,Braves Kleines.|Jetzt lauf.,(Sarah läuft davon und Amanda bleibt zurück.)|SARAH!!! Was zur Hölle? Wir hatten einen Plan!,52,1,0,SarahLeave()
52,0,0,,"Was für einen|Plan, du Niete?",(Sie beruhigt sich und flüstert.) Na ja...|Ähhh... Wir wollten dich in einen Schrank sperren.,53,-1,0,"CalmDown(""Amanda"")"
52,0,0,,Was war noch|gleich euer Plan?,(Sie beruhigt sich und flüstert.) Na ja...|Ähhh... Wir wollten dich in einen Schrank sperren.,53,0,0,"CalmDown(""Amanda"")"
52,0,0,,"Hau ab, Amanda.|(Amanda allein lassen.)",,52,0,1,"EarlyEnding(""Alone"")"
53,0,10,,Dann landest du jetzt|in diesem Schrank.,Oh bitte! Miss COMMON_PLAYERNAME!|Ich bereue es. Ich versuche das nie wieder.,54,0,1,
53,0,0,,"Tja, war wohl nix. Jetzt geh.|(Amanda in Ruhe lassen.)",,53,0,0,"EarlyEnding(""Alone"")"
54,0,0,,"Gib nach, Amanda. (Sie|in den Schrank schubsen.)","(Du öffnest einen Schrank und schubst sie hinein.)|Bitte nicht, ich bin klaustrophobisch.",55,-1,1,"EnterLocker(""Amanda"")"
54,0,0,,Du schuldest mir aber was.|(Amanda in Ruhe lassen.),,54,2,0,"EarlyEnding(""Alone"")"
55,0,0,,Viel Spaß da drin.|(Die Tür schließen.),(Du schließt und verriegelst den Schrank.)|(Das Wimmern im Inneren ist kaum zu hören.),56,0,0,"CloseLocker(""Amanda"")"
55,0,0,,"Okay, komm raus und lauf.|(Amanda allein lassen.)",,55,1,1,"EarlyEnding(""Alone"")"
56,0,0,,(Die Tür öffnen.),(Sie atmet schwer und sieht dich|flehentlich an.) Bitte lass mich raus.,55,0,0,"OpenLocker(""Amanda"")"
56,0,0,,(Sie zurücklassen|und gehen.),,56,-3,1,"EarlyEnding(""Locker"")"
60,0,0,,Vergesst es. Ich|behalte meine Tasche.,"Das ist deine letzte Chance. Wenn du dich|nicht sofort ergibst, wenden wir Gewalt an.",70,0,0,
60,0,0,,"Verschwindet, Versager.|Ich muss weiter.","Das ist deine letzte Chance. Wenn du dich|nicht sofort ergibst, wenden wir Gewalt an.",70,-1,0,
60,0,0,,"Okay, aber nicht klauen.|(Deine Tasche ablegen.)","Sehr gut, und jetzt zieh dich|aus, bis auf die nackte Haut.",80,1,-1,StealItems()
60,0,0,,"Ja, Miss.|(Deine Tasche ablegen.)","Gutes Mädchen, und jetzt zieh dich|aus, bis auf die nackte Haut.",80,1,-2,StealItems()
60,0,15,,Amanda. Halt die Klappe|und knie vor mir.,"Ähhh... Was, Miss? Knien?|(Sie wird rot und scheint verwirrt.)",71,0,0,"CalmDown(""Amanda"")"
70,0,0,AllowFight,Ihr wollt kämpfen?|Dann lasst uns kämpfen!,,70,0,0,StartFight()
70,0,0,,Dafür bezahlt ihr noch.|(Deine Tasche ablegen.),Halt die Klappe und zieh alles aus.,80,0,0,StealItems()
70,0,0,,"Okay, aber nicht klauen.|(Deine Tasche ablegen.)","Sehr gut, und jetzt zieh dich|aus, bis auf die nackte Haut.",80,0,-1,StealItems()
70,0,15,,Amanda. Halt die Klappe|und knie vor mir.,"Ähhh... Was, Miss? Knien?|(Sie wird rot und scheint verwirrt.)",71,0,0,"CalmDown(""Amanda"")"
71,0,0,,Sei brav und|geh auf die Knie.,"Ja, Miss. Entschuldige, Sarah.|(Sie verbeugt sich und kniet vor dir.)",72,1,0,AmandaKneel()
71,0,0,,Ich wiederhole mich|nicht gern. Auf die Knie.,"Ja, Miss. Sie brauchen sich nicht zu wiederholen.|(Sie verbeugt sich und kniet vor dir.)",72,0,1,AmandaKneel()
72,0,0,,"Gutes Mädchen, jetzt|verrate mir euren Plan.","Es tut mir so leid, Miss. Wir hatten vor,|Sie in ein Schließfach zu sperren.",73,0,0,
72,0,0,,Was hattet ihr verdammt|nochmal vor?,"Es tut mir so leid, Miss. Wir hatten vor,|Sie in ein Schließfach zu sperren.",73,-1,0,
73,0,0,,Danke für deine Ehrlichkeit.|Du darfst jetzt gehen.,"(Als sie geht, ruft Sarah ihr entgeistert hinterher.)|Amy! Du Verräterin! Bleib hier!",74,1,0,AmandaLeave()
73,0,0,,"Gut, jetzt hau ab,|bevor ich mich vergesse.","(Als sie geht, ruft Sarah ihr entgeistert hinterher.)|Amy! Du Verräterin! Bleib hier!",74,0,1,AmandaLeave()
74,0,10,,"Sarah, du landest jetzt|in dem Schließfach.","Das ist heiß, Miss COMMON_PLAYERNAME.|(Sie betritt kichernd das Schließfach.)",75,0,0,"EnterLocker(""Sarah"")"
74,5,0,,"Wetten, du traust dich nicht,|ins Schließfach zu steigen?",So eine Herausforderung kann ich doch nicht ablehnen!|(Sie betritt kichernd das Schließfach.),75,0,1,"EnterLocker(""Sarah"")"
74,0,0,,Nächstes Mal bist du dran.|(Sarah in Ruhe lassen.),,74,0,0,"EarlyEnding(""Alone"")"
75,0,0,,Viel Spaß da drin.|(Die Tür schließen.),(Du schließt und verriegelst den Schrank.)|(Ihr Kichern im Inneren ist kaum zu hören.),76,0,0,"CloseLocker(""Sarah"")"
75,0,0,,"Okay, komm raus und lauf.|(Sarah in Ruhe lassen.)",,75,0,0,"EarlyEnding(""Alone"")"
76,0,0,,(Die Tür öffnen.),(Sie schaut dich lächelnd an.)|Das ist echt atemberaubend.,75,0,0,"OpenLocker(""Sarah"")"
