Tag,Content
BeltForHate,Wir erteilen dir eine Lektion für notgeile Schlampen.|(Sie holt einen metallenen Gürtel aus ihrer Tasche.)
BeltForSub,Wir erteilen dir eine Lektion für notgeile Subs.|(Sie holt einen metallenen Gürtel aus ihrer Tasche.)
BeltForAmandaBelt,Hier kommt die Rache für Amys Gürtel.|(Sie holt einen metallenen Gürtel aus ihrer Tasche.)
BeltForSarahBelt,Hier kommt die Rache für meinen Gürtel.|(Sie holt einen metallenen Gürtel aus ihrer Tasche.)
BeltAmanda,"Er bleibt dran, bis du Amandas Gürtel aufschließt.|Aber jetzt sperren wir dich erstmal ein."
BeltSarah,"Er bleibt dran, bis du meinen Gürtel aufschließt.|Aber jetzt sperren wir dich erstmal ein."
CannotMasturbate,(Du bekommst kaum einen Finger unter den Gürtel.|Du wirst dich nicht befriedigen können.)
LockerNoStrip,"(Amanda verstaut deine Tasche, während Sarah|spricht.) Hast du ein Glück! Wir sperren dich jetzt ein."
CaughtMasturbating,(Die Tür fliegt plötzlich auf und Sarah schreit.)|Oh mein Gott! Wie pervers! Sie hat masturbiert.
LearnLesson,"(Die Tür öffnet sich und Amanda lächelt.)|Also, hast du deine Lektion gelernt?"
Orgasm,"(Du stimmulierst dich und zitterst ekstatisch,|als du einen Orgasmus erlangst.)"
OrgasmEnough,"(Du spielst an dir rum, hast aber keine Ideen mehr.|Für einen zweiten Orgasmus ist es zu unbequem.)"
OrgasmRepeat,"(Als du dich berührst, springt das vibrierende Ei|an und weckt deine Lust auf noch eine Runde.)"
FightDefeat70,"Du kommst nicht gegen uns beide an, Mädchen.|Jetzt sei still und leg deine Sachen ab!"
FightDefeat90,"Du kommst nicht gegen uns beide an, Mädchen.|Jetzt sei still und zieh alles aus!"
FightDefeat140,"Du kommst nicht gegen uns beide an, Mädchen.|Wir legen dir diesen Keuschheitsgürtel an."
FightDefeat180,"Du kommst nicht gegen uns beide an, Mädchen.|Rein in dem Schrank."
LockerListen1,"(Du hörst Amanda reden.) Sarah?|Hörst du mich? Hab keine Angst, ich bin da."
LockerListen2,"(Du hörst Sarah reden.) Hey, Amy!|Meinst du, es gibt solche Schränke für zwei?"
LockerListen3,(Du hörst Amanda reden.) Sarah.|Das war einer unserer dümmsten Pläne überhaupt.
LockerListen4,(Du hörst Sarah leise stöhnen.)|(Sie scheint ihre missliche Lage zu genießen.)
