Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,(In der vorderen|Reihe umsehen.),In der ersten Reihe ist ein freier Sitzplatz.|Gleich neben dem Podium.,10,0,0,
0,0,0,,(In der hinteren|Reihe umsehen.),"In der letzten Reihe ist ein freier Sitzplatz.|Es riecht, als hätte gerade jemand geraucht.",50,0,0,
10,0,0,NatalieLunch,(Die Sitznachbarn|auskundschaften.),Natalie aus dem Kinbaku-Club sitzt gleich nebenan.|Sie schaut mit ungeduldigem Blick auf die Uhr.,20,0,0,
10,0,0,!NatalieLunch,(Die Sitznachbarn|auskundschaften.),Ein braunhaariges Mädchen sitzt gleich nebenan.|Sie schaut mit ungeduldigem Blick auf die Uhr.,20,0,0,
10,0,0,,(In der hinteren|Reihe umsehen.),"In der letzten Reihe ist ein freier Sitzplatz.|Es riecht, als hätte gerade jemand geraucht.",50,0,0,
10,0,0,,(In den vorderen Teil|des Raums sehen.),Es ist keine Lehrerin da.|Das Pult ist leer.,0,0,0,
10,0,0,,(Hier setzen.),Du entscheidest dich für den Platz in|der ersten Reihe und setzt dich.,100,0,0,SelectFront()
20,0,0,,(Den Sitzplatz|ansehen.),In der ersten Reihe ist ein freier Sitzplatz.|Gleich neben dem Podium.,10,0,0,
20,0,0,,(In der hinteren|Reihe umsehen.),"In der letzten Reihe ist ein freier Sitzplatz.|Es riecht, als hätte gerade jemand geraucht.",50,0,0,
20,0,0,,(In den vorderen Teil|des Raums sehen.),Es ist keine Lehrerin da.|Das Pult ist leer.,0,0,0,
50,0,0,SidneyWasPig,(Die Sitznachbarn|auskundschaften.),"Sidney sitzt neben dem freien Platz. Sie zeigt|dir den Mittelfinger, als du vorbeigehst.",60,0,0,
50,0,0,!SidneyWasPig,(Die Sitznachbarn|auskundschaften.),Sidney sitzt neben dem freien Platz. Sie wirkt|sehr entspannt und ist möglicherweise bekifft.,60,0,0,
50,0,0,,(In der vorderen|Reihe umsehen.),In der ersten Reihe ist ein freier Sitzplatz.|Gleich neben dem Podium.,10,0,0,
50,0,0,,(In den vorderen Teil|des Raums sehen.),Es ist keine Lehrerin da.|Das Pult ist leer.,0,0,0,
50,0,0,,(Hier setzen.),Du entscheidest dich für den Platz in|der letzten Reihe und setzt dich.,200,0,0,SelectBack()
60,0,0,,(Den Sitzplatz|ansehen.),"In der letzten Reihe ist ein freier Sitzplatz.|Es riecht, als hätte gerade jemand geraucht.",50,0,0,
60,0,0,,(In der vorderen|Reihe umsehen.),In der ersten Reihe ist ein freier Sitzplatz.|Gleich neben dem Podium.,10,0,0,
60,0,0,,(In den vorderen Teil|des Raums sehen.),Es ist keine Lehrerin da.|Das Pult ist leer.,0,0,0,
100,0,0,,(Geduldig warten.),"Du wartest leise auf die Lehrerin,|aber noch kommt niemand herein.",100,0,0,WaitTwoMinutes()
100,0,0,,(In den vorderen Teil|des Raums sehen.),Es ist keine Lehrerin da.|Das Pult ist leer.,101,0,0,
