Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Was möchtest du machen?,Dorm.jpg
0,10,0,,"Also gut, Kameradin.|Was möchtest du machen?",Dorm.jpg
0,0,-10,,"Also dann, Mädchen. Was machen wir?",Dorm.jpg
0,0,10,,"Miss, was würden Sie gern machen?",Dorm.jpg
0,0,0,Common_PlayerNaked,Du bist so ein ungezogenes Mädchen.,Dorm.jpg
0,10,0,Common_PlayerNaked,"(Sie versucht dich nicht anzustarren.)|Du bist sehr hübsch, wenn du nackt bist.",Dorm.jpg
0,0,-10,Common_PlayerNaked,"Mädchen, du bist wirklich ungezogen.",Dorm.jpg
0,0,10,Common_PlayerNaked,"(Sie versucht dich nicht anzustarren.)|Miss, Ihr Körper ist fabelhaft.",Dorm.jpg
0,0,0,Common_ActorIsLover,"Was möchtest du machen, meine Liebe?",Dorm.jpg
0,0,0,Common_ActorIsOwner,"Also dann, meine kleine Sklavin.|Was machen wir?",Dorm.jpg
0,0,0,Common_ActorIsOwned,"Herrin, was würdet Ihr gern tun?",Dorm.jpg
0,0,0,IsRoped,"(Sie zappelt und wird rot.)|Diese Knoten sind echt fest, alle Achtung.",Dorm.jpg
0,0,0,IsStrapped,"(Sie kämpft mit dem Handschuh und wird rot.)|Ein beeindruckendes Teil, es gibt kein Entkommen.",Dorm.jpg
0,0,0,IsGagged,Uuuumph!,Dorm.jpg
10,0,0,,,Dorm.jpg
20,0,0,,,Dorm.jpg
100,0,0,,(Sie wird rot.) Ich danke dir.|Du siehst auch hinreißend aus.,Dorm.jpg
100,0,0,Common_ActorIsOwned,"(Sie wird rot.) Danke, Herrin.|Ihr seht heute ebenfalls hinreißend aus.",Dorm.jpg
100,0,0,Common_ActorIsOwner,"Danke, meine Sklavin.|Du siehst auch wundervoll aus.",Dorm.jpg
105,0,0,,,Dorm.jpg
106,0,0,,,Dorm.jpg
107,0,0,,,Dorm.jpg
110,0,0,,,Dorm.jpg
111,0,0,,,Dorm.jpg
112,0,0,,,Dorm.jpg
120,0,0,,,Dorm.jpg
121,0,0,,,Dorm.jpg
122,0,0,,,Dorm.jpg
123,0,0,,,Dorm.jpg
124,0,0,,,Dorm.jpg
130,0,0,,,Dorm.jpg
140,0,0,,,Dorm.jpg
150,0,0,,,Dorm.jpg
160,0,0,,,StartDating.jpg
170,0,0,,,Dorm.jpg
190,0,0,,,Dorm.jpg
191,0,0,,,Dorm.jpg
192,0,0,,,StopDating.jpg
193,0,0,,,StopDating.jpg
194,0,0,,,Dorm.jpg
200,0,0,,"Ich... Ich... Ich muss zugeben, dass es mir gefällt.|(Sie wird rot und schaut zu Boden.)",Dorm.jpg
200,0,0,Common_ActorIsLover,"Du kennst mich zu gut, meine Liebe.|(Sie wird rot und schaut zu Boden.)",Dorm.jpg
210,0,0,,,Dorm.jpg
220,0,0,,,Dorm.jpg
230,0,0,,,Dorm.jpg
240,0,0,,,Dorm.jpg
250,0,0,,,Dorm.jpg
260,0,0,,,Dorm.jpg
270,0,0,,,Dorm.jpg
280,0,0,,,Dorm.jpg
290,0,0,,,Dorm.jpg
291,0,0,,,Dorm.jpg
292,0,0,,,Dorm.jpg
293,0,0,,,Dorm.jpg
294,0,0,,,Dorm.jpg
295,0,0,,,Dorm.jpg
296,0,0,,,Dorm.jpg
297,0,0,,,Dorm.jpg
300,0,0,,"Mädel, was du bewunderst, sind unsere Schuldisziplin|und Willenskraft. Du siehst beides in mir.",Dorm.jpg
310,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
340,0,0,,,Dorm.jpg
350,0,0,,,Dorm.jpg
360,0,0,,,Dorm.jpg
