Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,What would you like to do?,Dorm.jpg
0,10,0,,Alright my friend.|What would you like to do?,Dorm.jpg
0,0,-10,,Alright girl.  What could we do?,Dorm.jpg
0,0,10,,"Miss, what would you like to do?",Dorm.jpg
0,0,0,Common_PlayerNaked,You're such a naughty girl.,Dorm.jpg
0,10,0,Common_PlayerNaked,(She tries to avoid staring at you.)|You're very pretty when you're naked.,Dorm.jpg
0,0,-10,Common_PlayerNaked,"Girl, you're really naughty.",Dorm.jpg
0,0,10,Common_PlayerNaked,"(She tries to avoid staring at you.)|Miss, you have a fabulous body.",Dorm.jpg
0,0,0,Common_ActorIsLover,What would you like to do my love?,Dorm.jpg
0,0,0,Common_ActorIsOwner,Alright my subbie.  What could we do?,Dorm.jpg
0,0,0,Common_ActorIsOwned,"Mistress, what would you like to do?",Dorm.jpg
0,0,0,IsRoped,(She struggles and blushes.)|You certainly know the ropes.,Dorm.jpg
0,0,0,IsStrapped,"(She struggles in the binder and blushes.)|This is quite a device, it's inescapable.",Dorm.jpg
0,0,0,IsGagged,Uuuumph!,Dorm.jpg
10,0,0,,,Dorm.jpg
20,0,0,,,Dorm.jpg
100,0,0,,(She blushes.)  Thanks a lot.|You also look magnificent.,Dorm.jpg
100,0,0,Common_ActorIsOwned,(She blushes.)  Thanks Mistress.|You also look magnificent tonight.,Dorm.jpg
100,0,0,Common_ActorIsOwner,Thanks my submissive.|You also look wonderful.,Dorm.jpg
105,0,0,,,Dorm.jpg
106,0,0,,,Dorm.jpg
107,0,0,,,Dorm.jpg
110,0,0,,,Dorm.jpg
111,0,0,,,Dorm.jpg
112,0,0,,,Dorm.jpg
120,0,0,,,Dorm.jpg
121,0,0,,,Dorm.jpg
122,0,0,,,Dorm.jpg
123,0,0,,,Dorm.jpg
124,0,0,,,Dorm.jpg
130,0,0,,,Dorm.jpg
140,0,0,,,Dorm.jpg
150,0,0,,,Dorm.jpg
160,0,0,,,StartDating.jpg
170,0,0,,,Dorm.jpg
190,0,0,,,Dorm.jpg
191,0,0,,,Dorm.jpg
192,0,0,,,StopDating.jpg
193,0,0,,,StopDating.jpg
194,0,0,,,Dorm.jpg
200,0,0,,I...  I...  I admit I kind of enjoy it.|(She blushes red and looks down.),Dorm.jpg
200,0,0,Common_ActorIsLover,You know me too well my love.|(She blushes red and looks down.),Dorm.jpg
210,0,0,,,Dorm.jpg
220,0,0,,,Dorm.jpg
230,0,0,,,Dorm.jpg
240,0,0,,,Dorm.jpg
250,0,0,,,Dorm.jpg
260,0,0,,,Dorm.jpg
270,0,0,,,Dorm.jpg
280,0,0,,,Dorm.jpg
290,0,0,,,Dorm.jpg
291,0,0,,,Dorm.jpg
292,0,0,,,Dorm.jpg
293,0,0,,,Dorm.jpg
294,0,0,,,Dorm.jpg
295,0,0,,,Dorm.jpg
296,0,0,,,Dorm.jpg
297,0,0,,,Dorm.jpg
300,0,0,,"Girl, what you admire is our college discipline|and willpower.  That's what you see in me.",Dorm.jpg
310,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
340,0,0,,,Dorm.jpg
350,0,0,,,Dorm.jpg
360,0,0,,,Dorm.jpg
370,0,0,,,Dorm.jpg
380,0,0,,,Dorm.jpg
390,0,0,,,Dorm.jpg
391,0,0,,,Dorm.jpg
392,0,0,,"Very good, get on your knees now.",Dorm.jpg
392,0,0,Common_ActorIsLover,My love.  Get on your knees now.,Dorm.jpg
393,0,0,,,Dorm.jpg
394,0,0,,,Dorm.jpg
395,0,0,,,Dorm.jpg
400,0,0,,"So, you and Sarah are dating?",Dorm.jpg
410,0,0,,,Dorm.jpg
420,0,0,,,Dorm.jpg
430,0,0,,,Dorm.jpg
450,0,0,,(Amanda tickles you for fun and laughs.)|Alright my subbie.  It's time to have fun.,Dorm.jpg
450,0,0,Common_ActorIsLover,(Amanda tickles you for fun and laughs.)|Alright my subbie.  It's time to have fun.,Dorm.jpg
500,0,0,,,Dorm.jpg
510,0,0,,,Dorm.jpg
520,0,0,,,Dorm.jpg
530,0,0,,,Dorm.jpg
531,0,0,,,Dorm.jpg
532,0,0,,,Dorm.jpg
540,0,0,,,Dorm.jpg
541,0,0,,,Dorm.jpg
600,0,0,,,Dorm.jpg
610,0,0,,,Dorm.jpg
630,0,0,,,Dorm.jpg
631,0,0,,,Dorm.jpg
632,0,0,,,Dorm.jpg
633,0,0,,,Dorm.jpg
634,0,0,,,Dorm.jpg
635,0,0,,,Dorm.jpg
636,0,0,,,Dorm.jpg
637,0,0,,,Dorm.jpg
640,0,0,,,Dorm.jpg
641,0,0,,,Dorm.jpg
642,0,0,,,DormOrgasm.jpg
650,0,0,,"Yes, making love would be delightful.|Should we do it here in your room?",Dorm.jpg
650,0,0,Common_ActorIsLover,Of course my love.,Dorm.jpg
650,0,0,Common_ActorIsOwned,Of course Mistress.,Dorm.jpg
650,0,0,Common_ActorIsOwner,"Yes my subbie, we can make love.",Dorm.jpg
660,0,0,,It's getting late.  Is it alright|if I go get my pajamas?,Dorm.jpg
660,0,0,Common_ActorIsOwned,Mistress.  Is it alright|if I go get my pajamas?,Dorm.jpg
661,0,0,,,Dorm.jpg
670,0,0,,I think I would be comfier in my|pajamas.  It's ok if I change here?,Dorm.jpg
671,0,0,,,Dorm.jpg
700,0,0,,Why is Sidney here?,Dorm.jpg
700,0,0,Common_ActorIsLover,My love.  Why is Sidney here?,Dorm.jpg
700,0,0,Common_ActorIsOwned,Mistress.  Why is Sidney here?,Dorm.jpg
700,0,0,Common_ActorIsOwner,Subbie.  Why is Sidney here?,Dorm.jpg
701,0,0,,,Dorm.jpg
702,0,0,,,Dorm.jpg
790,0,0,,You're expelling me from your dorm?,Door.jpg
790,0,0,Common_ActorIsLover,You're expelling me from your dorm?|This is the end of our short love?,StopDating.jpg
791,0,0,,,Door.jpg
800,0,0,,"(Amanda gets closer to Sarah and blushes.)|Sarah, there's something I've wanted to tell you.",Dorm.jpg
801,0,0,,,Dorm.jpg
802,0,0,,,Dorm.jpg
803,0,0,,,Dorm.jpg
804,0,0,,,Dorm.jpg
810,0,0,,,Dorm.jpg
811,0,0,,,Dorm.jpg
812,0,0,,,Dorm.jpg
813,0,0,,,Dorm.jpg
820,0,0,,,StartDating.jpg
821,0,0,,,Dorm.jpg
822,0,0,,,Dorm.jpg
823,0,0,,Do you mind if I relax with|my girlfriend on your bed?,Dorm.jpg
823,0,0,Common_ActorIsOwned,"Mistress, can I please use your|bed now to relax with Sarah?",Dorm.jpg
823,0,0,Common_ActorIsOwner,"My subbie, I will use your bed|to relax with my girlfriend.",Dorm.jpg
3000,0,0,,"My subbie, get naked now.",Dorm.jpg
3000,0,0,Common_ActorIsLover,"My love, get naked now.",Dorm.jpg
3010,0,0,,"My subbie, get in your underwear.",Dorm.jpg
3010,0,0,Common_ActorIsLover,"My love, get in your underwear.",Dorm.jpg
3020,0,0,,"My subbie, get in your school outfit.",Dorm.jpg
3020,0,0,Common_ActorIsLover,"My love, get in your school outfit.",Dorm.jpg
3030,0,0,,"My subbie, get in your black dress.",Dorm.jpg
3030,0,0,Common_ActorIsLover,"My love, get in your black dress.",Dorm.jpg
3040,0,0,,"My subbie, wear some lingerie.",Dorm.jpg
3040,0,0,Common_ActorIsLover,"My love, wear some lingerie.",Dorm.jpg
3090,0,0,,,Dorm.jpg
