Tag,Content
EventNaked,3000
EventUnderwear,3010
EventSchoolUniform,3020
EventBlackDress,3030
EventWhiteLingerie,3040
EventFullBondage,3100
EventRestrain,3110
EventGag,3120
EventRelease,3130
EventConfiscateKeys,3140
EventConfiscateCrop,3150
EventVibratingEgg,3160
EventTickle,3200
EventMasturbate,3220
PunishmentGrounded,3910
PunishmentBelted,3920
PunishmentSpanked,3930
GaggedAnswer1,Noomgn mo gnom!
GaggedAnswer2,(She mumbles something|in the gag and giggles.)
GaggedAnswer3,Eeeph!
GaggedAnswer4,(She gives you a curious look.)
GaggedAnswer5,(She bows her head and remain quiet.)
GaggedAnswer6,Aaac cgan niac mnaim.
GaggedAnswer7,Ommphm og ngo maoophh.
GaggedAnswer8,Mmmh!  (She struggles with the gag.)
AlreadyOwned,You're already owned.|That would not be proper.
UnrestrainFirst,Can you help me out first?
UnchasteFirst,Can you help me with the belt first?
PlayerUncollarFirst,Before we do anything.|You need to remove this collar.
PlayerUnrestrainFirst,Get out of these restrains first.
GetOnYourKnees,"Very well, I could take you as my submissive.|First, you will need to get on your knees."
ReleasePlayer,"Here, let me help you.|(She releases you.)"
ReleasePlayerGagged,Oohogm nagn momp.|(She releases you.)
CannotReleasePlayer,(She struggles in her|restrains and shrugs.)
ActivityEndGood,Enough of that.  It was wonderful.|Understand that I can do it any time.
ActivityEndFair,Enough of that.  It was kind of fun.|Understand that I can do it any time.
ActivityEndBad,Enough.  It wasn't what I had in mind.|Understand that I can do it any time.
MasturbatePlayerOrgasm,"Of course my subbie, you can have your relief.|(She masturbates you lovingly, making you climax.)"
ChangingIsBlocked,"No my subbie, you are not|allowed to change clothes."
ReleaseBeforePunishNotNaked,"(She releases you and examines you.)|My submissive, you will get naked now."
ReleaseBeforePunishAlreadyNaked,"(She releases you and examines you.)|My submissive, your punishment can begin."
PunishSinceNaked,"Since you're already naked,|your punishment can begin."
StillGrounded,"(Amanda ignores you and reviews her notes.|You need to wait, you're still grounded.)"
CantFindRestrain,(She checks your items but doesn't seem|to find what she wants.)  Too bad my subbie.
SpankPlayer1,(You lie on her knees and she swiftly|spanks your butt by surprise.)  One!
SpankPlayer2,(She raises her hand quickly and spanks|another one on the same spot.)  Two!
SpankPlayer3,(She raises her arm pretty high and drops|a strong one that hurts really badly.)  Three!
SpankPlayer4,"(She spanks you from the flip side,|hitting a fresh part of your butt.)  Four!"
SpankPlayer5,"(She takes a huge swing, spanking you|hard and turning your butt red.)  Five!"
SpankPlayer6,"(She goes for the flip side again, hitting|hard on the previous area.)  Six!"
SpankPlayer7,"(She swings a really quick one, hitting you by|surprise and making you scream.)  Seven!"
SpankPlayer8,(She caresses your butt and takes her time|before spanking a strong one.)  Eight!
SpankPlayer9,"(She goes for the flip side again, hitting|really hard on the previous area.)  Nine!"
SpankPlayer10,"(She checks your red butt and smiles,|hitting on the worst spot.)  Ten!"
SpankPlayer11,(She gropes your butt slowly and quickly|releases it to spank you.)  Eleven!
SpankPlayer12,"(She takes a deep breath and spanks a really|hard one, making you cry.)  Twelve!"
Crop,(You whip her on the butt with your crop.)|My!  It really hurts.  Please don't do that.
CropFromMistress,(You whip her on the butt with your crop.)|Mistress.  It really hurts.  (She whimpers.)
CropWhileGagged,(You whip her on the butt with your crop|while she whimpers and cries a little.)
RefuseBondage,(Amanda sees your item and pushes it back.)|What do you think you are doing here?
TurnTables,(Amanda quickly turns the table and uses your|restrains on you.)  Now that was funny!
TurnTablesFromMistress,So you're looking for trouble my subbie?|(Amanda uses your own restrains against you.)
AcceptChange,Very well.  What should I wear?
AcceptChangeFromLover,Yes my love. What would you like to see?
AcceptChangeFromMistress,Yes Mistress.  What should I wear?
NoNeedToChange,(She giggles.)  That was easy.
Rope,(She blushes and moans while you wrap|the rope around her body and do tight knots.)
TwoRopes,"(You pick a second rope and tie|her legs, forcing her to kneel.)"
ThreeRopes,"(You add a third rope, linking her arms to her|legs and forcing her to sit in an awkward position.)"
Armbinder,(She blushes and slowly slides her arms|in the binder while you lace and strap it tight.)
Cuffs,(She puts her arms back while you grab|the cuffs and restrain them securely.)
BallGag,(She reluctantly opens her mouth so you|can push the ball inside and strap the gag.)
TapeGag,(She reluctantly closes her mouth|so you can apply tape on it to gag her.)
ClothGag,(She reluctantly opens her mouth so you|can push the wad inside and tie the gag.)
CuffsKey,(She sees the key and turns|around so you can unlock her.)
VibratingEgg,(She sees the egg and seems very nervous.|She takes a deep breath while you push it in.)
ChastityBelt,(She freaks out when she sees the belt|but you're able to lock it while she whimpers.)
Collar,(You need +20 submission and a full|acceptance speech to collar her.)
CollarToEnslave,(You need a collar to enslave someone.)
EnslaveAlreadyTried,We already had this discussion.|Your collar isn't for me Miss.
AcceptCollar,Yes Miss.  I will accept your collar.|I will be your devoted submissive.
CannotActWhileRestrained,(She giggles and struggles|playfully in her restrains.)
CannotBeDoneWhileRestrained,(You cannot do it when you're restrained.)
NakedForBelt,(Amanda must be naked to|lock a chastity belt on her.)
OrgasmFromAmandaPleasure,(Amanda lovingly slides her tongue inside of you.|Making you tremble and moan from a great orgasm.)
PleasureFromAmandaNoProgress,(Amanda struggles to pleasure you orally but|doesn't have the proper rhythm to be enjoyable.)
KissAmandaOwner,(You bend a knee and|kiss your Mistress hand.)
KissAmandaGagged,(You kiss her gag while she giggles.)
KissAmandaSeduction,(You kiss her passionately and she responds|with a long French kiss while moaning slowly.)
StartMasturbateAmanda,(You get close to Amanda and|start to caress her gently.)
ReadyForOrgasm,"(She trembles quickly and moans|loudly, on the edge of a big orgasm.)"
MasturbateNotInTheMood,(You start to touch her but it's clear|that she's not in the mood for it.)
ChangeAfterCollaring,I will now control your sexuality.|(She changes.) Stand up my subbie.
SpankWithStrength,"(Using your strength, you spank her|hard on the butt while she whimpers.)"
ReleaseBeforeTalk,Can you release me first?
UnlockBeltBeforeSex,Can you unlock the belt first?
CantDateWhileRestrained,Maybe you should release me|if we need to have a serious talk.
CantDateWhileNaked,Maybe we should both get dressed|if we need to have a serious talk.
StripForSecondRope,(You could use that second|rope if she had fewer clothes.)
DoubleTickling,(You tickle each other and|she seems to enjoy it a lot.)
AlreadyLoved,I don't.  Sometimes I wish I had|someone in my life like you do.
AlreadyBrokeUp,I don't want to talk about that with you.
