Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,"Dein Bett ist zwar nicht besonders groß,|aber immerhin recht gemütlich.",Bed.jpg
10,0,0,,,Bed.jpg
100,0,0,,,BedOverview.jpg
110,0,0,,,BedOverview.jpg
120,0,0,,,BedOverviewOrgasm.jpg
200,0,0,,(Du gehst mit Sidney zusammen ins Bett.),Bed.jpg
210,0,0,,,Bed.jpg
220,0,0,,,Bed.jpg
230,0,0,,,Bed.jpg
300,0,0,,(Du gehst mit Amanda zusammen ins Bett.|Du gehst über ihrer Vagina in Position.),Bed.jpg
310,0,0,,,Bed.jpg
320,0,0,,,Bed.jpg
330,0,0,,,Bed.jpg
400,0,0,,(Ihr zeiht euch beide aus und geht|zusammen in die Scherenstellung.),Bed.jpg
410,0,0,,,Bed.jpg
420,0,0,,,Bed.jpg
430,0,0,,,Bed.jpg
500,0,0,,(Ihr setzt euch nackt Rücken an Rücken aufs|Bett und führt den doppelseitigen Dildo ein.),Bed.jpg
510,0,0,,,Bed.jpg
520,0,0,,,Bed.jpg
530,0,0,,,Bed.jpg
800,0,0,,"(Das Liebespaar kuschelt in deinem Bett.)|Danke, dass du uns dein Bett benutzen lässt.",Bed.jpg
810,0,0,,(Das Liebespaar kuschelt in deinem Bett.)|Kannst du den Gürtel für eine Weile aufschließen?,Bed.jpg
900,0,0,,,Dorm.jpg
