Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Your dorm bed isn't big|but it's comfy enough.,Bed.jpg
10,0,0,,,Bed.jpg
100,0,0,,,BedOverview.jpg
110,0,0,,,BedOverview.jpg
120,0,0,,,BedOverviewOrgasm.jpg
200,0,0,,(You and Sidney get in bed together.),Bed.jpg
210,0,0,,,Bed.jpg
220,0,0,,,Bed.jpg
230,0,0,,,Bed.jpg
300,0,0,,(You and Amanda get in bed together.|You position yourself over her pussy.),Bed.jpg
310,0,0,,,Bed.jpg
320,0,0,,,Bed.jpg
330,0,0,,,Bed.jpg
400,0,0,,(You both get in bed naked.|Positioning yourselves in scissors.),Bed.jpg
410,0,0,,,Bed.jpg
420,0,0,,,Bed.jpg
430,0,0,,,Bed.jpg
500,0,0,,(You get in bed naked back to back|and insert the double ended dildo.),Bed.jpg
510,0,0,,,Bed.jpg
520,0,0,,,Bed.jpg
530,0,0,,,Bed.jpg
800,0,0,,(The lovers are cuddling in your bed.)|Thanks for letting us use your bed.,Bed.jpg
810,0,0,,(The lovers are cuddling in your bed.)|Can you unlock the belt for a while?,Bed.jpg
900,0,0,,,Dorm.jpg
