Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_PlayerNaked,@Masturbieren.,"Du kannst nicht masturbieren,|während du gefesselt bist.",0,0,0,StartMasturbate()
0,0,0,!Common_PlayerNaked,@Ausziehen zum|Masturbieren.,"Du kannst nicht masturbieren,|während du gefesselt bist.",0,0,0,StartMasturbate()
0,0,0,,@Schlafen gehen.|(Den Tag beenden.),Möchtest du wirklich schlafen?|Hierdurch enden der Tag und das Spiel.,10,0,0,
10,0,0,,"@Ja, schlafen gehen.|(Den Tag beenden.)",,10,0,0,"EndChapter("""")"
10,0,0,,"@Nein, wach bleiben.|(Fortfahren.)",Du hast wohl noch ein wenig Energie.,0,0,0,
100,0,0,,@Deine Brust massieren.,Du massierst dir langsam mit einer|Hand die Brust und stöhnst leise.,100,0,0,MasturbateUp()
100,0,0,,@Deinen Nippel kneifen.,Du kneifst dir in den eigenen Nippel|und wimmerst leise vor Schmerz.,100,0,0,MasturbateUp()
100,0,0,,@Deine Klitoris massieren.,Du reibst zärtlich deine Klitoris|und stöhnst immer lauter.,100,0,0,MasturbateDown()
100,0,0,,@Mit deiner Vagina spielen.,Mit zwei Fingern spielst du mit deinen Schamlippen|und die Reize lassen dich erschaudern.,100,0,0,MasturbateDown()
100,0,0,,@Einen Finger rein-|und rausbewegen.,"Du steckst deinen Zeigefinger hinein und|wieder heraus, dein Atem wird immer schneller.",100,0,0,MasturbateDown()
100,0,0,,@Innen erkunden.,Du erkundest das Innere deiner Vagina.|Du stößt dabei auf sehr angenehme Stellen.,100,0,0,MasturbateDown()
100,0,0,,@Aufhören und aufstehen.,Du richtest dich vom Bett auf.,0,0,0,StopMasturbate()
110,0,0,,@Dich gehen lassen|und kommen.,"Du verlierst dich in wunderbarer Ekstase, während|deine Finger dir einen lieblichen Orgasmus bescheren.",120,0,0,Climax()
110,0,0,,@Aufhören.,"Du beruhigst dich, atmest tief durch und hörst|auf, bevor du den Höhepunkt erreichst.",100,0,0,StopMasturbate()
120,0,0,,@Weiter masturbieren.,"Nur um sicherzugehen, dass du zufrieden bist,|spielst du erneut an dir herum.",100,0,0,
120,0,0,,@Aufhören und aufstehen.,Du richtest dich entspannt und erfrischt vom Bett auf.,0,0,0,StopMasturbate()
200,0,0,,(Ihre Lippen küssen.),"(Du küsst sanft ihre Lippen, aber sie scheint es nicht|besonders zu mögen und befriedigt sich selbst.)",200,0,0,"Sex(-1, 1, false, false)"
200,0,0,,(Ihre Brust küssen.),"(Ihr küsst euch gegenseitig die Brüste, aber|sie findet nicht so viel Gefallen daran wie du.)",200,0,0,"Sex(0, 1, false, false)"
200,0,0,,(Ihre Brust massieren.),"(Ihr massiert euch gegenseitig die Brüste, aber|sie findet nicht so viel Gefallen daran wie du.)",200,0,0,"Sex(0, 1, false, false)"
200,0,0,,(Ihre Nippel kneifen.),(Ihr kneift euch gegenseitig in die Nippel und|zuckt und kreischt beide vor Schmerz.),200,0,0,"Sex(1, 1, false, false)"
200,0,0,SexSoft,(Mit ihrer Klitoris spielen.),(Ihr spielt langsam gegenseitig mit|euren Klitorides und stöhnt leise.),200,0,0,"Sex(1, 1, true, false)"
200,0,0,SexSoft,(Ihre Vagina streicheln.),(Ihr streichelt gegenseitig sanft eure|Schamlippen und stöhnt leise.),200,0,0,"Sex(1, 1, true, false)"
200,0,0,SexSoft,(Einen Finger reinstecken.),(Ihr befriedigt euch gegenseitig mit einem Finger|und sie scheint großen Spaß daran zu haben.),200,0,0,"Sex(2, 1, true, false)"
200,0,0,SexWild,(Sie naschen.),(Ihr leckt euch gegenseitig in der 69-Position|und sie scheint großen Spaß daran zu haben.),200,0,0,"Sex(2, 1, true, false)"
200,0,0,SexWild,(Sie fisten.),"(Du fistest sie, während sie dich befriedigt.|Sie kreischt und zittert vor Ekstase.)",200,0,0,"Sex(3, 1, true, false)"
200,0,0,,Das reicht.|(Aufstehen.),Wir hören schon auf? Das ging schnell.,200,0,0,LeaveBedFromSex()
210,0,0,,(Nah an ihr liegen.),(Ihr liegt euch zärtlich in den Armen.)|Scheiße! Das war verdammt geil!,220,0,0,AfterSex()
