Tag,Content
LayNaked,You lie comfortably on the bed to masturbate.
StripNaked,You strip and lie on the bed to masturbate.
Chaste,You struggle to slide a finger inside the belt|but cannot manage to pleasure yourself.
NotInTheMood,"You try to masturbate but you're not|in the mood anymore, give it some time."
GettingClose,"You moan and tremble, you feel|like you're on the edge of an orgasm."
CannotMasturbateWithGuest,You cannot masturbate while you have a|guest that's not in any relationship with you.
LayMistressApprove,You lay naked in your bed while your|Mistress watches and does a thumps up.
LayMistressDisapprove,You lay naked in bed while your|Mistress watches and frowns at you.
SexSidneyPartnerOrgasm,Yeah!  Yeeeah!  Yeeeeeeeah!  FUUUUUUUUUCK!|(Sidney shakes frenetically from a great orgasm.)
SexSidneyPlayerOrgasm,(Sidney speeds up her fingerwork.  Making|you tremble and moan from a great orgasm.)
SexSidneySimultaneousOrgasm,(You masturbate each other lovingly and|get a wonderful simultaneous orgasm.)
SexStopSidneyPartnerNoOrgasm,Fuck!  You came way too quick.|Next time we should go slower.
SexStopSidneyPlayerNoOrgasm,(She didn't noticed that you haven't|had an orgasm.)  That was great!
SexStopSidneyRefuse,(She pulls you back.)  Oh no bitch!|You're not getting up until I cum.
