Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,So what's going on here?,Dorm.jpg
0,10,0,,Your dorm is pretty nice.|What's going on here?,Dorm.jpg
0,0,-10,,"Hey girl, what's going on here?",Dorm.jpg
0,0,10,,"Miss, what's going|on in your place?",Dorm.jpg
0,0,0,Common_PlayerNaked,(She looks at your naked body.)|You're such a naughty student.,Dorm.jpg
0,10,0,Common_PlayerNaked,(She looks at your naked body.)|You're such a naughty friend.,Dorm.jpg
0,0,-10,Common_PlayerNaked,(She looks at your naked body.)|You're such a naughty girl.,Dorm.jpg
0,0,10,Common_PlayerNaked,"(She looks at your naked body.)|Miss, you're so naughty.",Dorm.jpg
0,0,0,Common_ActorIsLover,What's going on darling?,Dorm.jpg
0,0,0,Common_ActorIsOwner,What's going on my protege?,Dorm.jpg
0,0,0,Common_ActorIsOwned,What's going on Mistress?,Dorm.jpg
0,0,0,IsRoped,"(She struggles and tries to reach a knot.)|This is tight, can you help me out?",Dorm.jpg
0,0,0,IsStrapped,"(She struggles and tries to undo the binder.)|This is not comfy, can you help me out?",Dorm.jpg
0,0,0,IsGagged,Ohm uuooohmg uom nougn!,Dorm.jpg
10,0,0,,,Dorm.jpg
20,0,0,,,Dorm.jpg
100,0,0,,(She looks at you and smiles.)|You're such a sweet friend.,Dorm.jpg
100,0,0,Common_ActorIsOwned,(She looks at you and smiles.)|You're such a nice Mistress.,Dorm.jpg
100,0,0,Common_ActorIsOwner,(She looks at you and smiles.)|You're such a sweet protege.,Dorm.jpg
105,0,0,,,Dorm.jpg
106,0,0,,,Dorm.jpg
110,0,0,,,Dorm.jpg
120,0,0,,,Dorm.jpg
130,0,0,,,Dorm.jpg
140,0,0,,,Dorm.jpg
150,0,0,,,Dorm.jpg
160,0,0,,,StartDating.jpg
170,0,0,,,Dorm.jpg
190,0,0,,,Dorm.jpg
191,0,0,,,Dorm.jpg
192,0,0,,,StopDating.jpg
193,0,0,,,StopDating.jpg
194,0,0,,,Dorm.jpg
200,0,0,,Training?  I'm not sure I understand Miss.,Dorm.jpg
200,0,0,Common_ActorIsLover,I need training Darling?|I'm not sure I understand.,Dorm.jpg
300,0,0,,I've seen the way you act around me.|Have you ever had a Mentor before?,Dorm.jpg
300,0,0,Common_ActorIsLover,"Baby, I think I know you pretty well.|Have you ever had a Mentor before?",Dorm.jpg
301,0,0,,,Dorm.jpg
302,0,0,,,Dorm.jpg
303,0,0,,,Dorm.jpg
304,0,0,,,Dorm.jpg
305,0,0,,,Dorm.jpg
306,0,0,,,Dorm.jpg
307,0,0,,,Dorm.jpg
308,0,0,,,Dorm.jpg
309,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
321,0,0,,,Dorm.jpg
322,0,0,,,Dorm.jpg
323,0,0,,,Dorm.jpg
324,0,0,,,Dorm.jpg
325,0,0,,,Dorm.jpg
326,0,0,,,Dorm.jpg
327,0,0,,,Dorm.jpg
328,0,0,,,Dorm.jpg
329,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
331,0,0,,,Dorm.jpg
399,0,0,,,Dorm.jpg
450,0,0,,(Jennifer slides her finger in your collar ring.)|Are you ready for some training my protege?,Dorm.jpg
450,0,0,Common_ActorIsLover,"(Jennifer slides her finger in your collar ring.)|My baby, are you ready for some training?",Dorm.jpg
500,0,0,,,Dorm.jpg
510,0,0,,,Dorm.jpg
520,0,0,,,Dorm.jpg
530,0,0,,,Dorm.jpg
540,0,0,,,Dorm.jpg
550,0,0,,,Dorm.jpg
560,0,0,,,Dorm.jpg
600,0,0,,,Dorm.jpg
610,0,0,,,Dorm.jpg
630,0,0,,,Dorm.jpg
631,0,0,,,Dorm.jpg
632,0,0,,,Dorm.jpg
633,0,0,,,Dorm.jpg
634,0,0,,,Dorm.jpg
635,0,0,,,Dorm.jpg
640,0,0,,,Dorm.jpg
641,0,0,,,Dorm.jpg
642,0,0,,,DormOrgasm.jpg
650,0,0,,"Sure, we can fuck.|We do it right here?",Dorm.jpg
650,0,0,Common_ActorIsLover,Of course sweetie.,Dorm.jpg
650,0,0,Common_ActorIsOwned,Of course Mistress.,Dorm.jpg
650,0,0,Common_ActorIsOwner,"Sure bitch, we can fuck.",Dorm.jpg
790,0,0,,You're kicking me out|of your fucking dorm?,Door.jpg
790,0,0,Common_ActorIsLover,You're fucking kicking me out?|That's the end of our shitty love?,StopDating.jpg
791,0,0,,,Door.jpg
3010,0,0,,You will change and do exercises with me.|I want to see you in your underwear.,Dorm.jpg
3010,0,0,Common_ActorIsLover,You will change and do exercises with me.|I want to see you in your undies baby.,Dorm.jpg
3020,0,0,,You will change and do exercises with me.|I want to see you in your school uniform.,Dorm.jpg
3020,0,0,Common_ActorIsLover,You will change and do exercises with me.|I want to see you in your school clothes baby.,Dorm.jpg
3030,0,0,,You will change and do exercises with me.|I want to see you in your swimsuit.,Dorm.jpg
3030,0,0,Common_ActorIsLover,You will change and do exercises with me.|I want to see you in your bikini baby.,Dorm.jpg
3050,0,0,,You will change and do exercises with me.|I want to see you in a regular dress.,Dorm.jpg
3050,0,0,Common_ActorIsLover,You will change and do exercises with me.|I want to see you in your nice dress baby.,Dorm.jpg
3060,0,0,,You will change and do exercises with me.|I want to see you in your tennis outfit.,Dorm.jpg
3060,0,0,Common_ActorIsLover,You will change and do exercises with me.|I want to see you in your tennis gear baby.,Dorm.jpg
3090,0,0,,,Dorm.jpg
3091,0,0,,"(She gives a thumbs up.)  You look perfect.|Stay like that, you're not allowed to change.",Dorm.jpg
3091,0,0,Common_ActorIsLover,"(She gives a thumbs up.)  I love it darling.|Stay like that, you're not allowed to change.",Dorm.jpg
3092,0,0,,,Dorm.jpg
3100,0,0,,"My protege, I will bind and gag you to|train your flexibility and escaping skills.",Dorm.jpg
3110,0,0,,"My protege, I will restrain you to|train your flexibility and escaping skills.",Dorm.jpg
3120,0,0,,"My protege, you talk a lot.|I will try one of your gags on you.",Dorm.jpg
3130,0,0,,"Here, let me help you my protege.|(She releases you and winks at you.)",Dorm.jpg
3140,0,0,,A protege don't need keys.|Here!  I will take them.,Dorm.jpg
3150,0,0,,"Is that a crop?  This is a training tool for|Mentors, not proteges.  I'll take it.",Dorm.jpg
3160,0,0,,(Your vibrating egg starts to buzz randomly.)|Is that a pink vibrating egg in your bag?,Dorm.jpg
3161,0,0,,,Dorm.jpg
3162,0,0,,,Dorm.jpg
3190,0,0,,,Dorm.jpg
3191,0,0,,,Dorm.jpg
3200,0,0,,It's time for you to train.  You will do|some push-ups in your underwear.,Dorm.jpg
3201,0,0,,,Dorm.jpg
3210,0,0,,It's time for you to train.  You will do|some sit-ups in your underwear.,Dorm.jpg
3211,0,0,,,Dorm.jpg
3230,0,0,,This crop is kind of interesting.|We will train your endurance.,Dorm.jpg
3231,0,0,,,Dorm.jpg
3290,0,0,,,Dorm.jpg
3291,0,0,,,Dorm.jpg
3800,0,0,,(Jennifer grabs you and gives you a stern look.)|The rules are clear.  What were you doing?,Dorm.jpg
3801,0,0,,,Dorm.jpg
3810,0,0,,(Jennifer grabs you and gives you a stern look.)|The rules are clear.  What were you doing?,Dorm.jpg
3811,0,0,,,Dorm.jpg
3900,0,0,,Enough!  You deserve a special training.|Something that will teach you a lesson.,Dorm.jpg
3901,0,0,,,Dorm.jpg
3902,0,0,,,Dorm.jpg
3903,0,0,,,Dorm.jpg
3910,0,0,,COMMON_PLAYERNAME.  You're now grounded.,Dorm.jpg
3911,0,0,,,Dorm.jpg
3912,0,0,,,Dorm.jpg
3913,0,0,,,Dorm.jpg
3914,0,0,,,Dorm.jpg
3915,0,0,,Have you learned something?,Dorm.jpg
3920,0,0,,"My protege, your training will be chaste.|You will wear your own chastity belt.",Dorm.jpg
3921,0,0,,,Dorm.jpg
3922,0,0,,,Dorm.jpg
3923,0,0,,,Dorm.jpg
3930,0,0,,I have a very harsh training|session in mind for you.,Dorm.jpg
3940,0,0,,You need to remember your place.|Some humiliation will help you.,Dorm.jpg
3999,0,0,,,Dorm.jpg
