Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_ActorIsOwner,"Mentorin, ist es Zeit|für mein Training?","Nicht jetzt, wir machen eine kurze Pause.|Dein Training wird später fortgesetzt.",0,0,0,RandomJenniferDommeEvent()
0,0,0,Common_ActorIsOwner,"Mentorin, darf ich mir|etwas anderes anziehen?","Natürlich, mein kleiner Schützling.|Du darfst anziehen, was du willst.",0,0,0,IsChangingBlocked()
0,5,0,!Common_ActorIsLover,"Du siehst so|hübsch aus, Jennifer.","Du siehst viel besser aus als ich.|(Du brauchst +20 Liebe, um Jennifer zu daten.)",0,0,0,TestLove()
0,0,0,,Wir müssen reden.,Ja? Was ist denn?,0,0,0,TestTalk()
0,0,5,!Common_ActorIsOwned,"Mädchen, du brauchst|etwas Training.","Ich trainiere schon fast täglich, Miss. (Du|brauchst +20 Dominanz, um Jennifer zu versklaven.)",0,0,0,TestDomme()
0,0,-5,!Common_ActorIsOwner,Miss Jennifer.|Ich bewundere Sie.,"Dafür sehe ich nicht wirklich einen Grund. (Du brauchst|-20 Dominanz, um dich Jennifer zu unterwerfen.)",0,0,0,TestSub()
0,0,0,Common_PlayerGagged,@Om nnnuoogn mh!,"Mit genug Übung wird man dich vielleicht irgendwann|verstehen können, auch wenn du geknebelt bist.",0,0,0,TestUnbind()
0,0,0,Common_ActorIsOwner,(Ein sexy Lied summen|und aus Spaß tanzen.),"Nicht jetzt, wir machen eine kurze Pause.|Dein Training wird später fortgesetzt.",0,0,0,RandomJenniferDommeEvent()
0,0,0,Common_PlayerRestrained,(Mit deinen|Fesseln ringen.),"Nö, du kommst da nicht raus.|Es ist toll, dir dabei zuzusehen.",0,0,0,TestUnbind()
0,0,0,!Common_ActorIsOwner,Du solltest etwas|anderes anziehen.,"Nein, danke. Ich fühle mich so ganz wohl.",0,0,0,TestChange()
0,0,0,SexAvail,Möchtest du mit|mir Liebe machen?,"Nein, mir ist nicht danach.|Machen wir was anderes.",0,0,0,TestSex()
0,0,0,PleasurePlayerAvail,"Meine Sklavin, du wirst|mich jetzt befriedigen.","Wie soll ich Euch befriedigen, Herrin?",630,0,0,TestPleasurePlayer()
0,0,0,!Common_PlayerRestrained,(Mit ihr spielen.),(Du gehst einen Schritt auf sie zu.),10,0,0,
10,5,0,!Common_PlayerGagged,(Sie küssen.),(Du gehst nah an sie heran und gibst ihr|einen süßen Kuss auf die Lippen.),10,0,0,Kiss()
10,1,0,!Common_PlayerRestrained,(Sie kitzeln.),"(Du kommst näher und kitzelst ihre Brust,|aber sie zeigt kaum eine Reaktion.)",10,0,0,Tickle()
10,0,5,!Common_PlayerRestrained,(Ihr auf den|Hintern hauen.),(Du gibst ihr einen starken Klaps auf den|Hintern und sie starrt dich unerfreut an.),10,0,0,Spank()
10,0,0,CanMasturbate,(Sie befriedigen.),"(Du lehnst dich zu ihr, um sie zu befriedigen,|aber sie drängt dich von sich weg.)",10,0,0,StartMasturbate()
10,0,0,IsGagged,(Sie entknebeln.),(Du entfernst ihren Knebel.)|Danke! Das ist besser.,10,0,0,Ungag()
10,0,0,IsRoped,(Sie losbinden.),"(Du löst die Knoten und entfernst die Seile,|während sie sich langsam streckt.)",10,0,0,Untie()
10,0,0,IsStrapped,(Sie losschnallen.),(Du löst die Riemen und entfernst|den Handschuh von ihren Armen.),10,0,0,Untie()
10,0,0,,(Aufhören.),(Du trittst einen Schritt zurück.),0,0,0,
20,0,0,ChatAvail,Ich wüsste gern|mehr über dich.,"Also gut, wir können uns über mich unterhalten.",0,0,0,StartChat()
20,0,0,AllowTraining,Wie war's mit einem|Trainingskampf?,Na klar! Wir könnten noch einen Übergriff|auf dem Schulgelände simulieren.,590,0,0,StartTraining()
20,0,0,Common_ActorIsOwned,Gehen wir mal|deine Regeln durch.,"(Sie wirkt beunruhigt.)|Natürlich, Herrin.",610,0,0,
20,0,0,Common_ActorIsOwned,Mach dich bereit! Es wird|Zeit für etwas Training.,"Ja, Herrin! (Sie hüpft vor Freude.)",800,0,0,ChangeToTrain()
20,0,0,Common_PlayerChaste,Kannst du mir bitte mit|diesem Gürtel helfen?,Leider nicht. Ich habe keinen|Schlüssel für diesen Gürtel.,0,0,0,
20,0,0,Common_ActorIsLover,Was unsere|Beziehung angeht...,"Was ist denn los, Süße?",190,0,0,
20,0,0,CanKickOut,"Es wird Zeit, dass du|mein Zimmer verlässt.",(Sie sieht sehr enttäuscht aus.)|Wirfst du mich raus?,790,-1,1,"ActorSetPose("""")"
20,0,0,,Vergiss es.,"Na gut. Also, wie könnten|wir jetzt etwas Spaß haben?",0,0,0,
100,0,0,,Hast du einen|Liebespartner?,"Nein, ich war noch nie mit jemandem zusammen.",110,0,0,TestRelationship()
100,0,0,,Hast du einen|festen Freund?,"Nein, ich war noch nie mit jemandem zusammen.",110,0,0,TestRelationship()
100,0,0,,Hast du eine|feste Freundin?,"Nein, ich war noch nie mit jemandem zusammen.",110,0,0,TestRelationship()
105,0,0,,"Ja, ich kann mich|glücklich schätzen.",Du hast viel mehr Glück als ich.|Reden wir über was anderes.,0,0,0,
105,0,0,,Du findest|schon jemanden.,"Ich hoffe, eines Tages jemanden zu finden.|Reden wir über was anderes.",0,0,0,
105,0,0,Common_ActorIsOwned,Ich wäre lieber|mit dir zusammen.,"Bitte trennt euch zuerst mit ihr, Herrin.|Ich möchte kein Teil eines Liebesdreiecks sein.",106,0,0,
105,0,0,!Common_ActorIsOwned,Ich wäre lieber|mit dir zusammen.,Du musst erst mit ihr Schluss machen.|Ich möchte kein Teil eines Liebesdreiecks sein.,106,0,0,
106,0,0,,"Ja, das mache ich.","Das hätte ich nicht erwartet.|Sag Bescheid, wenn du es tust.",0,0,0,
106,0,0,,Ich denke darüber nach.,"Also gut, sag Bescheid, wenn ihr euch trennt.",0,0,0,
106,0,0,,Das kann ich nicht.,"Das verstehe ich vollkommen, meine Liebe.|Reden wir über was anderes.",0,0,0,
110,0,0,,Was hältst du von mir?,"Du bist meine beste Freundin, COMMON_PLAYERNAME.|Ich genieße jeden Moment, den ich mit dir verbringe.",120,0,0,
110,0,0,,Magst du mich?,"Na klar. Du bist die Beste, COMMON_PLAYERNAME.|Ich genieße jeden Moment, den ich mit dir verbringe.",120,0,0,
110,0,0,,Würdest du mit jemandem|wie mir zusammen sein?,"Na klar. Du bist die Beste, COMMON_PLAYERNAME.|Ich genieße jeden Moment, den ich mit dir verbringe.",120,0,0,
120,0,0,,"Ich glaube, ich|liebe dich, Jennifer.",Würdest du wirklich mit einer Verliererin|wie mir zusammen sein wollen?,130,0,0,
120,0,0,,Ich liebe deinen|sexy Körper.,Würdest du wirklich mit einer Verliererin|wie mir zusammen sein wollen?,130,0,0,
120,0,0,,Ich hab schon beim Mas-|turbieren an dich gedacht.,"Ich... Ich weiß nicht, was ich dazu sagen soll.|Reden wir über was anderes.",0,0,0,
120,0,0,,Ich will dich|auf der Stelle ficken.,"Ich... Ich weiß nicht, was ich dazu sagen soll.|Reden wir über was anderes.",0,0,0,
130,0,0,,"Sorry, eine Verliererin|kann ich nicht daten.",(Sie seufzt und schaut zu Boden.)|Reden wir über was anderes.,0,0,0,
130,0,0,,Wir beide könnten|verliebte Verlierer sein.,"Das klingt wundervoll.|Ich liebe dich, COMMON_PLAYERNAME.",140,0,0,
130,0,0,,Du bist keine Verliererin. Du|hast mein Herz gewonnen.,"Du hast meins auch erobert.|Ich liebe dich, COMMON_PLAYERNAME.",140,0,0,
130,0,0,,(Sie mit einem Kuss|zum Schweigen bringen.),"(Sie ist überrascht und lächelt.)|Ich liebe dich, COMMON_PLAYERNAME.",140,0,0,
140,0,0,,Würdest du meine|Freundin sein?,Ja! Wärst du auch meine Freundin?,150,0,0,
140,0,0,,Willst du mich heiraten?,Was? Lass diese Albernheiten sein.|Reden wir über was anderes.,0,0,0,
140,0,0,,"Ich liebe dich, Jennifer.",(Sie nickt mit einem strahlenden Lächeln.)|Willst du meine Freundin sein?,150,0,0,
150,0,0,,Ja!!!|(Sie küssen.),"(Ihr fallt euch in die Arme, um euch zu|befummeln und leidenschaftlich zu küssen.)",160,3,0,StartDating()
150,0,0,,Ich muss erst|darüber nachdenken.,"(Sie sieht enttäuscht aus.)|Na gut, lass dir Zeit.",0,0,0,
160,0,0,AllowSexAfterDate,"Zeig mir deinen|sexy Körper, Schatz.","Ja, Schatz, ich hab auch ein Spielzeug auszuprobieren.|(Ihr zieht euch aus und sie holt einen Doppel-Dildo.)",170,0,1,BothNaked()
160,0,0,AllowSexAfterDate,(Rot werden|und dich ausziehen.),"Nicht so schüchtern, Baby, ich hab da ein Spielzeug.|(Ihr zieht euch aus und sie holt einen Doppel-Dildo.)",170,0,-1,BothNaked()
