Tag,Content
EventNaked,3000
EventUnderwear,3010
EventSchoolUniform,3020
EventRedBikini,3030
EventWhiteLingerie,3040
EventFullBondage,3100
EventRestrain,3110
EventGag,3120
EventRelease,3130
EventConfiscateKeys,3140
EventConfiscateCrop,3150
EventVibratingEgg,3160
EventSlap,3210
EventMasturbate,3220
EventCrop,3230
PunishmentGrounded,3910
PunishmentBelted,3920
PunishmentSpanked,3930
GaggedAnswer1,Ohn mmhon!
GaggedAnswer2,(She tries to articulate but fails.)
GaggedAnswer3,Armuun thu nahakmn!
GaggedAnswer4,(She sighs and stays silent.)
GaggedAnswer5,Ng!
GaggedAnswer6,(She struggles with the gag.)
GaggedAnswer7,Aahemn nag aeegnma mmgm ooeglme.
GaggedAnswer8,(She bows her head.)
AlreadyOwned,"Girl, you already have a Mentor.|I cannot do anything for you."
UnrestrainFirst,"Please, can you let me go first?"
UnchasteFirst,I'm still trapped in that belt.
PlayerUncollarFirst,You'll need to remove your|collar before we can talk.
PlayerUnrestrainFirst,(She gives you a curious look.)|Get out of these restrains first.
GetOnYourKnees,"Very good, you'll be my protege.|Please kneel to make it official."
ReleasePlayer,I'll give you a hand.|(She releases you.)
ReleasePlayerGagged,Aaaegn mnh nnhg!|(She releases you.)
CannotReleasePlayer,(She struggles to get|out but fails and sighs.)
ActivityEndGood,Excellent my protege!  But that's enough.|Remember that your mentor is in control.
ActivityEndFair,Fine my protege!  But that's enough.|Remember that your mentor is in control.
ActivityEndBad,Stop my protege!  I've had enough.|Remember that your mentor is in control.
MasturbatePlayerOrgasm,"Stay focused and enjoy your training.|(She masturbates you skillfully, making you climax.)"
MasturbatePlayerOrgasmForced,"You're not in control, focus on your training.|(She masturbates you skillfully, making you climax.)"
ChangingIsBlocked,"No my protege, only I can decide|when you're allowed to change."
ReleaseBeforePunishNotNaked,"(She releases you and stares at you.)|Very well my protege, it's time to get naked."
ReleaseBeforePunishAlreadyNaked,(She releases you and stares at you.)|Your special training will begin right now.
PunishSinceNaked,"Since you're already naked,|your special training can begin."
StillGrounded,"(Jennifer ignores you and do some exercises.|You need to wait, you're still grounded.)"
StillGroundedByOther,"Your Mentor is in control.  I will not help.|(You need to wait, you're still grounded.)"
CantFindRestrain,(She checks your items but doesn't seem|to find what she wants.)  That's too bad.
Crop,(You whip her on the butt with your crop.)|Oh my!  Please!  It stings pretty bad.
CropFromMistress,(You whip her on the butt with your crop.)|Mistress!  Please!  It stings pretty bad.
CropWhileGagged,(You whip her on the butt with your crop|while she whimpers from the pain.)
RefuseBondage,(Jennifer sees your item and pushes it back.)|Oh no!  Please put that away from me.
TurnTables,(Jennifer overpowers you and uses your|restrains on you.)  Who's smart now?
TurnTablesFromMistress,So you need more training my protege?|(Jennifer uses your own restrains on you.)
AcceptChange,Very well.  But I don't have|that many clothes on hand.
AcceptChangeFromLover,Of course darling.|What would you like?
AcceptChangeFromMistress,Of course Mistress.|What would you like?
NoNeedToChange,(She shrugs and looks at you.)|What?  I'm already like that.
Rope,(She grumbles silently while you wrap|the rope around her body and do tight knots.)
TwoRopes,(You pick a second rope and tie|her legs in a sitting position.)
ThreeRopes,"(You add a third rope, putting|her in a very strict hogtie.)"
Armbinder,"(You force her hefty arms in the|armbinder, lace it and strap it tight.)"
Cuffs,(She frowns while you grab her hands|firmly and cuff them behind her back.)
BallGag,(She struggles a little but you're|able to strap the gag on her head.)
TapeGag,(She struggles a little but you're|able to tape her mouth shut.)
ClothGag,(She struggles a little but you're able to|push the wad inside her mouth and tie the gag.)
CuffsKey,"(She sees the key and turns|around, so you can unlock her.)"
VibratingEgg,(She shakes her head no when she|sees the egg but you're able to push it in.)
ChastityBelt,(She panics when she sees the belt|but you're able to lock it tightly on her.)
Collar,(You need +20 submission and a full|acceptance speech to collar her.)
CollarToEnslave,(You need a collar to enslave someone.)
EnslaveAlreadyTried,We already spoke about that.|I will not wear your collar.
AcceptCollar,Yes Miss.  I will wear your collar.|I would love to be your slave.
CannotActWhileRestrained,(She rolls her eyes up and|wiggles in her restrains.)
CannotBeDoneWhileRestrained,(You cannot do it when you're restrained.)
NakedForBelt,(Sidney must be naked to|lock a chastity belt on her.)
AcceptPusherDeal,What kind of messed up deal is that?|Fine!  I'll do it!  I'll pay pretty soon anyway.
OrgasmFromSidneyPleasure,(Sidney skillfully slides her tongue inside of you.|Making you tremble and moan from a great orgasm.)
PleasureFromSidneyNoProgress,(Sidney tries to pleasure you with her mouth but|doesn't have the proper rhythm to be enjoyable.)
KissSidneyOwner,(You bend a knee and|kiss your Mistress hand.)
KissSidneyGagged,(You kiss her on the gag while|she gives you a curious look.)
KissSidneySeduction,(You kiss her passionately and she responds|with a long French kiss while moaning slowly.)
StartMasturbateSidney,(You get close to Sidney and|start to caress her gently.)
ReadyForOrgasm,"(She shakes without control and moans|loudly, she's about to have a big orgasm.)"
MasturbateNotInTheMood,(You start to touch her but it's clear|that she's not in the mood for it.)
ChangeAfterCollaring,You can't do anything sexual without asking me.|(She changes.) Stand up and let's do something fun.
SpankWithStrength,"(Using your strength, you spank her|hard on the butt while she whimpers.)"
ReleaseBeforeTalk,Can you release me first?
UnlockBeltBeforeSex,Can you unlock the belt first?
CantDateWhileRestrained,"You get turned on by|the restrains, don't you?"
CantDateWhileNaked,"You get turned on by|the flesh, don't you?"
StripForSecondRope,(You could use that second|rope if she had fewer clothes.)
NoTickling,"(You try to tickle her, but she|quickly pushes you back.)"
AlreadyLoved,I don't.  Sometimes I wish I had|someone in my life like you do.
AlreadyBrokeUp,I don't want to talk about that with you.
AlreadyWentOut,Again?  Maybe tomorrow.|I'm exhausted sweetheart.
RockShowAlreadyStarted,There's a rock show that's already started.|Should we go right now sweetheart?
SpankInShorts,(She changes.)  No more lingerie!  Bend here.|(She sits on the bed and points to her legs.)
