Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,AmandaAvail,Amanda ansprechen.,,0,0,0,AmandaStart()
0,0,0,,Eine Weile lernen.,Du lernst eine Weile und|machst ein paar Hausaufgaben.,0,0,0,Wait()
0,0,0,,Die Bibliothek|durchsuchen.,"Du schaust dich in der Bibliothek um,|findest aber nichts Interessantes.",0,0,0,Search()
0,0,0,,Die Bibliothek|verlassen.,,0,0,0,Leave()
10,0,0,,Die Bibliothek|verlassen.,,0,0,0,Leave()
100,0,0,,Ich brauche|deine Hilfe nicht.,(Sie runzelt die Stirn.) Wie du meinst.|Du kannst mit mir zusammen lernen.,200,-1,0,
100,0,0,,"Ja, das ist mir|zu schwer.",Vielleicht kann ich ja helfen.|Wir können gemeinsam lernen.,200,0,-1,
100,0,0,,Was machst du da?,"Ich bereite mich auf eine Prüfung nächste Woche vor.|Wir können gemeinsam lernen, wenn du willst.",200,0,0,
100,0,0,,"Keine Sorge, ich|komme klar.","Du hast Selbstvertrauen, das ist gut.|Du kannst hier mit mir lernen, wenn du willst.",200,0,1,
100,0,0,,"Nein, ich wollte|dich sehen.",Das ist sehr lieb von dir.|Wir können gemeinsam lernen.,200,1,0,
110,0,0,,Nenn mich nicht Miss.|Das klingt albern.,"(Sie senkt den Kopf.) Entschuldige, COMMON_PLAYERNAME.|Du kannst hier mit mir lernen, wenn du willst.",200,0,-1,
110,0,0,,Ich wollte dich sehen.,Das ist sehr lieb von dir.|Wir können gemeinsam lernen.,200,1,0,
110,0,0,,"Mir war langweilig,|also bin ich hergekommen.","Langweilig in unserem tollen College? Seltsam.|Du kannst hier mit mir lernen, wenn du willst.",200,-1,0,
110,0,0,,Ich schaue mir die|Bibliothek an.,"Es ist ein hervorragender Ort zum Lernen.|Wir können gemeinsam lernen, wenn du willst.",200,0,0,
110,0,0,,"Ich suche Mädchen, denen|ich Ärger machen kann.","(Deine Antwort verschlägt ihr die Sprache.) Nun...|Wow... Du kannst hier mit mir lernen, wenn du willst.",200,0,1,
120,0,0,,Mädel. Redet man so|mit neuen Mitschülern?,"Tut mir leid, das war schon etwas unhöflich.|Wir können gemeinsam lernen, wenn du willst.",200,0,1,
120,0,0,,"Ist Lernen alles,|was du je tust?","Nein, aber ich hätte gern gute Noten.|Wir können gemeinsam lernen, wenn du willst.",200,-1,0,
120,0,0,,Können wir Frieden|schließen?,"Na gut. (Sie schüttelt deine Hand.)|Wir können gemeinsam lernen, wenn du willst.",200,1,0,
120,0,0,,Das vorhin tut mir leid.|Sei bitte nicht sauer.,"Vielleicht sollten wir nochmal von vorne anfangen.|Du kannst hier mit mir lernen, wenn du willst.",200,0,-1,
120,0,0,,Ich schaue mir nur die|Schulbibliothek an.,"Es ist ein sehr guter Ort zum Lernen.|Wir können gemeinsam lernen, wenn du willst.",200,0,0,
130,0,0,,Ja! Ich habe tolle|Hausaufgaben auf.,"Sehr gut, meine Liebe.|Wir können gemeinsam lernen.",200,1,0,
130,0,0,,"Nein, ich wollte mir|die Bibliothek ansehen.","Es ist ein wundervoller Ort zum Lernen.|Wir können gemeinsam lernen, wenn du willst.",200,0,0,
130,0,0,,Hausaufgaben machen|ist nur für Versager.,"(Sie runzelt die Stirn.) Das kann nicht dein Ernst sein.|Wir können gemeinsam lernen, wenn du willst.",200,-1,0,
130,0,0,,"Ja, ich muss arbeiten,|um nicht durchzufallen.","Sehr gut, lass dich nicht unterkriegen.|Wir können gemeinsam lernen.",200,0,-1,
130,0,0,,Jep! Damit ich perfekte|Noten bekomme.,"Perfekte Noten? Das ist beeindruckend.|Wir können gemeinsam lernen, wenn du willst.",200,0,1,
140,0,0,Common_PlayerChaste,"Kann ich nicht, tut mir leid.|Ich bin auch verriegelt.","Dann wissen wir ja beide, wie sich die Andere fühlt.|Du kannst hier mit mir lernen, wenn du willst.",200,1,-1,
140,0,0,,Ich kann ihn|nicht aufschließen.,"Na gut, dann suche ich mir einen Schlüsseldienst.|Du kannst hier lernen, wenn du willst.",200,0,0,
140,0,0,,Keuschheit hilft dir|beim Konzentrieren.,"Was? Ich... Aber... Aber... Na schön...|Wir können gemeinsam lernen, wenn du willst.",200,0,1,
140,0,0,,"Wenn du brav bist,|lasse ich dich raus.","(Sie wird rot.) Dann werde ich artig sein.|Wir können gemeinsam lernen, wenn du willst.",200,1,-1,
140,0,0,,Nutten gehören|abgesperrt.,"Warum bist du so gemein? Vergiss es.|Du kannst hier lernen, wenn du willst.",200,-1,1,
140,0,0,,Über solche Gürtel zu|reden macht mich wuschig.,"Du bist so pervers, COMMON_PLAYERNAME.|Wir können gemeinsam lernen, wenn du willst.",200,0,-1,
150,0,0,HasEgg,"Ich hab auch eins, es|macht Spaß, lass es drin.","(Sie kichert.) Du bist so pervers.|Wir können gemeinsam lernen, wenn du willst.",200,1,-1,
150,0,0,,Ist Lernen nicht viel|spannender mit dem Ei?,"Nein! Es hilft kein bisschen. Egal.|Du kannst hier mit mir lernen, wenn du willst.",200,-1,0,
150,0,0,,Solche Eier sind gut|für Nutten wie mich.,"Bezeichne dich doch nicht als Nutte. Egal.|Du kannst hier mit mir lernen, wenn du willst.",200,0,-1,
150,0,0,,Ich kann dir nicht helfen.,"Na gut. Wir können gemeinsam lernen, wenn du willst.",200,0,0,
150,0,0,,"Nein, du behältst es|noch eine Weile drin.","(Sie verneigt sich und seufzt.) Nun gut, Miss.|Wir können gemeinsam lernen, wenn Sie wollen.",200,0,1,
150,0,0,,Ich helfe dir später und|steck's mir selber rein.,"(Sie kichert.) Du bist ziemlich pervers.|Wir können gemeinsam lernen, wenn du willst.",200,1,0,
160,0,0,,Das nächste Mal sperre|ich dich da drin ein.,"(Deine Antwort verschlägt ihr die Sprache.) Ich... Egal.|Du kannst hier mit mir lernen, wenn du willst.",200,0,1,
160,0,0,,Ich hatte einen Riesenspaß|in diesem Schließfach.,"Dann sollte ich dich nochmal darin einsperren.|Wir können gemeinsam lernen, wenn du willst.",200,0,-1,
160,0,0,,Ich hab schlimmeres erlebt.,"Okay. Du kannst hier lernen, wenn du willst.",200,0,0,
160,0,0,,Ich will nicht|darüber reden.,"Oh je! Alles klar.|Du kannst hier lernen, wenn du willst.",200,-1,0,
160,0,0,,Ich hab da drin|von dir geträumt.,"(Sie wird rot und kichert.)|Wir können gemeinsam lernen, wenn du willst.",200,1,0,
