Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,AmandaAvail,Meet Amanda.,,0,0,0,AmandaStart()
0,0,0,,Study for a while.,You study for a while|and do some homework.,0,0,0,Wait()
0,0,0,,Search the place.,You search around the library but|don't find anything interesting.,0,0,0,Search()
0,0,0,,Leave the library.,,0,0,0,Leave()
10,0,0,,Leave the library.,,0,0,0,Leave()
100,0,0,,I don't need your help.,(She frowns.)  Very well.|You can study with me then.,200,-1,0,
100,0,0,,"Yeah, this is too hard.",Maybe I can help you.|You can study with me.,200,0,-1,
100,0,0,,What are you doing?,I'm preparing for an exam next week.|You can study with me if you want.,200,0,0,
100,0,0,,"Don't worry, I'm fine.","You seem pretty confident, that's good.|You can study here with me if you want.",200,0,1,
100,0,0,,"No, I came to see you.",That's very nice of you.|You can study with me.,200,1,0,
110,0,0,,Don't call me Miss.|It sounds strange.,(She bows her head.)  Sorry COMMON_PLAYERNAME.|You can study here with me if you want.,200,0,-1,
110,0,0,,I came to see you.,That's very nice of you.|You can study with me.,200,1,0,
110,0,0,,I was bored|so I came here.,Bored in our great college?  That's strange.|You can study here with me if you want.,200,-1,0,
110,0,0,,I'm checking|the library.,It's a wonderful place to learn.|You can study with me if you want.,200,0,0,
110,0,0,,I'm roaming in school|to get girls in trouble.,(She's stunned by your answer.)  Well...|My...  You can study here with me if you want.,200,0,1,
120,0,0,,Girl.  This is how you|treat new students?,"Sorry, I guess I was kind of rude.|You can study with me if you want.",200,0,1,
120,0,0,,Is studying all|you ever do? ,"No, but I want to get good grades.|You can study with me if you want.",200,-1,0,
120,0,0,,Can we make peace?,Alright.  (She shakes your hand.)|You can study with me if you want.,200,1,0,
120,0,0,,I'm sorry about today.|Please don't be angry.,I guess we started on the wrong foot.|You can study here with me if you want.,200,0,-1,
120,0,0,,I'm only checking|the school library.,It's a very good place to learn.|You can study with me if you want.,200,0,0,
130,0,0,,Yes!  I have a great|homework to do.,Very good my friend.|You can study with me.,200,1,0,
130,0,0,,"No, I came to|see the library.",It's a wonderful place to learn.|You can study with me if you want.,200,0,0,
130,0,0,,Doing homework|is only for losers.,(She frowns.)  You can't be serious.|You can study with me if you want.,200,-1,0,
130,0,0,,"Yes, I need to work|so I won't fail.","Very good, don't give up.|You can study with me.",200,0,-1,
130,0,0,,Yep!  So I'll get|perfect grades.,Perfect grades?  That's impressive.|You can study with me if you want.,200,0,1,
140,0,0,Common_PlayerChaste,"I'm sorry, I can't.|I'm also locked.",I guess we can understand each other.|You can study here with me if you want.,200,1,-1,
140,0,0,,I can't unlock it.,"Fine, I'll find a good locksmith.|You can study here if you want.",200,0,0,
140,0,0,,Being chaste will help|you to concentrate.,What?   I...  But...  But...  Fine...|You can study with me if you want.,200,0,1,
140,0,0,,If you're a good|girl I'll unlock you.,(She blushes.)  I'll be good then.|You can study with me if you want.,200,1,-1,
140,0,0,,A slut needs|to be locked.,Why are you so mean?  Anyway.|You can study here if you want.,200,-1,1,
140,0,0,,Talking about such|belts turns me on.,You're so kinky COMMON_PLAYERNAME.|You can study with me if you want.,200,0,-1,
150,0,0,HasEgg,"I have one also, it's|fun, don't remove it.",(She giggles.)  You're very kinky.|You can study with me if you want.,200,1,-1,
150,0,0,,Don't you like to|study with an egg?,No!  It doesn't help at all.  Anyway.|You can study here with me if you want.,200,-1,0,
150,0,0,,Eggs are good|for sluts like me.,Don't call yourself a slut.  Anyway.|You can study here with me if you want.,200,0,-1,
150,0,0,,I can't help you.,Alright.  You can study with me if you want.,200,0,0,
150,0,0,,"No, you will keep|it some more.",(She bows and sighs.)  Alright Miss.|You can study with me if you want.,200,0,1,
150,0,0,,I will help you later|and put it in me.,(She giggles.)  You're very kinky.|You can study with me if you want.,200,1,0,
160,0,0,,,,200,0,0,
160,0,0,,,,200,0,0,
160,0,0,,,,200,0,0,
160,0,0,,,,200,0,0,
160,0,0,,,,200,0,0,
170,0,0,,,,200,0,0,
170,0,0,,,,200,0,0,
170,0,0,,,,200,0,0,
170,0,0,,,,200,0,0,
170,0,0,,,,200,0,0,
180,0,0,,,,200,0,0,
180,0,0,,,,200,0,0,
180,0,0,,,,200,0,0,
180,0,0,,,,200,0,0,
180,0,0,,,,200,0,0,
190,0,0,,,,200,0,0,
190,0,0,,,,200,0,0,
190,0,0,,,,200,0,0,
190,0,0,,,,200,0,0,
190,0,0,,,,200,0,0,
