Tag,Content
Outro1,"The day is over, it's time to get some sleep."
Outro1Bondage,"The day is over, you'll sleep restrained tonight."
Outro1Lover,"The day is over, you'll sleep in your lover's arms."
Outro2,Your adventure in the Bondage College is done.
Outro3,"The game is over for now, I hope you had fun."
Outro4,There could be options to continue in the future.
Outro5,The End
CreditTypeDevelopers,Developers
CreditTypeTranslators,Translators
CreditTypeSupport,Support
CreditTypePatrons,Sponsors
CreditTypeFans,And a big thank you to the fans!
SleepBoundAndGagged1,"It's midnight, your Mistress wants you to sleep naked."
SleepBoundAndGagged2,You get on your bed while she produces many ropes.
SleepBoundAndGagged3,"She hogties you carefully, making sure you can't move."
SleepBoundAndGagged4,She gags you really tight and shows you a blindfold.
SleepBoundAndGagged5,"She whispers: ""good night"" and put it over your eyes."
