Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,The place is|too crowded.,"Yeah, it's crowded when there's a local band.|Have you heard them before?  They rock!",10,-1,0,Wait(50000)
0,0,0,,We found a|good spot.,"Shit yeah, we are pretty close to the band.|Have you heard them before?  They rock!",10,1,0,Wait(50000)
0,0,0,,There's quite|a big crowd.,"Yeah, it's crowded when there's a local band.|Have you heard them before?  They rock!",10,0,0,Wait(50000)
10,0,0,,It's my first time.,They play mostly metal and some ballads.|(She swings her head on the metal tune.),20,0,0,Wait(50000)
10,0,0,,It's too loud.,"Don't worry, there will be some ballads.|(She swings her head on the metal tune.)",20,0,-1,Wait(50000)
10,0,0,,They better play|some metal.,(She does the devil sign with her fingers|and swings her head on the metal tune.),20,0,1,Wait(50000)
10,0,0,,I've seen|them before.,Great!  I've seen them two years ago.|(She swings her head on the metal tune.),20,0,0,Wait(50000)
20,0,0,,(Enjoy the|metal tune.),"(You and Sidney enjoy the metal tune.|Right after, they switch for a slow ballad.)",30,0,0,Wait(230000)
20,0,0,,(Start a slam with|your neighbors.),"(You slam with Sidney on the metal tune.|Right after, the band switch for a slow ballad.)",30,0,1,Wait(230000)
20,0,0,,(Cover your ears.),"(You cover up while Sidney enjoys the tune.|Right after, the band switch for a slow ballad.)",30,0,-1,Wait(230000)
30,0,0,,This is nice.,"It's ok, but it doesn't rock enough.|I guess it's romantic.  (She winks.)",40,0,0,Wait(50000)
30,0,0,,This is my|favorite song.,They have much better songs than that.|But I guess it's romantic.  (She winks.),40,-1,0,Wait(50000)
30,0,0,,(Sing the song.),(She hums the song with you.)||This is romantic.  (She winks.),40,0,0,Wait(50000)
30,0,0,,The other tune|was better.,"Hell yeah, this ballad is way too slow.|But I guess it's romantic.  (She winks.)",40,0,0,Wait(50000)
40,0,0,,(Take her hand.),(You take each other hands and smile.)|(The song becomes very romantic.),50,1,0,Wait(50000)
40,0,0,,(Kiss her neck.),(You kiss neck and she giggles.)|(The song becomes very romantic.),50,1,0,Wait(50000)
40,0,0,,I love you Sidney.,I love you COMMON_PLAYERNAME.|(The song becomes very romantic.),50,1,0,Wait(50000)
40,0,0,,(Listen to the song.),(You both enjoy the tune|which becomes very romantic.),50,0,0,Wait(50000)
50,0,0,,(Enjoy the show.),(You both enjoy the show and|share a wonderful time together.),50,0,0,NextSong()
50,0,0,CanMasturbateSidney,(Slide a hand|in her shorts.),"(Making sure no one can see you, you slide a|hand in her shorts, making her jump in surprise.)",100,0,0,StartMasturbateSidney()
50,0,0,,(Search the place.),"(You search around for a while, but|you don't find anything useful.)",50,0,0,Search()
50,0,0,,(Leave the show.),Do you want to leave sweetie?|Should we go back to your dorm?,60,0,0,
60,0,0,,"Yes, let's leave.",,60,0,0,Leave()
60,0,0,,"No, let's stay.",Rock on!  (You both watch the show.),50,0,0,
100,0,0,,(Play with her clitoris.),(You slowly play with her clitoris|while her heartbeat goes a little faster.),100,0,0,MasturbateSidney(1)
100,0,0,,(Masturbate her pussy.),(You masturbate her pussy lovingly while|she moans and has small body spasms.),100,0,0,MasturbateSidney(2)
100,0,0,,(Give her a break.),(You keep your hand in her shorts but|don't masturbate.  She gives you a puzzled look.),100,0,0,MasturbateSidney(-1)
100,0,0,,(Pull back your hand.),(Sidney seems disappointed when you pull out|but you both quickly focus back on the show.),50,-1,1,BackToShow()
110,0,0,!Common_ActorIsOwned,I love you Sidney.|(Make her climax.),"(You speed up the pace as she shakes|and moans, getting a public orgasm.)",120,1,0,OrgasmSidney()
110,0,0,!Common_ActorIsOwned,Cum my slave.|(Make her climax.),"(You speed up the pace as she shakes|and moans, getting a public orgasm.)",120,0,1,OrgasmSidney()
110,0,0,!Common_ActorIsOwned,I control your orgasms.|(Pull back your hand.),(Sidney seems disappointed when you pull out|but you both quickly focus back on the show.),50,-1,2,BackToShow()
110,0,0,Common_ActorIsOwned,I love you Sidney.|(Make her climax.),"(You speed up the pace as she shakes|and moans, getting a public orgasm.)",120,1,0,OrgasmSidney()
110,0,0,Common_ActorIsOwned,Cum my lovely slut.|(Make her climax.),"(You speed up the pace as she shakes|and moans, getting a public orgasm.)",120,0,1,OrgasmSidney()
110,0,0,Common_ActorIsOwned,Teasing you is fun.|(Pull back your hand.),(Sidney seems disappointed when you pull out|but you both quickly focus back on the show.),50,-1,2,BackToShow()
120,0,0,,I hope you enjoyed.,"Hell yeah, that was fucking kinky.|(You both focus back on the show.)",50,0,0,BackToShow()
120,0,0,,You're such a slut.,(She stays silent and blushes as|you both focus back on the show.),50,-1,1,BackToShow()
120,0,0,,Naughtiest thing|I've ever done.,(She gives you a thumbs up as|you both focus back on the show.),50,0,-1,BackToShow()
200,0,0,!Common_ActorIsOwner,Oh yes my love.|(Let her play.),(She makes sure nobody is looking and plays|with your pussy in the dark and crowded show.),210,1,0,MasturbatePlayer()
200,0,0,!Common_ActorIsOwner,Not in public!|(Push her away.),Fine!  You're such a bummer.|(She takes her hand away.),50,-2,1,BackToShow()
200,0,0,!Common_ActorIsOwner,Are you sure|this is wise?,(She winks at you and plays with your|pussy in the dark and crowded show.),210,0,-1,MasturbatePlayer()
200,0,0,Common_ActorIsOwner,Oh yes Mistress.|(Let her play.),(She makes sure nobody is looking and plays|with your pussy in the dark and crowded show.),210,1,0,MasturbatePlayer()
200,0,0,Common_ActorIsOwner,Not in public!|(Push her away.),"(She frowns and forces her hand in, playing|with your pussy in the dark and crowded show.)",210,-2,1,MasturbatePlayer()
200,0,0,Common_ActorIsOwner,Are you sure|this is wise?,(She winks at you and plays with your|pussy in the dark and crowded show.),210,0,-1,MasturbatePlayer()
210,0,0,,(Enjoy the|kinky show.),"(While listening to the show, Sidney|slowly masturbates your pussy.)",210,0,0,MasturbatePlayer()
