Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,EmptyDorm,"You arrive at Amanda, Sarah, Sidney|and Jennifer dorm.  The door is locked.",Door.jpg
100,0,0,,(Amanda opens the door and lets you in.)|It's getting late.  Do you need something?,
100,10,0,,(Amanda opens the door and lets you in.)|It's great to see you.  Do you need something?,
100,-10,0,,(Amanda opens the door and lets you in.)|Shouldn't you go to sleep?  Do you need something?,
100,0,-10,,(Amanda opens the door and lets you in.)|Are you lost girl?  Do you need something?,
100,0,10,,(Amanda opens the door and greets you.)|Welcome to my place Miss.  Do you need something?,
100,0,0,Common_ActorIsLover,(Amanda opens the door and kisses you.)|Welcome my love.  Do you need something?,
100,0,0,Common_ActorIsOwner,(Amanda opens the door and lets you in.)|Hello my submissive.  Do you need something?,
100,0,0,Common_ActorIsOwned,(Amanda opens the door and greets you.)|Welcome to my place Mistress.  Do you need something?,
200,0,0,,(Sarah opens the door and lets you in.)|Hey!  What's going on COMMON_PLAYERNAME?,
200,10,0,,(Sarah opens the door and smiles.)|Hey!  What's going on my friend?,
200,-10,0,,(Sarah opens the door and frowns.)|Why are you here?  What's going on?,
200,0,-10,,(Sarah opens the door and smirks.)|Hey there girl.  What's going on?,
200,0,10,,(Sarah opens the door and greets you.)|Hello Miss.  What's going on today?,
200,0,0,Common_ActorIsLover,(Sarah opens the door and smiles.)|Hey there sexy!  What's going on?,
200,0,0,Common_ActorIsOwned,(Sarah opens the door and greets you.)|Greetings Mistress.  What's going on?,
200,0,0,IsolationVisit,(Sarah opens the door and smiles.)|My isolation partner!  What's going on?,
300,0,0,,(Jennifer opens the door and lets you in.)|Hello COMMON_PLAYERNAME.,
300,10,0,,"(Jennifer opens the door and smiles.)|Hello there, I'm glad to see you.",
300,-10,0,,(Jennifer opens the door and frowns.)|It's you!  What are you doing here?,
300,0,-10,,(Jennifer opens the door and smirks.)|Hi girl.  Do you need some help?,
300,0,0,JenniferBelt,(Jennifer opens the door and lets you in.)|I hope you came with the belt key.,
300,0,10,,(Jennifer opens the door and greets you.)|Greetings.  It's a pleasure to see you.,
300,0,0,WearingTennisOutfit,(Jennifer opens the door and greets you.)|It's nice to see you in your tennis clothes again.,
310,0,0,,(Jennifer comes to greet you.)|Hello COMMON_PLAYERNAME.,
310,10,0,,"(Jennifer comes to greet you.)|Hello there, I'm glad to see you.",
310,-10,0,,(Jennifer comes to greet you.)|What are you doing here?,
310,0,-10,,(Jennifer comes to greet you.)|Hi girl.  Do you need help?,
310,0,0,JenniferBelt,(Jennifer comes to greet you.)|I hope you came with the belt key.,
310,0,10,,(Jennifer comes to greet you.)|Greetings.  It's a pleasure to see you.,
310,0,0,WearingTennisOutfit,(Jennifer comes to greet you.)|It's nice to see you in your tennis clothes again.,
