Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,What could we do to have fun?,Dorm.jpg
0,10,0,,My friend.  What could we do to have fun?,Dorm.jpg
0,0,-10,,Hey girl.  What could we do to have fun?,Dorm.jpg
0,0,10,,Miss.  What could we do to have fun?,Dorm.jpg
0,0,0,Common_PlayerNaked,You're so cute and kinky.,Dorm.jpg
0,10,0,Common_PlayerNaked,(She stares at you and smiles happily.)|You're so sexy when you're naked.,Dorm.jpg
0,0,-10,Common_PlayerNaked,You're such a cute and kinky girl.,Dorm.jpg
0,0,10,Common_PlayerNaked,(She avoids staring at you and blushes.)|You're so pretty when you're naked Miss.,Dorm.jpg
0,0,0,Common_ActorIsLover,Hey sexy!  What could we do to have fun?,Dorm.jpg
0,0,0,Common_ActorIsOwned,What could we do to have fun Mistress?,Dorm.jpg
0,0,0,IsRoped,(She tugs on the ropes for fun.)|You're quite a rope artist.,Dorm.jpg
0,0,0,IsStrapped,(She playfully struggles in the armbinder.)|I love this item!  It hugs me so tight.,Dorm.jpg
0,0,0,IsGagged,Ooogn mnog!,Dorm.jpg
10,0,0,,,Dorm.jpg
20,0,0,,,Dorm.jpg
100,0,0,,Oh yes!  Having sex would be great.|We do it right here in your room?,Dorm.jpg
100,0,0,Common_ActorIsLover,Oh yes my sexy lover.,Dorm.jpg
100,0,0,Common_ActorIsOwned,Yes Mistress.,Dorm.jpg
110,0,0,,(You both get up from bed.)|You would like to date me?,Dorm.jpg
110,0,0,Common_ActorIsOwned,"(You both get up from bed and stretch.)|Mistress, you would like to date me?",Dorm.jpg
120,0,0,,,Dorm.jpg
130,0,0,,,Dorm.jpg
140,0,0,,,Dorm.jpg
141,0,0,,,Dorm.jpg
142,0,0,,,Dorm.jpg
143,0,0,,,Dorm.jpg
144,0,0,,,StartDating.jpg
150,0,0,,,Dorm.jpg
151,0,0,,,Dorm.jpg
152,0,0,,,Dorm.jpg
153,0,0,,,StartDating.jpg
190,0,0,,,Dorm.jpg
191,0,0,,,Dorm.jpg
192,0,0,,,StopDating.jpg
200,0,0,,I'm not.  I'm a free subbie.  I guess I'm too|much trouble for Dominants to consider me.,Dorm.jpg
210,0,0,,,Dorm.jpg
220,0,0,,,Dorm.jpg
230,0,0,,,Dorm.jpg
240,0,0,,,Dorm.jpg
250,0,0,,,Dorm.jpg
251,0,0,,,Dorm.jpg
252,0,0,,,Dorm.jpg
253,0,0,,,Dorm.jpg
254,0,0,,,Dorm.jpg
260,0,0,,,Dorm.jpg
270,0,0,,,Dorm.jpg
280,0,0,,,Dorm.jpg
300,0,0,,,Dorm.jpg
310,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
340,0,0,,,Dorm.jpg
350,0,0,,,Dorm.jpg
360,0,0,,,Dorm.jpg
370,0,0,,,Dorm.jpg
380,0,0,,,Dorm.jpg
400,0,0,,I'm going downtown.|I'll see you later.,Door.jpg
400,0,0,Common_ActorIsLover,"Hey sexy, I need to go downtown.|I'll come back to sleep with you later.",Door.jpg
400,0,0,Common_ActorIsOwned,"Mistress, I need to go downtown.|I hope to see you really soon.",Door.jpg
400,0,0,BondageClubInvitationBySarah,It's time to go to the Bondage Club.|Are you ready?  It will be fun.,Door.jpg
401,0,0,,,Door.jpg
402,0,0,,,Door.jpg
410,0,0,,,Door.jpg
500,0,0,,,Dorm.jpg
510,0,0,,,Dorm.jpg
520,0,0,,,Dorm.jpg
530,0,0,,,Dorm.jpg
540,0,0,,,Dorm.jpg
550,0,0,,,Dorm.jpg
560,0,0,,,Dorm.jpg
600,0,0,,,Dorm.jpg
610,0,0,,,Dorm.jpg
630,0,0,,,Dorm.jpg
631,0,0,,,Dorm.jpg
632,0,0,,,Dorm.jpg
633,0,0,,,Dorm.jpg
634,0,0,,,Dorm.jpg
635,0,0,,,Dorm.jpg
640,0,0,,,Dorm.jpg
641,0,0,,,Dorm.jpg
642,0,0,,,DormOrgasm.jpg
700,0,0,,Why is piggy here?|(She points at Sidney.),Dorm.jpg
700,0,0,Common_ActorIsLover,Hey sexy.  Why is piggy here?|(She points and stares at Sidney.),Dorm.jpg
700,0,0,Common_ActorIsOwned,"Mistress, why is piggy here?",Dorm.jpg
701,0,0,,,Dorm.jpg
702,0,0,,,Dorm.jpg
790,0,0,,You're kicking me out?,Door.jpg
790,0,0,Common_ActorIsLover,You're kicking me out?|It's over between us?,StopDating.jpg
791,0,0,,,Door.jpg
2000,0,0,,"Mistress, will you restrain me?  Gag me?|Spank me?  Fuck me?  Punish me?",Dorm.jpg
2100,0,0,,"Mistress, will fuck me in these restrains?|Or punish me?  Please, please, please.",Dorm.jpg
2200,0,0,,Uuuugnm nuhuug muun mn!|(She seems to want attention.),Dorm.jpg
2999,0,0,,,Dorm.jpg
3999,0,0,,,Dorm.jpg
