Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Wir müssen reden.,Worüber möchtest du denn reden?,0,0,0,TestTalk()
0,0,5,!Common_ActorIsOwned,"Du stehst auf BDSM, aber|hast keinen Besitzer?","Richtig, ich bin eine freie und glückliche Sub.|(Du brauchst +20 Dominanz, um Sarah zu versklaven.)",0,0,0,TestDomme()
0,0,-10,!BondageClubInvitationBySarah,Miss Sarah.|Ich bewundere Sie.,"Ich glaube, ich weiß was du brauchst, Mädchen.",0,0,0,TestSub()
0,0,0,BondageClubInvitationBySarah,Gehen wir jetzt|zum Bondage-Club? ,"(Sie prüft die Uhrzeit.) Nein, es ist noch zu früh.|Machen wir etwas anderes, bevor wir gehen.",0,0,0,TestBondageClub()
0,0,0,Common_PlayerGagged,@Om nnnuoogn mh!,Du bist so süß mit dem Knebel.|Kann ich auch einen haben?,0,0,0,TestUnbind()
0,0,0,Common_PlayerRestrained,(Mit deinen|Fesseln ringen.),"Du bist niedlich, wenn du dich freikämpfst.|Ich liebe es auch, gefesselt zu sein.",0,0,0,TestUnbind()
0,0,0,,Du solltest etwas|anderes anziehen.,Ich bleibe lieber so.,0,0,0,TestChange()
0,0,0,SexAvail,Möchtest du mit|mir Liebe machen?,"Nein, mir ist gerade nicht nach Sex.|Machen wir etwas anderes, okay?",0,0,0,TestSex()
0,0,0,PleasurePlayerAvail,"Meine Sklavin, du wirst|mich jetzt befriedigen.","Ihr braucht einen Quickie, Herrin?|(Sie sieht dich an und lächelt.)",630,0,0,TestPleasurePlayer()
0,0,0,!Common_PlayerRestrained,(Mit ihr spielen.),(Du gehst einen Schritt auf sie zu.),10,0,0,
10,5,0,!Common_PlayerGagged,(Sie küssen.),"(Du lehnst dich zu ihr und gibst ihr einen Kuss|auf die Lippen, während sie leise stöhnt.)",10,0,0,Kiss()
10,1,0,!Common_PlayerRestrained,(Sie kitzeln.),"(Du kitzelst ihre Brust und sie lacht ein wenig,|hat aber nicht so viel Freude daran.)",10,0,0,Tickle()
10,0,5,!Common_PlayerRestrained,(Ihr auf den|Hintern hauen.),(Du gibst ihr einen kräftigen Klaps auf den Hintern.|Sie wimmert vor Schmerz und stöhnt liebevoll.),10,0,0,Spank()
10,0,0,CanMasturbate,(Sie befriedigen.),"(Du lehnst dich zu ihr, um sie zu befriedigen,|aber sie drängt dich von sich weg.)",10,0,0,StartMasturbate()
10,0,0,IsGagged,(Sie entknebeln.),(Du entfernst langsam ihren Knebel.)|Dieser Knebel war ziemlich effektiv.,10,0,0,Ungag()
10,0,0,IsRoped,(Sie losbinden.),"(Du löst die Knoten und entfernst das Seil,|während sie sich glücklich streckt.)",10,0,0,Untie()
10,0,0,IsStrapped,(Sie losschnallen.),(Du löst die Riemen und entfernst|den Handschuh von ihren Armen.),10,0,0,Untie()
10,0,0,,(Aufhören.),(Du trittst einen Schritt zurück.),0,0,0,
20,0,0,Common_ActorIsOwned,Gehen wir mal|deine Regeln durch.,"Oh mein Gott. Ja, Herrin.",610,0,0,
20,0,0,ChatAvail,Ich wüsste gern|mehr über dich.,Cool! Was möchtest du denn wissen?,500,0,0,StartChat()
