Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,We need to talk.,What would you like to talk about?,0,0,0,TestTalk()
0,0,5,!Common_ActorIsOwned,You're into BDSM but|you're not owned?,"I'm not, I'm a free and a happy subbie.|(You need +20 submission to collar Sarah.)",0,0,0,TestDomme()
0,0,-10,!BondageClubInvitationBySarah,Miss Sarah.|I admire you.,I think I know what you need girl.,0,0,0,TestSub()
0,0,0,BondageClubInvitationBySarah,Are we going to the|Bondage Club now?,"(She checks the time.)  No, it's too early.|Let's do something else before we go.",0,0,0,TestBondageClub()
0,0,0,Common_PlayerGagged,@Om nnnuoogn mh!,You're so cute with that gag.|Can I also have a gag?,0,0,0,TestUnbind()
0,0,0,Common_PlayerRestrained,(Struggle in|your restrains.),You're adorable when you struggle.|I also love to be restrained.,0,0,0,TestUnbind()
0,0,0,,You should wear|something else.,I prefer to stay like that.,0,0,0,TestChange()
0,0,0,SexAvail,Would you like to|make love with me?,"No, I'm not in the mood for sex.|Let's do something else ok?",0,0,0,TestSex()
0,0,0,PleasurePlayerAvail,"My submissive, you|will pleasure me now.",You need a quickie Mistress?|(She looks at you and smiles.),630,0,0,TestPleasurePlayer()
0,0,0,!Common_PlayerRestrained,(Play with her.),(You take a step toward her.),10,0,0,
10,5,0,!Common_PlayerGagged,(Kiss her.),(You get close to her and kiss her|on the lips while she moans silently.),10,0,0,Kiss()
10,1,0,!Common_PlayerRestrained,(Tickle her.),"(You tickle her on the chest while she|laughs a little, she's not enjoying it that much.)",10,0,0,Tickle()
10,0,5,!Common_PlayerRestrained,(Spank her.),(You spank her hard on the butt while she|whimpers from the pain and moans lovingly.),10,0,0,Spank()
10,0,0,CanMasturbate,(Masturbate her.),"(You get closer to masturbate|her, but she pushes you away.)",10,0,0,StartMasturbate()
10,0,0,IsGagged,(Ungag her.),(You slowly remove her gag.)|This gag was pretty effective.,10,0,0,Ungag()
10,0,0,IsRoped,(Untie her.),(You undo the knots and remove the|ropes while she stretches happily.),10,0,0,Untie()
10,0,0,IsStrapped,(Unstrap her.),(You remove the straps and|unlace the binder from her arms.),10,0,0,Untie()
10,0,0,,(Stop playing.),(You take a step back.),0,0,0,
20,0,0,Common_ActorIsOwned,Let's review|your rules.,Oh my god.  Yes Mistress.,610,0,0,
20,0,0,ChatAvail,I'd like to know|more about you.,Cool!  What do you want to know?,500,0,0,StartChat()
20,0,0,DateAmandaAvail,Is there something|going on with Amanda?,"I'm not sure actually.  She gave me a|few hints, but I don't think she's serious.",160,0,0,
20,0,0,DatingAmanda,Would you like to use|my bed with Amanda?,"(She smiles.)  Of course I would!|But ask her first, she's the shy one.",20,0,0,
20,0,0,AmandaHeartBroken,Will Amanda be ok?,Poor Amy.  I guess she will be fine.|I'll speak with her when I get home.,20,0,0,
20,0,0,HasPigPicture,Here's the pig picture.|(Share a Sidney picture.),"This is PERFECT!  She will stop pestering me.|Thank you, what else could we do for fun?",0,2,0,PigPictureDone()
20,0,0,Common_PlayerChaste,Can you please help|me with this belt?,I cannot help you.|I don't have the key.,0,0,0,
20,0,0,Common_ActorIsLover,About our relationship...,Yes my sexy lover?|(She seems nervous.),190,0,0,
20,0,0,,It's time for you|to leave my place.,You're expelling me from your dorm?,790,-1,1,
20,0,0,,Never mind.,Very well.  What would you like to do?,0,0,0,
30,0,0,,Yes!  Let's go!|(Go to the club.),,30,0,0,EnterBondageClub()
30,0,0,,"Not yet, let me|pack my stuff.","Ok, but be quick, we might|get punished if we're late.",0,0,0,
100,0,0,,(Get in bed.),,0,0,0,MakeLove()
100,0,0,,(Push her on the bed.),,0,0,0,MakeLove()
100,0,0,!Common_ActorIsOwned,(Let her carry|you in bed.),,0,0,0,MakeLove()
110,0,0,,Do you have|a boyfriend?,"I don't.  Amanda teases me from time|to time, but I don't think she's serious.",120,0,0,
110,0,0,,Do you have|a girlfriend?,"I don't.  Amanda teases me from time|to time, but I don't think she's serious.",120,0,0,
110,0,0,,Do you have|a loved one?,"I don't.  Amanda teases me from time|to time, but I don't think she's serious.",120,0,0,
120,0,0,,Do you love her?,Amy?  Sure.  She's my best friend.|But I love you also COMMON_PLAYERNAME.,130,0,0,
120,0,0,,How come you two|are not together?,"Me and Amy?  I don't know.|I love her, just as I love you.",130,0,0,
120,0,0,,Do you love me?,Of course I love you.|It's the same for Amanda.,130,0,0,
120,0,0,,Amanda loves you really|much.  Go with her.,"Thanks, maybe I should ask her out.|What else could we do to have fun?",0,0,0,
130,0,0,,So you love|both of us?,"I think so, this is confusing.",140,0,0,AmandaJoinForLove()
130,0,0,,You need to|make your mind.,I need to choose now?|This is so confusing.,140,0,0,AmandaJoinForLove()
130,0,0,,Listen to|your heart.,I need to choose now?|This is so confusing.,140,0,0,AmandaJoinForLove()
130,0,0,,You don't have|to choose now.,"Very well, I'll think about that.|What else could we do to have fun?",0,0,0,
140,0,0,,Kiss me Sarah.|(Try to kiss her.),(You surprise her with a kiss on the lips.)|You're a great kisser COMMON_PLAYERNAME.,141,0,0,
140,0,0,,I love you Sarah.,I love you COMMON_PLAYERNAME.,141,0,0,
140,0,0,,Date Amanda.  Tell|her you love her.,"Thanks, maybe I should ask her out.|What else could we do to have fun?",0,0,0,
140,0,0,,Shut up and|go see Amanda.,"Thanks, maybe I should ask her out.|What else could we do to have fun?",0,0,0,
140,0,0,,Stay single.,Single girls have way more sex anyway.|What else could we do to have fun?,0,0,0,
141,0,0,,I want to see|you happy.,I'm happy with you sexy.|You make me all wet.,142,0,0,
141,0,0,,I want to make|you happy.,I'm happy with you sexy.|You make me all wet.,142,0,0,
141,0,0,Common_ActorIsOwned,My little subbie girl.|You need to be happy.,I'm happy with you Mistress.|You make me all wet.,142,0,0,
142,0,0,,Will you be|my girlfriend?,Yes!  We can be kinky lovers.,143,0,0,
142,0,0,,Will you date me?,Yes!  We can be kinky lovers.,143,0,0,
142,0,0,,Be my girlfriend.,Yes!  We can be kinky lovers.,143,0,0,
143,0,0,,I love you Sarah.|(Kiss and date her.),(You join in a long and loving kiss and grab|each other breast and pussy to celebrate.),144,3,0,StartDating()
143,0,0,,Wait!  I need some|more time to think.,"Sure, we'll make our minds after a few|more hundred orgasms.  (She giggles.)",0,0,0,
144,0,0,,Honey.  I'm|horny again.,There's no time like the present!,100,0,-1,
144,0,0,,Let's fuck again!,Oh yes my sexy lover!,100,0,0,
144,0,0,Common_ActorIsOwned,My love slave.|Get in bed now.,Oh yes my lovely Mistress!,100,0,1,
144,0,0,,I'm so happy!,Yes!  There will be lots of love and sex.|What could we do to start our relationship?,0,1,0,
144,0,0,,I can't wait to|tell my friends.,"Ok, but let me talk with Amanda first.|What could we do to have fun now?",0,-1,0,
144,0,0,,We should|go out later.,Oh yeah!  Well we might have to until|tomorrow for a romantic rendezvous.,0,0,0,
150,0,0,,Kiss me Sarah.|(Try to kiss her.),(You surprise her with a kiss on the lips.)|You're a great kisser COMMON_PLAYERNAME.,151,0,0,
150,0,0,,I love you Sarah.,I love you COMMON_PLAYERNAME.,151,0,0,
150,0,0,,Date Amanda girl!|(Turn to Amanda.),,0,0,1,AmandaDatingScene()
150,0,0,,Amanda.  It's|now or never.,,0,1,0,AmandaDatingScene()
150,0,0,,Stay single.,Single girls have way more sex anyway.|What else could we do to have fun?,0,0,0,
151,0,0,,Will you be|my girlfriend?,Yes!  We can be kinky lovers.|(Amanda starts to cry and leaves.),152,0,0,AmandaLeave()
151,0,0,,Will you date me?,Yes!  We can be kinky lovers.|(Amanda starts to cry and leaves.),152,0,0,AmandaLeave()
151,0,0,,Be my girlfriend.,Yes!  We can be kinky lovers.|(Amanda starts to cry and leaves.),152,0,0,AmandaLeave()
152,0,0,,I love you Sarah.|(Kiss and date her.),(You join in a long and loving kiss and grab|each other breast and pussy to celebrate.),153,3,0,StartDating()
