Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,Wie vertreibst du dir denn so die Zeit?,Dorm.jpg
0,10,0,,"Also, Kameradin, wie|vertreibst du dir denn so die Zeit?",Dorm.jpg
0,0,-10,,"Hey, Mädchen, wie vertreibst du dir denn so die Zeit?",Dorm.jpg
0,0,10,,"Miss, was würden Sie gern machen?",Dorm.jpg
0,0,0,Common_PlayerNaked,Du bist so pervers.,Dorm.jpg
0,10,0,Common_PlayerNaked,Du bist hübsch ohne Kleidung.,Dorm.jpg
0,0,-10,Common_PlayerNaked,"Mädel, du bist verdammt pervers.",Dorm.jpg
0,0,10,Common_PlayerNaked,"Miss, Ihr Körper ist fabelhaft.",Dorm.jpg
0,0,0,Common_ActorIsLover,"Was möchtest du machen, Süße?",Dorm.jpg
0,0,0,Common_ActorIsOwner,"Hey, meine kleine Bitch.|Was willst du denn machen?",Dorm.jpg
0,0,0,Common_ActorIsOwned,"Herrin, was würdet Ihr gern tun?",Dorm.jpg
0,0,0,IsRoped,(Sie zappelt.) Das ist viel zu eng.|Kannst du mir mit diesen Seilen helfen?,Dorm.jpg
0,0,0,IsStrapped,(Sie zappelt.) Das ist viel zu eng.|Hilfst du mir aus diesem Ding raus?,Dorm.jpg
0,0,0,IsGagged,Haamh nh g gna!,Dorm.jpg
10,0,0,,,Dorm.jpg
20,0,0,,,Dorm.jpg
100,0,0,,(Sie wird rot.) Danke.|Du siehst auch wundervoll aus.,Dorm.jpg
100,0,0,Common_ActorIsOwned,"(Sie wird rot.) Danke, Herrin.|Ihr seht heute auch fabelhaft aus.",Dorm.jpg
100,0,0,Common_ActorIsOwner,"Danke, meine kleine Bitch.|Du siehst auch wundervoll aus.",Dorm.jpg
105,0,0,,,Dorm.jpg
106,0,0,,,Dorm.jpg
110,0,0,,,Dorm.jpg
115,0,0,,,Dorm.jpg
120,0,0,,,Dorm.jpg
130,0,0,,,Dorm.jpg
140,0,0,,,Dorm.jpg
150,0,0,,,Dorm.jpg
160,0,0,,,StartDating.jpg
170,0,0,,,Dorm.jpg
190,0,0,,,Dorm.jpg
191,0,0,,,Dorm.jpg
192,0,0,,,StopDating.jpg
193,0,0,,,StopDating.jpg
194,0,0,,,Dorm.jpg
200,0,0,,"Schutz? Wie meinen Sie das, Miss?",Dorm.jpg
200,0,0,Common_ActorIsLover,"Ich hab doch schon deine liebenden Arme.|Meinst du, ich brauche Schutz?",Dorm.jpg
210,0,0,,,Dorm.jpg
220,0,0,,,Dorm.jpg
221,0,0,,,Dorm.jpg
230,0,0,,,Dorm.jpg
240,0,0,,,Dorm.jpg
241,0,0,,,Dorm.jpg
250,0,0,,,Dorm.jpg
260,0,0,,,Dorm.jpg
270,0,0,,,Dorm.jpg
271,0,0,,,Dorm.jpg
280,0,0,,,Dorm.jpg
285,0,0,,,Dorm.jpg
290,0,0,,,Dorm.jpg
291,0,0,,,Dorm.jpg
292,0,0,,,Dorm.jpg
293,0,0,,,Dorm.jpg
294,0,0,,,Dorm.jpg
295,0,0,,,Dorm.jpg
296,0,0,,,Dorm.jpg
297,0,0,,,Dorm.jpg
300,0,0,,"Das ist mir klar, aber du wirst noch niedergetrampelt,|wenn du dich weiter so aufführst.",Dorm.jpg
300,0,0,Common_ActorIsLover,"Ich weiß, Süße, aber man wird dich niederschmettern,|wenn du dich weiter so benimmst.",Dorm.jpg
310,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
340,0,0,,,Dorm.jpg
350,0,0,,,Dorm.jpg
360,0,0,,,Dorm.jpg
370,0,0,,,Dorm.jpg
380,0,0,,,Dorm.jpg
390,0,0,,,Dorm.jpg
391,0,0,,,Dorm.jpg
392,0,0,,,Dorm.jpg
400,0,0,,Ich muss los.|Wir sehen uns später.,Door.jpg
400,0,0,Common_ActorIsOwner,Bitch! Ich muss los.|Ich versohle dir später den Arsch.,Door.jpg
400,0,0,Common_ActorIsOwned,"Ich muss los, Herrin.|Wir sehen uns hoffentlich später.",Door.jpg
400,0,0,Common_ActorIsLover,"Ich wollte gleich zu einem Rockkonzert gehen.|Willst du mitkommen, Süße?",Door.jpg
401,0,0,,,Door.jpg
402,0,0,,,Door.jpg
410,0,0,,,Door.jpg
450,0,0,,"(Sidney packt dich am Halsband.)|Hey, Bitch! Zeit für etwas Spaß.",Dorm.jpg
450,0,0,Common_ActorIsLover,"(Sidney packt dich am Halsband.)|Hey, Süße! Zeit für etwas Spaß.",Dorm.jpg
500,0,0,,,Dorm.jpg
510,0,0,,,Dorm.jpg
520,0,0,,,Dorm.jpg
530,0,0,,,Dorm.jpg
540,0,0,,,Dorm.jpg
