Tag,Content
EventNaked,3000
EventUnderwear,3010
EventSchoolUniform,3020
EventRedBikini,3030
EventWhiteLingerie,3040
EventFullBondage,3100
EventRestrain,3110
EventGag,3120
EventRelease,3130
EventConfiscateKeys,3140
EventConfiscateCrop,3150
EventVibratingEgg,3160
EventSlap,3210
EventMasturbate,3220
EventCrop,3230
PunishmentGrounded,3910
PunishmentBelted,3920
PunishmentSpanked,3930
PunishmentHumiliated,3940
GaggedAnswer1,Ummgh ngh!
GaggedAnswer2,(Sie murmelt etwas in ihren Knebel.)
GaggedAnswer3,Ooooomp ohm mohmm!
GaggedAnswer4,(Sie starrt dich an.)
GaggedAnswer5,Ngmh ggn ng!
GaggedAnswer6,Aeeegn neemg!
GaggedAnswer7,Emhm mmohno mn eeeigh mn neeghnmem.
GaggedAnswer8,(Sie schweigt.)
AlreadyOwned,"Du gehörst schon jemandem, Mädel.|Da mische ich mich verdammt nochmal nicht ein."
UnrestrainFirst,Hilf mir erstmal aus diesem Scheiß raus.
UnchasteFirst,Nimm mir erst diesen beschissenen Gürtel ab.
PlayerUncollarFirst,Nimm erst dieses bekackte Halsband ab.
PlayerUnrestrainFirst,Werd erstmal diese bescheuerten Fesseln los.
GetOnYourKnees,"Gut, dann bist du ab jetzt meine Bitch.|Also, Bitch, geh auf die Knie."
ReleasePlayer,"Hier, ich helfe dir da raus.|(Sie befreit dich.)"
ReleasePlayerGagged,Uuhm mnuum gm uh.|(Sie befreit dich.)
CannotReleasePlayer,(Sie zappelt in ihren Fesseln|und zuckt mit den Schultern.)
ActivityEndGood,"Das reicht! Das war toll.|Du weißt, dass ich das jederzeit tun kann."
ActivityEndFair,"Das reicht! Das hat irgendwie Spaß gemacht.|Du weißt, dass ich das jederzeit tun kann."
ActivityEndBad,"Das reicht! Das war irgendwie schwach.|Aber du weißt, dass ich das jederzeit tun kann."
ReleaseBeforeExit,"Lass mich dir helfen, bevor ich gehe.|(Sie befreit dich und geht.)"
MasturbatePlayerOrgasm,"Du bekommst deinen verdammten Wunsch, Bitch! Komm, Schlampe.|(Sie befriedigt dich energisch und bringt dich zum Orgasmus.)"
MasturbatePlayerOrgasmForced,"Du wirst trotzdem kommen, Bitch! Na los, kleine Schlampe.|(Sie befriedigt dich energisch und bringt dich zum Orgasmus.)"
ChangingIsBlocked,"Nein, Bitch, du darfst dich nicht umziehen."
ReleaseBeforePunishNotNaked,"(Sie befreit dich und starrt dich an.)|Also gut, kleine Bitch! Zieh dich aus."
ReleaseBeforePunishAlreadyNaked,"(Sie befreit dich und starrt dich an.)|Also gut, Bitch! Hier kommt deine Bestrafung."
PunishSinceNaked,"Da du bereits nackt bist,|kann deine Bestrafung beginnen."
StillGrounded,"(Sidney ignoriert dich und schaut auf ihr Handy.|Du musst warten, du hast noch Zimmerarrest.)"
StillGroundedByOther,"Vergiss es. Ich helfe dir nicht da raus.|(Du musst warten, du hast noch Zimmerarrest.)"
GroundingEndForLeaving,"Ich muss los, Bitch. Du bekommst später den|Arsch versohlt. Du hast keinen Zimmerarrest mehr."
CantFindRestrain,"(Sie findet in deinen Sachen offenbar nicht,|wonach sie sucht.) Scheiß doch drauf!"
SpankPlayer1,(Du legst dich auf ihren Schoß und sie haut dir|unerwartet rasch auf den Hintern.) Eins!
SpankPlayer2,(Sie hebt schnell ihre Hand und gibt dir einen|weiteren Klaps auf dieselbe Stelle.) Zwei!
SpankPlayer3,"(Sie hebt ihren Arm in die Höhe und landet einen|starken, äußerst schmerzhaften Klaps.) Drei!"
SpankPlayer4,(Sie schlägt dich von der anderen Seite|und trifft ein frisches Stück Po.) Vier!
SpankPlayer5,"(Sie holt weit aus, trifft dich stark|und färbt deinen Hintern rot.) Fünf!"
SpankPlayer6,(Sie nimmt wieder die andere Seite und haut|doll auf dieselbe Stelle.) Sechs!
SpankPlayer7,(Sie haut überraschend schnell erneut zu|und lässt dich aufkreischen.) Sieben!
SpankPlayer8,"(Sie streichelt deinen Hintern und lässt sich Zeit,|bevor sie kräftig zuhaut.) Acht!"
SpankPlayer9,"(Sie nimmt wieder die andere Seite und haut|richtig doll auf dieselbe Stelle.) Neun!"
SpankPlayer10,"(Sie begutachtet lächelnd deinen Hintern und|schlägt auf die schlimmste Stelle.) Zehn!"
SpankPlayer11,(Sie begrabscht langsam deinen Hintern und lässt|schnell für einen Schlag los.) Elf!
SpankPlayer12,"(Sie holt tief Luft und schlägt mit voller Kraft|zu, was dich zum Weinen bringt.) Zwölf!"
Crop,(Du haust ihr mit deiner Gerte auf den Hintern.)|Au! Was soll die Scheiße? Lass das!
CropFromMistress,(Du haust ihr mit deiner Gerte auf den Hintern.)|Herrin! Bitte! Das tut verdammt weh.
CropWhileGagged,(Du haust ihr mit deiner Gerte auf den Hintern|und sie starrt dich wimmernd an.)
RefuseBondage,(Sidney sieht deinen Gegenstand und wehrt ab.)|Was zur Hölle hast du da vor?
TurnTables,(Sidney überwältigt dich und setzt deine Fesseln|gegen dich ein.) Das hast du davon.
TurnTablesFromMistress,"Willst du festgebunden werden, Bitch? Na schön!|(Sidney setzt deine Fesseln gegen dich ein.)"
AcceptChange,Na gut. Was sollte ich anziehen?
AcceptChangeFromLover,"Ja, Süße. Was würdest du denn gern sehen?"
AcceptChangeFromMistress,"Natürlich, Herrin. Was soll ich anziehen?"
NoNeedToChange,(Sie verdreht die Augen.)|Dann brauche ich mich nicht umzuziehen.
Rope,"(Sie grummelt leise, als du das Seil um|ihren Körper wickelst und fest verknotest.)"
TwoRopes,(Du nimmst ein zweites Seil und|fesselst sie in einer Sitzposition.)
ThreeRopes,(Mit einem dritten Seil befestigst|du ihre Beine fest an ihren Armen.)
Armbinder,"(Du zwängst ihre kräftigen Arme in den Handschuh,|den du fest zuschnallst und verschnürst.)"
Cuffs,"(Sie schaut unzufrieden, als du ihre Hände fest packst|und hinter ihrem Rücken in Handschellen legst.)"
BallGag,"(Sie wehrt sich etwas, aber du bekommst|den Knebel um ihren Kopf geschnallt.)"
TapeGag,"(Sie wehrt sich etwas, aber du|schaffst es, ihren Mund zuzukleben.)"
ClothGag,"(Sie wehrt sich etwas, aber du stopfst ihr die|Füllung in den Mund und bindest den Knebel fest.)"
CuffsKey,"(Sie sieht den Schlüssel und dreht sich|um, damit du sie freilassen kannst.)"
VibratingEgg,"(Sie schüttelt den Kopf, als sie das Ei|sieht, aber du steckst es in sie hinein.)"
ChastityBelt,"(Sie wird panisch, als sie den Gürtel sieht,|aber du verschließt ihn fest um sie.)"
Collar,"(Du brauchst +20 Dominanz und eine vollständige|Einwilligungsrede, um ihr ein Halsband anzulegen.)"
CollarToEnslave,"(Du brauchst ein Halsband,|um jemanden zu versklaven.)"
EnslaveAlreadyTried,Darüber haben wir schon gesprochen.|Ich werde dein Halsband nicht tragen.
AcceptCollar,"Ja, Miss. Ich werde Ihr Halsband tragen.|Es würde mich freuen, Ihre Sklavin zu sein."
CannotActWhileRestrained,(Sie verdreht die Augen|und wackelt in ihren Fesseln.)
CannotBeDoneWhileRestrained,"(Das kannst du nicht tun, solange du gefesselt bist.)"
NakedForBelt,"(Sidney muss nackt sein, bevor du ihr|einen Keuschheitsgürtel anlegen kannst.)"
AcceptPusherDeal,Was für eine beschissene Abmachung ist das denn?|Gut! Ich mach's! Ich zahle eh bald.
OrgasmFromSidneyPleasure,(Sidney streckt ihre Zunge geschickt in dich hinein.|Du zitterst und stöhnst von einem tollen Orgasmus.)
PleasureFromSidneyNoProgress,"(Sidney versucht dich mit dem Mund zu befriedigen,|aber ihr Rhythmus bringt dich nicht voran.)"
KissSidneyOwner,(Du stützt dich auf ein Knie und|küsst die Hand deiner Herrin.)
KissSidneyGagged,(Du küsst ihren Knebel und sie schaut dich verwundert an.)
KissSidneySeduction,(Du küsst sie leidenschaftlich und sie antwortet|mit ihrer Zunge und einem langen Stöhnen.)
StartMasturbateSidney,(Du gehst nah an Sidney heran und|streichelst zärtlich ihren Körper.)
