Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,(Open the door.),(The door has been locked shut and won't budge.),10,0,0,
10,0,0,NotForce,(Try forcing the door open.),(Cassi calls over.) The club has a locked door policy|to keep members safe.  Jenna let you in earlier.,10,0,0,Force()
10,0,0,NotKick,(Kick the door.),"(Cassi calls over.) Stop that, you're not|getting out before a club rep gets back.",10,0,0,Kick()
10,0,0,NotWho,Who has the door key?,"(Cassi calls over.) Jenna let you in earlier,|but she and the other club reps are out at the moment.",10,0,0,Who()
10,0,0,NotRestroom,But I really need|the Restroom.,(Cassi calls over.) Amateur mistake. You will just|have to hold it in till a club rep gets back.,10,0,-1,NeedsRestroom()
20,0,0,,(Open the door.),(The door has been locked shut and won't budge.),30,0,0,
30,0,0,NotPlead,@plmhfm lmt mm hht.,(Cassi calls over.) The door is kept locked|to protect helpless girls like you.,30,0,-1,Plead()
30,0,0,NotRestroom,@Bht Hm rmhlln nmmd|thm Rmftrhhm.,(Cassi calls over.) Amateur mistake. You will just|have to hold it in till a club rep gets back.,30,0,-1,NeedsRestroom()
30,0,0,NotForce,(Try forcing the door open.),(Cassi calls over.) The club has a locked door policy|to protect the helpless girls like you.,30,0,0,Force()
30,0,0,NotKick,(Kick the door.),"(Cassi calls over.) Stop that, you're not|getting out before a club rep gets back.",30,0,0,Kick()
