Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Sklavinnen?,"Genau, an den Willen ihres Meisters gebundene Diener.|Wie wär's mit einer dieser vorzüglichen Sklavinnen?",10,1,0,
0,0,0,,Die heutigen?,"Würde ich sie dauerhaft behalten, bräuchten|sie zu viel Fürsorge. Möchtest du eine?",10,0,0,
0,0,0,,"Ähhm, ich|bin COMMON_PLAYERNAME.","Schöner Name, als Sklavin würdest du ihn natürlich|verlieren. Möchtest du eine dieser Sklavinnen kaufen?",10,0,-1,
10,0,0,Loop1,Haben diese Mädels|darum gebeten?,"Na ja, sie können nicht wirklich bitten, nachdem sie|schon überfallen, gefesselt und geknebelt wurden.",20,0,0,StopLoop1()
10,0,0,,"Ja, ich nehme|eine Sklavin.","Moment, ich handle nur mit Bargeld und es sieht|nicht so aus, als könntest du dir eine leisten.",30,1,0,NotRichEnough()
10,0,0,,Diese Mädels|sind nicht mein Typ.,"Andere habe ich momentan nicht auf Lager.|Du könntest dir selbst welche fangen, die du magst.",40,1,1,
10,0,0,,"Nein, danke.","Nun, wie wäre es, wenn du dich|stattdessen als Kidnapperin versuchst?",30,0,0,
10,0,0,Loop2,Du kannst nicht|einfach Leute entführen.,"Tja, das habe ich aber. Bist du nun an|etwas Sklaverei interessiert oder nicht?",10,-1,0,StopLoop2()
20,0,0,,Also hast du sie|tatsächlich entführt?,"Nicht doch, diese beiden wissen, was passiert, wenn|man einer Sklavenhändlerin den Rücken zukehrt.",25,0,0,
20,0,0,,Genial.,"Ja, die meisten Leute lernen, beim Betreten des Clubs|hinter die Tür zu schauen. Andere lernen es wohl nie.",25,1,0,
25,0,0,,"Ich kann nicht glauben,|dass du das einfach tust.",Ist aber so. Sie sind ja freiwillig hier hereinspaziert.|Bist du an einer Sklavin interessiert oder nicht?,10,-1,0,
25,0,0,,Ich möchte nicht|eingefangen werden.,"Tja, möglicherweise wirst du keine Wahl haben.|Bist du an einer Sklavin interessiert oder nicht?",10,0,-1,
25,0,0,,"Du hast nicht versucht,|mich zu einzufangen.","Nur, weil Jenna die beste Stelle besetzt hatte.|Bist du an einer Sklavin interessiert oder nicht?",10,1,-1,
25,0,0,,Jenna hat nichts|von Sklaverei gesagt.,"Natürlich nicht, einige der|Mitglieder sind ja praktisch ihre Sklaven.",10,0,0,
30,0,0,,Dann sollte ich vielleicht|dich versklaven.,"Vielleicht, aber du hast bereits dein Überraschungs-|moment verspielt. Fange dir lieber jemand anderes.",40,1,1,
30,0,0,Poverty,Würdest du eine andere|Bezahlung annehmen?,Ich könnte dich als Sklavin verkaufen und wir teilen|den Erlös. Oder du fängst dir deine eigene Sklavin.,40,1,-1,SlaveOffer()
30,0,0,Poverty,Aber ich will so gern|eine eigene Sklavin.,"Ganz ruhig. Es gibt hier genug Mädchen, die nur|darauf warten, als Sklavinnen gefangen zu werden.",40,1,0,
30,0,0,,Das ist bescheuert.,"Komm schon, es ist nur etwas Spaß.|Du könntest sogar Gefallen am Kidnappen finden.",40,-1,0,
40,0,0,,Wir können einfach|jedes Mitglied entführen?,"Theoretisch schon. Manche wehren sich in Gruppen,|andere lassen sich einfach fesseln, wenn du sie fragst.",50,0,0,
40,0,0,SellMe,Du könntest mich|wohl verkaufen.,"Ausgezeichnet, komm her und akzeptiere|diese verbindliche Vereinbarung.",100,0,-1,NoLeave()
40,0,0,,Kidnapping ist|nichts für mich.,Du hast es noch gar nicht versucht.,50,-1,0,
40,0,0,,"Na ja, ich habe da ein|Mädchen im Auge.","Hihi, das wird sie sicher nicht kommen sehen.",50,1,0,
50,0,0,,"Okay, ich versuche|mich als Kidnapperin.","Hier ist kaum noch Platz für Sklaven, aber du kannst|Jennas Tasche voll Ketten neben der Tür benutzen.",55,1,0,
50,0,0,,"Du gehörst mir. (Versu-|chen, Erica zu kidnappen.)","Netter Versuch, aber|kampflos kriegst du mich nicht.",60,-1,0,Fight()
50,0,0,,(Dich umdrehen|und gehen.),"(Sie packt dich von hinten.) Kehre nie einer|Sklavenhalterin den Rücken zu, törichtes Mädchen.",150,0,0,NoLeave()
