Tag,Content
BoundAgain,"Da ist sie ja wieder, bist du jetzt|bereit, meine Sklavin zu sein?"
EscapeKidnap,"(Du befreist dich aus Ericas Griff.) Diesmal bist du ent-|kommen, aber ich fange dich, wenn du wiederkommst."
EarnKeep,Du bist wohl doch nicht so begehrt.|Dann musst du dir deinen Unterhalt anders verdienen.
LooseClothGag,"(Du fühlst, wie sich das Tuch lockert.|Nur noch etwas mehr und es sollte abfallen.)"
ChangeGag,Du scheinst den Stoffknebel nicht zu mögen.|Probier mal den hier. (Erica wechselt deinen Knebel.)
RubBallGag,"(Es bringt nichts. Reibung macht den Gurten,|die den Ball an seinem Platz halten, nichts aus.)"
NuzzleBallGag,"Iiih, du sabberst mir ja aufs Bein. Böse Sklavin."
EricaPleasureOrgasm,"aaAAAAaah jaaaaa. (Erica drückt deinen Kopf hinein,|als sie ihren Orgasmus hat, bevor sie dich loslässt.)"
StopPleasure,"Hmmmpf, du bist eine nutzlose Sklavin.|(Sie zieht dich hoch.)"
LetOut,"(Sie lässt dich hochkommen.)|Gibt es ein Problem, Sklavin?"
Free,"Tja, es lohnt sich kaum, dich als Sklavin zu behalten.|(Sie bindet die Seile von deinen Beinen los.)"
Freeish,"Tja, du bist als Sklavin nicht zu gebrauchen.|(Sie entfernt deinen Knebel und deine Beinfesseln.)"
PleasurePlayer,"Vielleicht etwas später, meine gute Sklavin.|(Sie knebelt dich erneut.)"
ChangeEgg,"Du hast offenbar schon ein Spielzeug, probier mal|das hier. (Sie tauscht das Ei in deiner Vagina aus.)"
PullGood1,(Du ziehst am Schrittseil. In Kombination mit dem|vibrierenden Ei ist es äußerst angenehm.)
PullGood2,(Du ziehst weiter am Schrittseil|und deine Erregung nimmt zu.)
PullGood3,"(Das fühlt sich langsam richtig gut an.|Uuuuh, nur noch ein bisschen.)"
PullGood4,"(Du bringst dich über die Schwelle, erreichst einen be-|freienden Orgasmus und stöhnst leise in den Knebel.)"
PullGood5,(Es fühlt sich immer noch gut an.)
PullFrustrating2,"(Du zupfst weiter am Seil, aber es reicht nicht.|Dieses Ei hat ärgerlich wenig Energie.)"
PullFrustrating3,"Wie gefällt dir mein Spezial-Ei? Es wurde extra ange-|fertigt, um Sklaven wie dich zu ärgern und zu strafen."
PullFrustrating4,(Es bringt nichts. Die nervtötend sanfte Vibration des|Eis spottet förmlich über jeden Befriedigungsversuch.)
UnbrokenLetGo,"(Du befreist Erica.) Wurde auch verdammt Zeit.|Du hattest vielleicht Nerven, das zu versuchen."
EricaSubdued,"(Erica beobachtet dich erschöpft. Sie macht dir keinen|Ärger mehr, sollte aber besser alleingelassen werden.)"
HumiliatedUngag,"Bitte, ich verspreche dir, nie wieder auch nur daran zu|denken, dich zu versklaven, aber bitte lass mich frei."
HumiliatedMasturbate,"(Sie stöhnt leise und zittert, als du|weiterhin ihre Klitoris massierst.)"
HumiliatedSpank,(Du haust ihr abwechselnd auf die Brüste.|Erica jammert vor Schmerz und Demütigung.)
HumiliatedNipples,"(Sie wimmert beschämt, als du ihre|Brüste massierst und ihre Nippel zwickst.)"
HumiliatedKey,"Du hast mir meinen Ruf und meine Würde genommen.|Ich kann dir nicht das Letzte geben, das ich noch habe."
