Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"So ist es, nett dich|kennenzulernen.","Ebenso. Es ist immer schön,|neue Clubmitglieder zu sehen.",30,1,0,
0,0,0,PlayerGagged,"@Eh ihf nhhm,|dhhf gmnmnzhlmnmn.","Tut mir leid, ich verstehe Knebelsprache noch nicht.|Du müsstest erst den Knebel abnehmen.",25,0,0,
0,0,0,,(Nicken.),"Sei nicht so schüchtern, wir sind hier alles Freunde.",30,0,-1,
10,0,0,,"Könntest du helfen,|mich zu befreien?","Tut mir leid, aber du hast dir das irgendwie eingebrockt,|also musst du da auch selbst wieder rauskommen.",15,0,0,
10,0,0,PlayerGagged,@Bhtte bmndm mihh lhf.,"Tut mir leid, ich verstehe Knebelsprache noch nicht.|Du müsstest erst den Knebel abnehmen.",15,0,0,
10,0,0,,(Nicken.),"Gut, dann viel Spaß dabei.",15,0,0,TiedNod()
20,0,0,,Könntest du diese|Handschellen abnehmen?,"Ich habe zwar keinen Handschellenschlüssel, aber ich|kann dir beibringen, wie man sich daraus befreit.",50,0,0,
20,0,0,,Dir würden sie noch|viel besser stehen.,"Handschellen neigen bei mir dazu, einfach|abzufallen. Möchtest du lernen, wie das geht?",50,0,0,
20,0,0,PlayerGagged,@Bhtte bmndm mihh lhf.,"Tut mir leid, ich verstehe Knebelsprache noch nicht.|Du müsstest erst den Knebel abnehmen.",25,0,0,
20,0,0,,(Nicken.),"Und auch noch so unterwürfig. Möchtest du|so bleiben oder lernen, wie man sich befreit?",50,0,-1,
25,0,0,PlayerGagged,@Bhtte bmndm mihh lhf.,"Tut mir leid, ich verstehe Knebelsprache noch nicht.|Du müsstest erst den Knebel abnehmen.",25,0,0,
30,0,0,,Was macht ihr da?,"Ich bringe Nicole bei, wie man sich ohne Schlüssel|aus Handschellen befreit. Weißt du, wie das geht?",40,0,0,
30,0,0,,Kann ich dich fesseln?,"Wow, jetzt nicht, ich bringe Nicole bei, wie man sich aus|Handschellen befreit. Möchtest du das auch lernen?",40,0,1,
30,0,0,,Würdest du|mich fesseln?,"Später vielleicht, ich bringe Nicole bei, wie man sich|aus Handschellen befreit. Das solltest du auch lernen.",40,0,-1,
30,0,0,BlindfoldAvailable,Braucht ihr diese|Augenbinde?,"Ich wollte versuchen, mich blind zu befreien, aber du|kannst sie dir leihen. Die ist gut, probier sie mal an.",30,0,0,GetBlindfold()
40,0,0,,"Ich wusste nicht,|dass das möglich ist.",Nichts ist unmöglich. Eigentlich ist der|Handschellen-Mechanismus sogar sehr primitiv.,100,0,0,
40,0,0,,"Wie, etwa indem du dir|die Daumen ausrenkst?","Sei nicht albern, es geht auch viel angenehmer. Der|Handschellen-Mechanismus ist eigentlich sehr primitiv.",100,-1,0,
40,0,0,,"Interessant,|erzähl weiter.",Klar. Der Handschellen-Mechanismus|ist im Grunde sehr primitiv.,100,1,0,
40,0,0,,Handschellen interessieren|mich nicht wirklich.,"Kein Problem, dann sprich mal mit den|Mädels nebenan. Sie reden über Seiltechniken.",45,0,0,
45,0,0,BlindfoldAvailable,Braucht ihr diese|Augenbinde?,"Ich wollte versuchen, mich blind zu befreien, aber du|kannst sie dir leihen. Die ist gut, probier sie mal an.",45,0,0,GetBlindfold()
50,0,0,PlayerHasKey,"Ich hab zwar Schlüssel,|aber ich möchte es lernen.","Schlüssel sind gut, können aber verloren gehen. Der|Handschellen-Mechanismus ist eigentlich sehr primitiv.",100,1,0,
50,0,0,,"Bitte bring es mir bei,|die Dinger tun weh.","Natürlich, Süße. Der Handschellen-|Mechanismus ist eigentlich sehr primitiv.",100,1,-1,
50,0,0,,"Ja, sag es mir|auf der Stelle.","Okay, ganz ruhig. Der Handschellen-|Mechanismus ist eigentlich sehr primitiv.",100,0,1,
50,0,0,,"Vergiss es, ich suche mir|einfach 'nen Schlüssel.",Viel Glück dabei.,55,-1,0,
50,0,0,PlayerGagged,@Bhtte bmndm mihh lhf.,"Tut mir leid, ich verstehe Knebelsprache noch nicht.|Du müsstest erst den Knebel abnehmen.",50,0,0,
50,0,0,PlayerGagged,(Nicken.),"Jemand muss dich aus gutem Grund geknebelt haben.|Lass dir den Knebel abnehmen, dann können wir reden.",50,0,0,
100,0,0,,Mir kommt er|recht wirksam vor.,"Wirksam, aber primitiv. Es ist nur eine gefederte Klinke|auf einer Sperre, und der Schlüssel hebt die Klinke an.",110,0,0,
100,0,0,,Dieser ganze Raum|ist etwas primitiv.,"Hab dich nicht so. Es ist nur eine gefederte Klinke|auf einer Sperre, und der Schlüssel hebt die Klinke an.",110,0,0,
110,0,0,,Und was machst du|dann ohne Schlüssel?,"Ich drücke die Klinke von der Sperrvorrichtung, indem|ich einen dünnen Metallstreifen dazwischenschiebe.",120,0,0,
110,0,0,,Also knackst du|einfach das Schloss?,"Das geht auch, aber ich schiebe einfach einen Metall-|streifen zwischen die Klinke und die Sperrvorrichtung.",120,0,1,
110,0,0,,Was meintest du|gerade mit Schinken?,Mach dir keinen Kopf über die Fachbegriffe. Du musst|nur einen Metallstreifen in die richtige Stelle schieben.,120,0,-1,
120,0,0,,"Wie, du zauberst einfach|Metallstreifen herbei?","Die Zauberei besteht darin, sie clever zu verstecken.|Gewöhnliche Haarspangen sind ideal und diskret.",130,0,0,
120,0,0,,So etwas|hab ich nicht.,"Viele von uns tragen schon genau das Richtige.|Eine Haarspange ist alles, was du brauchst.",130,0,-1,
120,0,0,,"Hmmm, was in dieser Art|könnte ich denn haben?","Das ist genau die richtige Herangehensweise. Alles,|was wir hier brauchen, ist eine normale Haarspange.",130,1,0,
130,0,0,,"Kannst du mir zeigen,|wie das geht?","Leg dir erst Handschellen an, dann gehen|wir es gemeinsam durch, wie mit Nicole.",140,0,0,AlreadyCuffed()
130,0,0,,"Mach schon. Zeig|uns, wie es geht.","Na ja, das könnte ich, aber leg dir doch Handschellen|an und versuch es einfach selbst, so wie Nicole.",140,0,1,AlreadyCuffed()
140,0,0,,Alles klar. (Dir selbst|Handschellen anlegen.),(Du nimmst die Handschellen und legst sie dir hinter|dem Rücken an.) Du bist eine sehr folgsame Schülerin.,150,1,-1,PlayerCuffed()
140,0,0,,Das ist doch|nicht dein Ernst?,"Doch. Wenn du nicht mitmachst,|bringe ich dir auch nichts bei.",145,0,0,
145,0,0,,"Na gut, hoffentlich|bringt das was.","(Du nimmst die Handschellen und legst sie dir an.)|Das wird es, wenn du keinen Fehler machst.",150,0,0,PlayerCuffed()
145,0,0,,"Nein, das ist|mir zu blöd.",Wie du willst. Ich muss es dir nicht sagen.,145,0,0,
150,0,0,,"Moment, wie soll ich an 'ne|Haarspange rankommen?",Daran hättest du vorher denken müssen. Am besten|hältst du immer ein paar an deinem Körper versteckt.,160,0,0,
150,0,0,,(Erwartungsvoll die|Hand ausstrecken.),"Was? Ach so, eine Haarspange. Am besten hältst du für|alle Fälle immer ein paar an deinem Körper versteckt.",160,-1,1,
150,0,0,,"Ähm, ich komme so|nicht an meinen Kopf.","Natürlich, darum zahlt es sich aus, immer|ein paar an deiner Kleidung zu verstecken.",160,0,-1,
160,0,0,,Dürfte ich bitte|eine Spange haben?,Ja. (Sie befestigt eine Haarspange an|der Taille deines Rocks.) Du bist bereit.,170,0,-1,KinkyClip()
160,0,0,,"Komm schon, gib|mir eine Haarspange.",Klar. (Sie befestigt eine Haarspange an|der Taille deines Rocks.) Du bist bereit.,170,0,0,KinkyClip()
165,0,0,,"Sexy Versteck,|gefällt mir.","Es soll nicht sexy sein, es ist einfach eine gute Idee,|ein paar an verschiedenen Stellen zu verstecken.",170,1,0,
165,0,0,,"Ähh, musstest du sie|gerade da verstecken?","Ja, ein Entführer könnte deine Uniform entfernen.|Mehrere verschiedene Verstecke sind eine gute Idee.",170,0,-1,
170,0,0,,Und was mache ich jetzt?,"Nimm die Haarspange und brich das breite|Ende ab, indem du es hin und her biegst.",180,0,0,
180,0,0,,"(Tun, was sie sagt.)","(Die Spange zerbricht mit etwas Mühe deiner Finger.)|Genau, du brauchst nur das dünne Ende mit der Niete.",190,0,0,
190,0,0,,Und jetzt?,"Das ist der Metallstreifen, den du brauchst. Stecke es|an den Zacken entlang ins Schloss der Handschellen.",200,0,0,
190,0,0,,Das stecke ich also|in die Handschellen?,Richtig. Stecke es an den Zacken|entlang ins Schloss der Handschellen.,200,1,0,
200,0,0,,(Den Streifen in die|Handschellen stecken.),"(Nach ein wenig Fummelei bekommst du die Hand-|schellen auf.) Spitze, Nicole hat es noch nicht raus.",205,0,0,ReleaseTest()
205,0,0,,(Es erneut versuchen.),(Nach ein wenig Fummelei bekommst du die Hand-|schellen auf.) Na also. Immerhin schneller als Nicole.,205,0,0,ReleaseTest()
210,0,0,,Danke. Hast du noch|mehr Haarspangen?,"Keine Ursache. Ich hab 'nen Haufen|Haarspangen dabei, hier, nimm dir ein paar.",220,1,0,LearntEscape()
210,0,0,,"Na ja, ich schätze,|das hat geklappt.","Immerhin bist du die Handschellen los.|Hier hast du ein paar Haarspangen, nur für den Fall.",220,-1,0,LearntEscape()
220,0,0,BlindfoldAvailable,Braucht ihr diese|Augenbinde?,"Ich wollte versuchen, mich blind zu befreien, aber du|kannst sie dir leihen. Die ist gut, probier sie mal an.",220,0,0,GetBlindfold()
300,0,0,,"Na, wen haben|wir denn da?","Ja, du hast mich erwischt, aber nicht mehr lange. Wenn|Nicole mich loslässt, kann ich mich sofort befreien.",310,0,0,
300,0,0,,Das ist aber mal|ein hübscher Fang.,"Danke, aber Handschellen können mich nicht|lange halten. Nicole, du kannst jetzt loslassen.",310,1,0,
300,0,0,,Wen hab ich erwischt?,"Mich, und ohne Nicole wäre ich diese Handschellen|schon los, bevor du die Augenbinde abgenommen hast.",310,0,0,
310,0,0,,Dann sollte|ich dich fesseln.,"Niemals, ich hasse es, wie sich Seile anfühlen.",315,0,0,
310,0,0,,Du kannst wirklich aus allen|Handschellen entkommen?,"Klar doch. Alle möglichen Handschellen,|ohne Schlüssel, ohne Probleme. Willst du mal sehen?",320,0,0,
310,0,0,,Du hast also|einfach einen Schlüssel?,"Nein, ich kann mich aus allen Handschellen|befreien, ohne einen Schlüssel zu brauchen.",320,0,0,
315,0,0,,Und wenn ich ganz|lieb darum bitte?,Die Antwort lautet immer noch nein.,320,0,0,
315,0,0,,Als könntest du|was dagegen tun.,"Pass auf, dieser Club sieht Mobbing nicht gern.",320,-1,0,
320,0,0,,"Na gut, dann|versuch's mal.","(Nicole lässt sie los und Lauren streift kurz darauf|die Handschellen ab.) Na also, sag ich doch.",330,0,0,
320,0,0,,"Zeig mal, was|du drauf hast.",Ich bin die Beste. (Nicole lässt sie los und Lauren|hat sich kurz darauf von den Handschellen befreit.),330,1,0,
330,0,0,,"Hmmm, das sah nicht|sehr schwierig aus.",Ich bin schneller als alle anderen hier.,340,-1,0,
330,0,0,,Du hast einfach|eine Haarspange benutzt.,Na und? Das zählt trotzdem als Befreiung.,340,0,0,
330,0,0,,"Wow, du scheinst echt|keine Mühe zu haben.","Ja, Handschellen hinter dem Rücken|sehe ich kaum als Herausforderung an.",340,1,-1,
340,0,0,,Wie wär's mit einer|richtigen Herausforderung?,"Nur zu, ich kann mich aus allen|Handschellen irgendwie befreien.",350,0,0,
340,0,0,,Ich könnte dich mit|Handschellen festhalten.,"Da wäre ich mir nicht so sicher,|aber du kannst es gern versuchen.",350,0,1,
350,0,0,,Zieh erst deine|Uniform aus.,Was? Na gut. (Sie zieht sich widerwillig aus.)|Ich kann auch ohne ein Ass im Ärmel entkommen.,360,0,1,
350,0,0,,Was hast du denn noch|für Asse im Ärmel?,"Eine Menge, aber die brauch ich nicht. (Sie zieht|zuversichtlich ihre Uniform aus, um es zu beweisen.)",360,0,-1,
360,0,0,,Schöne glänzende|Satinunterwäsche.,"(Sie wird rot.)|Ich mag das Gefühl von weichem Satin, das ist alles.",370,0,0,
360,0,1,,"Sexy Unterwäsche,|zieh die auch aus.","(Sie wird rot.) Nicht hier, das ist einfach nur falsch,|und das soll gar nicht sexy sein.",370,-1,0,
360,0,1,,Satin? Wer ist hier die|Versaute unter uns?,"(Sie wird rot.) Bitte, das ist es nicht, ich bevorzuge|einfach das Gefühl von weicher Satinunterwäsche.",370,0,1,
360,0,0,,"OMG, ich hätte auch gern|so sexy Unterwäsche.","(Sie wird rot.) Das ist nicht sexy, weicher|Satin fühlt sich einfach angenehmer an.",370,0,-1,
370,0,0,,"Okay, wie viele|Handschellen haben wir?","(Nicole spricht.) Lauren hat jede Menge in ihrer|Tasche, und dazu noch etwas größere Fußfesseln.",380,0,0,
370,0,0,,"Ich weiß nicht, ob ich|genug Handschellen habe.","(Nicole spricht.) Kein Problem, Lauren hat|eine Tasche voll mit Hand- und Fußfesseln.",380,0,-1,
370,0,0,,"Ich glaube, du brauchst|mehr Handschellen.",In meiner Tasche sind noch mehr Handschellen|und Fußfesseln. Ich mag Herausforderungen.,380,1,0,
380,0,0,,"Gut, die können wir|benutzen. Setz dich.","Du hast nichts von Stühlen gesagt, aber egal.|(Lauren setzt sich auf ihren Stuhl.)",390,0,0,
380,0,0,,Hervorragend. Du solltest|dich hierfür setzen.,"Schön, dass du dich so für Entfesselungskunst|begeisterst. (Lauren setzt sich auf ihren Stuhl.)",390,1,0,
390,0,0,,Kann ich jetzt deine|Beine anketten?,"Ich schätze schon. (Du nimmst Fußfesseln,|ziehst ihre Füße nach hinten und kettest sie fest.)",400,0,-1,
390,0,0,,"Zeit, die Beine|auseinander zu nehmen.","Was hast du gesagt? (Sie ist verdutzt, während du ihre|Füße an die Rückseite des Stuhls kettest.)",400,-1,0,
390,0,0,,Fangen wir mit|deinen Beinen an.,Meinetwegen. (Du kettest ihre Knöchel mit|Fußfesseln an die Rückseite des Stuhls.),400,0,0,
400,0,0,,"Gut, jetzt eine Handschelle|für jede Hand.","Es ist egal, wie viele du benutzt,|ich entkomme so oder so.",410,0,0,
400,0,0,,Gib mir jetzt deine Hände.,Etwa so?|(Du legst jeder Hand eine Handschelle an.),410,0,1,
400,0,0,,Lass mich bitte|deine Hände anketten.,Wenn du schon so nett bittest. (Sie hält dir ihre|Arme hin und du legst beiden Seiten Handschellen an.),410,1,-1,
410,0,0,,Kreuze deine Arme|hinter dem Stuhl.,(Sie gehorcht und du schließt die offenen Enden|um die entgegengesetzten Seiten des Stuhls.),420,0,0,LaurenCuffed()
410,0,0,,(Ihre Arme nach|hinten ziehen.),"Hey, immer sachte. (Du kettest jeden Arm|an die entgegengesetzte Seite des Stuhls.)",420,-1,1,LaurenCuffed()
410,0,0,,Nimm deine Arme auf der|Stelle hinter den Rücken.,Das geht auch höflich. (Du kettest jeden Arm|an die entgegengesetzte Seite des Stuhls.),420,-1,0,LaurenCuffed()
420,0,0,,"Okay, du kannst ver-|suchen, dich zu befreien.","(Sie zieht eine Spange aus ihrem Pferdeschwanz und|fummelt damit herum.) Moment, was hast du gemacht?",430,0,0,
420,0,0,,"Viel Glück, jetzt noch|da rauszukommen.","Oh je, das wird doch schwierig. (Sie zieht eine Spange|aus ihrem Pferdeschwanz und fummelt damit herum.)",430,0,1,
420,0,0,,Versuch's. Ich würde|nicht auf Erfolg wetten.,"Sicher bin ich auch nicht, aber ich versuch's. (Sie zieht|eine Spange aus ihrem Pferdeschwanz und fummelt.)",430,0,-1,
430,0,0,,"Ich dachte, du könntest|dich aus Allem befreien?","Aber ich brauche beide Hände zusammen, um eine|Scheibe rauszubrechen. (Sie versucht es einhändig.)",440,0,1,
430,0,0,HasClip,"Cool, das ist ein|kreatives Versteck dafür.","Sieh zu und lerne. Wobei, das hier|ist viel schwieriger, als ich dachte.",440,1,0,
430,0,0,,Was ist denn nun?,"'Tschuldige, das ist viel|schwieriger, als ich erwartet hatte.",440,-1,1,
440,0,0,,Geknebelt könntest du|dich besser konzentrieren.,"Das glaube ich nicht, aber wenn es sein muss.",450,0,1,Leave()
440,0,0,,Möchtest du|einen Knebel?,"Nicht unbedingt, aber dadurch sollte|das hier auch nicht viel schwieriger werden.",450,0,0,Leave()
450,0,0,,Gibst du auf?,"Nein, gib mir noch etwas Zeit.",450,0,0,GiveUpGagged()
450,0,0,!Common_PlayerRestrained,Du magst also das|Gefühl von Satin?,"(Du streifst sanft einen Finger über ihren BH, wodurch|sie sich erschreckt und die Haarspange fallenlässt.)",460,-1,0,
450,0,0,!Common_PlayerRestrained,"Zu langsam, die Zeit|ist um. (Sie befreien.)",(Du befreist Lauren und sie|zieht sich hastig wieder an.),510,-1,1,ReleaseLauren()
450,0,0,!Common_PlayerRestrained,"Ich glaube, ich könnte mich|schneller daraus befreien.","(Nicole meldet sich zu Wort.) In der Tasche sind noch|mehr Hand- und Fußfesseln, falls du's versuchen willst.",455,0,0,NoLeave()
450,0,0,LaurenGagged,(Sie entknebeln.),"(Du nimmst ihr den Knebel ab.)|Danke, das war so schon schwierig genug.",450,0,0,UngagLauren()
455,0,0,,Das war nur Spaß.,(Du wendest dich wieder Lauren zu.),450,0,0,Leave()
455,0,0,,"Ja, okay, ich|versuch's auch mal.","(Du ziehst deine Uniform aus, und nachdem sie|frei ist, kettet dich Nicole an einen zweiten Stuhl.)",490,0,-3,PlayerCuffed()
460,0,0,,Was mache|ich jetzt mit dir?,"Keine Ahnung, ich hab noch|nie so in der Klemme gesteckt.",460,0,0,Ask()
460,0,0,,(Sanft ihre|Brüste streicheln.),(Bei deiner sanften Berührung stöhnt sie sehr leise.),460,0,0,StrokeBreasts()
460,0,0,,(Ihre Brüste|begrabschen.),"Warte, das ist viel zu grob. Hör auf.",460,0,0,GropeBreasts()
460,0,0,,(Ihre Nippel kneifen.),"(Lauren kreischt.)|Lass mich los, du Perverse.",460,0,0,PinchNipples()
460,0,0,,(Sie küssen.),"(Als du sie zu küssen versuchst, schreckt Lauren|zurück.) Was hat dir denn diesen Eindruck gegeben?",460,0,0,Kiss()
460,0,0,,(Ihren in Höschen|gehüllten Po streicheln.),"Mmmmm mm mmmmmm. (Lauren zuckt, scheint|deine Berührung durch den Satin aber auszukosten.)",460,0,0,CaressBum()
460,0,0,,(Ihr einen Klaps|auf den Po geben.),"Aua, was sollte das denn?",460,0,0,SlapBum()
460,0,0,,(Um ihren Schritt|herum reiben.),"Hey, lass das. Denk nicht mal daran, das zu tun.",460,0,0,RubCrotch()
460,0,0,,(Sie befriedigen.),"Agh, was zur Hölle glaubst du, was du da tust? NEIN.",460,0,0,Masturbate()
