Tag,Content
AlreadyCuffed,"Da du bereits Handschellen trägst, kannst du|es selbst versuchen, während ich es dir erkläre."
KinkyClip,Klar. (Sie greift unter deinen Rock und steckt|eine Haarspange an den Bund deines Höschens.)
Fail0,"(Der Streifen bleibt stecken, Lauren reißt ihn heraus.)|Versuch es nochmal, ohne ihn hineinzubohren."
Fail1,"(Du fummelst herum und lässt den Streifen fallen.) Wie|ungeschickt, hier, versuch es mit einer neuen Spange."
BallGag,(Sie akzeptiert den Ballknebel widerwillig|und du schnallst ihn in ihrem Mund fest.)
TapeGag,"(Sie schließt widerwillig den Mund und akzeptiert das|Klebeband, das du an ihrem Mund glattstreifst.)"
ClothGag,(Sie öffnet widerwillig den Mund für das Tuch|und du bindest es entschlossen fest.)
MuffledDetermination,"(Sie schüttelt den Kopf und versucht weiterhin,|die Haarspange mit einer Hand zu zerbrechen.)"
AskLetGo,Du solltest mich freilassen.
AskEnjoy,"Ich schätze, wir könnten das|Beste aus der Situation machen."
AskBeGentle,"Ich weiß nicht, sei bitte einfach nicht zu grob."
AskWhatever,Was immer du willst.
AskUnsure,"Ich weiß nicht.|Das ist so falsch, aber es fühlt sich so gut an."
AskGag,(Sie murmelt etwas in ihren Knebel.)
LikeGrope,"(Sie atmet schwer und stöhnt leise, als du ihre|in Satin gehüllten Brüste drückst und massierst.)"
GropeGag,"(Sie wirkt verärgert.)|Whth, dh hft fhhn fh grhm. Hn hf."
LikeNipples,"Ohhh, bitte sei behutsam."
LikeNipplesGag,(Sie stöhnt.) Bhtte fhi bhhdfhm.
NipplesGag,"(Lauren kreischt.)|Lahh mihh hoh, hu Behwehwe."
LikeKiss,(Du küsst ihre Lippen.|Leicht verblüfft erwidert sie deinen Kuss.)
GagKiss,(Du küsst ihre Brüste. Sie zuckt zusammen.)|Wah had dih dihem Ahmdhug hehemem?
LikeGagKiss,(Du küsst ihre Brüste. Sie maunzt leise.)
SubGagKiss,(Du küsst ihren entblößten Schritt.|Sie krümmt sich und schüttelt den Kopf.)
LoveSubGagKiss,(Du küsst ihren entblößten Schritt.|Sie maunzt und nickt langsam.)
LikeCaress,(Sie genießt deine sanfte Berührung und stöhnt leise.)
LikeSlap,"Aua, bitte etwas sanfter."
LikeSlapGag,(Sie wimmert in ihren Knebel.) Bhtte fhi bhhdfhm.
SlapGag,(Sie jammert in ihren Knebel.) Whohüh wah dah?
LikeRub,(Ihr Atem wird schneller.)|D-Das ist eine z-z-ziemlich empfindliche Stelle.
LikeRubGag,(Ihr Atem wird schneller und|sie wimmert in ihren Knebel.)
RubGag,"(Sie knurrt wütend.)|Hmn, lhh dh. Dhnn nhh mhl dhmh, dh fm dmm."
LikeMasturbate,(Sie atmet schnell und stöhnt leise.)
LikeMasturbateGag,(Sie atmet schnell und stöhnt leise in ihren Knebel.)
MasturbateGag,"(Sie schreit durch den Knebel.)|Hgh, wh zhh Hmhm glmft dh, wh dh dh dhmt? NHMN."
LaurenOrgasm,"(Sie zittert in ihren Fesseln und sie beißt sich auf die|Lippe, um ihr orgasmisches Stöhnen zu dämpfen.)"
LaurenOrgasmGag,"(Sie zittert in ihren Fesseln und stöhnt gedämpft|in ihren Knebel, als sie einen Orgasmus erreicht.)"
LaurenOrgasmRep,"(Sie zittert hilflos und jammert leise, hin- und|hergerissen zwischen Lust und Demütigung.)"
Bullied,(Lauren kämpft gewaltsam mit ihren Fesseln und fängt|zu weinen an. Du spürst eine Hand auf deiner Schulter.)
ShakesHead,(Sie schüttelt den Kopf.)
LoveIt,"Das hat Spaß gemacht, vielleicht irgendwann wieder.|(Sie fängt wieder an, Nicole zu unterrichten.)"
SubIt,"Ja, ich glaube schon.|(Sie fängt wieder an, Nicole zu unterrichten.)"
OrgasmIt,"(Sie wird noch röter und nickt schweigend.|Dann fängt sie wieder an, Nicole zu unterrichten.)"
LoveAgain,"Klar, aber nicht jetzt.|(Sie fängt wieder an, Nicole zu unterrichten.)"
SubAgain,"Ja, aber bitte nicht jetzt in diesem Moment.|(Sie fängt wieder an, Nicole zu unterrichten.)"
OrgasmAgain,"(Sie wird noch röter.) Bitte nicht mitten in der Schule.|(Sie fängt wieder an, Nicole zu unterrichten.)"
LuarenReturned,"(Lauren kommt zurück.) Ich habe im Club herumgefragt,|sie meinen, du seist ein ziemlich versautes Mädchen?"
LaurenRevengeNod,"Das erklärt einiges. Cassidy meinte,|du würdest viel lieber nehmen als geben."
LaurenRevengeShake,"Nach dem, was du mit mir gemacht hast?|Mal sehen, wie es dir gefällt."
Intimate1,(Sie tastet zögernd deinen Schritt ab.)
Intimate2,(Sie stupst sanft deine Klitoris an.)
Intimate3,"(Sie fängt an, dich langsam zu befriedigen.|Sie reibt deinen Schritt durch dein Höschen.)"
Intimate4,(Sie wird schneller und erhöht das Lustgefühl.)
Intimate5,Das ist faszinierend. Sollte ich weitermachen?
DislikeNod,"Nein, ich mag das einfach nicht.|(Sie steht auf, geht davon und lässt dich hängen.)"
SubShake,"Tja, ich werde es herausfinden.|(Sie zieht dein Höschen herunter.)"
LikeShake,"Ach komm schon, es gibt nur einen Weg, es|herauszufinden. (Sie zieht dein Höschen herunter.)"
RevengeNod2,"Ganz genau, du nimmst also doch lieber.|(Sie zieht dein Höschen herunter.)"
RevengeShake2,Du hast mir vorhin keine Wahl gegeben.|(Sie zieht dein Höschen herunter.)
Intimate6,Du wachst deine Muschi?!|(Sie reibt deinen glatten Schritt.)
Intimate7,"(Sie steckt zwei Finger in deine Vagina.)|Du fühlst dich angespannt an, entspann dich."
Intimate8,(Sie bewegt ihre Finger immer wieder|tief hinein und wieder heraus.)
IntimateDenial,"(Sie zieht sie plötzlich heraus.) Ich glaube, das reicht|fürs Erste. (Sie zieht dein Höschen hoch und geht.)"
IntimateOrgasm,"(Ihre andere Hand spielt mit deiner Klitoris, während die|erste heftig pumpt. Es führt zu einem tollen Orgasmus.)"
IntimateProlong,(Lauren befriedigt dich weiter|und verlängert deine hilflose Ekstase.)
IntimateSubside,(Sie hört auf und der Orgasmus erlischt.) Ich frage|mich...? (Du spürst einen Finger an deinen Anus.)
AnalRefuse,War nur Spaß. Ich lasse dich mal darüber fantasieren.|(Sie zieht dein Höschen hoch und geht.)
Intimate12,(Sie bewegt die Finger in deiner Vagina|zusammen mit dem in deinem Po.)
Intimate13,"(Du kommst erneut, es ist ein|Orgasmus aus Wonne und Schmerz.)"
Intimate14,Ich gehe mir jetzt die Hände waschen. (Lauren zieht|ihre Finger heraus und dein Höschen hoch und geht.)
OBreak,"(Voller Erschöpfung ist es mühsam, die Ketten|überhaupt in Schwingung zu versetzen.)"
OClip,"(Dich auch nur an das Versteck der Haarspange zu|erinnern wäre zu anstrengend, du schwingst sachte.)"
OCall,(Kaum ein schwaches Winseln|entweicht nun deinem geknebelten Mund.)
