Tag,Content
WarnKidnapper,"(Als du sie packst, hält Amelia dich auf.) Eine zu|entführen ist schlimm genug, die Andere bleibt hier."
StopKidnapper,"Das reicht. Mal sehen, wie dir das gefällt."
StoppingYou,"Gut, das werde ich.|(Sie festigt ihren Griff und führt dich durch den Raum.)"
ForceTied,"Hör auf, dich herauszureden. Das liegt dir nicht.|(Amelia zieht dich zwanghaft aus und fesselt dich.)"
YouTry,"Ich versuche das nicht noch einmal, aber ich|glaube, bei dir könnte sie inzwischen nachgeben."
WouldYourSisterShake,(Sie schüttelt den Kopf.)
WouldYourSisterNod,(Sie nickt.)
LucyUnties,"Okay. Danke, dass ich an dir üben durfte.|(Sie bindet deine Arme los.)"
LucyNotTieYou,"Schon okay.|Sag Bescheid, wenn du bereit bist, es zu versuchen."
AnnoyedUngag,"Ich kann dir den Knebel wohl abnehmen, aber nur,|wenn du nett zu mir bist. (Sie nimmt deinen Knebel ab.)"
AnnoyedNoUngag,"Geknebelt bist du mir lieber. Ich würde ihn abnehmen,|wenn ich Seife hätte, um dir den Mund zu waschen."
LucyHadEnough,Das reicht. Das einzige Problem hier bist du. Meinet-|wegen kannst du so bleiben. (Sie lässt dich hängen.)
StayRightThere,"Sorry, ich befriedige keine Mädchen, aber ich kenne|da jemanden. (Sie geht durch den Raum davon.)"
CassiAppears,"(Lucy kommt mit Cassi zurück.) Hallo,|COMMON_PLAYERNAME, du siehst ja bezaubernd aus."
NewGirlAppears,"(Lucy kommt mit einem Mädchen zurück, das be-|geistert kreischt.) Aaaaa, ist die süß! Hi, ich bin Cassi."
GagOption,"Mal sehen, wie groß deine Klappe ist. Was darf's sein,|Höschen oder Socke? (Lucy lässt dich mit Cassi allein.)"
CassiLegTieA,"(Als du darüber nachdenkst, ob das Höschen|sauber war, faltet und fesselt Cassi deine Beine.)"
CassiLegTieB,"(Als du darüber nachdenkst, ob die Socke|sauber war, faltet und fesselt Cassi deine Beine.)"
CassiLegTieC,"(Es ist zu spät, das Klebeband hält das Höschen|in deinem Mund. Cassi faltet und fesselt deine Beine.)"
CassiLegTieD,"(Es ist zu spät, das Klebeband hält die Socke in|deinem Mund. Cassi faltet und fesselt deine Beine.)"
CassiLegTieE,(Die Kombi aus Unterwäsche und Klebeband dämpft|dich fast völlig ab. Cassi faltet und fesselt deine Beine.)
CassiLegTieF,"(Du denkst über deine Lage nach,|während Cassi deine Beine faltet und fesselt.)"
CassiCuffed,"Es gibt keinen Grund, mich nicht auch zu fesseln. (Sie|legt sich Handschellen an und schmiegt sich an dich.)"
CassiAnkleHold,(Cassi hat deine Beine fest im|Griff und hält sie auseinander.)
CassiErratic,"(Cassis Bewegungen werden unregelmäßig, als|sie es nicht schafft, ihren Kopf wegzuziehen.)"
