Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Du bist jetzt|meine Sklavin.,"(Sie zappelt vergebens, als du sie durch den Raum|führst und sie per Halsband an die Wand kettest.)",10,0,1,CanLeave()
0,0,0,,Wir beide werden|etwas Spaß haben.,(Sie schnaubt und versucht sich vergeblich zu wehren.|Mit dem Hals an der Wand kettest du deinen Spaß fest.),10,-1,0,CanLeave()
0,0,0,,"Ich bin hier, um dich|vor ihnen zu retten.","(Sie beruhigt sich, als du sie wegführst, zappelt dann|aber wieder, als du ihr das Halsband anlegst.)",10,0,0,CanLeave()
5,0,0,,Könntest du|mir helfen?,(Sie kichert und schüttelt den Kopf.),5,0,0,HelpMe()
5,0,0,Common_PlayerGagged,(Ihr deine|Fesseln zeigen.),(Sie kichert und schüttelt den Kopf.),5,0,0,HelpMe()
9,0,0,,Mit ihr reden.,,20,0,0,
9,0,0,,Würdest du mich|vielleicht fesseln?,"Na gut, gefesselt bist du auch nicht weniger hilfreich.|(Sie setzt ein paar deiner Sachen gegen dich ein.)",5,0,-1,RandomBondage()
9,0,0,Common_PlayerGagged,(Deinen Knebel|abnehmen.),,9,0,0,RemoveYourGag()
10,0,0,TwinGagged,(Ihren Knebel abnehmen.),"(Du nimmst den Knebel ab und sie ruft sofort los.)|Hilf mir hier raus, bevor Jenna wiederkommt, bitte!",10,0,0,RemoveGag()
10,0,0,!TwinGagged,Mit ihr reden.,"Bitte, du hattest deinen Spaß, kannst du jetzt irgendwie|diese Ketten aufkriegen, bevor Jenna wiederkommt?",20,0,0,LucyCheck()
10,0,0,Blinded,(Ihre Augenbinde|abnehmen.),"(Du nimmst ihre Augenbinde ab.|Sie blinzelt, als sie sich an das Licht gewöhnt.)",10,0,0,RemoveBlindfold()
10,0,0,,(Mit ihr spielen.),"(Du musterst sie und überlegst,|was du mit ihr tun könntest.)",200,0,0,
10,0,0,TwinRestrained,(Ihre Arme befreien.),"(Sobald ihre Arme frei sind, entfernt sie|schnell so viele Fesseln, wie sie kann.)",10,0,0,AlmostFreed()
10,0,0,TiedLegs,(Ihre Beine losbinden.),"(Du entfernst das Seil von ihren Beinen,|sodass sie einfacher stehen kann.)",10,0,0,UntieLegs()
10,0,0,!SkirtRemoved,(Ihren Rock|ausziehen.),(Du ziehst ihren Rock herunter|und enthüllst knappe Spitzenunterwäsche.),10,0,0,RemoveSkirt()
10,0,0,!UniformRemoved,(Ihre Uniform|ausziehen.),"(Du bekommst ihre Uniform nicht ab,|solange ihre Arme gefesselt sind.)",10,0,0,RemoveUniform()
10,0,0,!TwinRestrained,(Ihre Arme in|Ketten legen.),(Du zwingst ihre Arme nach hinten|und legst ihnen die Ketten an.),10,0,1,ManacleArms()
10,0,0,!Kneeling,(Ihre Beine in|Ketten legen.),(Du drückst sie auf die Knie und|legst ihren Beinen die Ketten an.),10,0,0,ManacleLegs()
