Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,!Common_PlayerRestrained,(Den Inhalt|untersuchen.),"Die Tasche scheint voll mit Metallmanschetten|zu sein, die in Gruppen mit Ketten verbunden sind.",10,0,0,
0,0,0,,(Die Umgebung|untersuchen.),"Bei der Tasche findest du nichts weiter Interessantes,|bis dir ein paar Metallringe unter der Tafel auffallen.",20,0,0,
0,0,0,SelfSlaveAvailable,(Die freien Ketten|anprobieren.),"Du nimmst einen Satz Ketten und probierst sie an, aber|ohne Vorhängeschlösser fallen sie einfach ab.",100,0,0,
0,0,0,,(Zurück zum Clubraum.),Du kannst nun Clubmitglieder fangen und sie mit|diesen Ketten als deine eigenen Sklaven halten.,40,0,0,Leave()
10,0,0,,(Die Ketten untersuchen.),"Es sind Ketten für Hals, Handgelenke und Knöchel.|Es gibt auch jeweils eine Kette, deren Ende frei ist.",10,0,0,ManaclesCheck()
10,0,0,,(Die restlichen|Inhalte untersuchen.),In der Tasche befinden sich auch viele Schlösser|zum Sichern der Ketten. Schlüssel siehst du hier nicht.,10,0,0,PadlocksCheck()
10,0,0,,(Die Ketten mitnehmen.),Die sind ziemlich schwer. Am besten lässt du|sie hier und bringst die Sklaven zu ihnen.,10,0,0,
10,0,0,,(Die Umgebung|untersuchen.),"Bei der Tasche findest du nichts weiter Interessantes,|bis dir ein paar Metallringe unter der Tafel auffallen.",20,0,0,
10,0,0,SelfSlaveAvailable,(Die freien Ketten|anprobieren.),"Du nimmst einen Satz Ketten und probierst sie an, aber|ohne Vorhängeschlösser fallen sie einfach ab.",100,0,0,
10,0,0,,(Zurück zum Clubraum.),Du kannst nun Clubmitglieder fangen und sie mit|diesen Ketten als deine eigenen Sklaven halten.,40,0,0,Leave()
20,0,0,,(Die Ringe untersuchen.),Sie scheinen fest in der Wand verankert zu sein|und sind wohl zur Verwendung mit den Ketten gedacht.,20,0,0,RingsCheck()
20,0,0,,(Zurück zur Tasche.),Die Tasche enthält eine|Menge metallener Gegenstände.,0,0,0,
20,0,0,SelfSlaveAvailable,(Die freien Ketten|anprobieren.),"Du nimmst einen Satz Ketten und probierst sie an, aber|ohne Vorhängeschlösser fallen sie einfach ab.",100,0,0,
20,0,0,,(Zurück zum Clubraum.),Du kannst nun Clubmitglieder fangen und sie mit|diesen Ketten als deine eigenen Sklaven halten.,40,0,0,Leave()
40,0,0,,(Nochmal die|Tasche ansehen.),"Die Aussicht, was du mit diesen|Fesseln tun könntest, ist verlockend.",0,0,0,
40,0,0,,(Dir ein paar|Sklaven fangen.),Auf zur Sklavenjagd.,40,0,0,Leave()
100,0,0,,(Die Fesseln|abschließen.),"Wer A sagt, muss auch B sagen. Du ziehst deine|Uniform aus und kettest deinen Hals an die Wand.",110,0,0,NeckManacle()
