Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,(Untersuchen.)ADD_MINUTES:1,Trotz des beruhigend weichen Silikons und der breiten|Unterseite wird der Stöpsel kaum einfach herausgleiten.,0,0,0,
0,0,0,Common_PlayerNotRestrained,(Ihn hineinstecken.)ADD_MINUTES:1,"Du entspannst dich und steckst den Stöpsel hinein. Er|dehnt und füllt deinen Arsch mehr, als du dachtest.",0,0,0,Insert()
10,0,0,HasLoosePlug,(Den freien Stöpsel|untersuchen.)ADD_MINUTES:1,Trotz des weichen Silikons und der breiten Unterseite|wird dieser Stöpsel wohl kaum einfach herausgleiten.,10,0,0,ShowImage()
10,0,0,!Common_PlayerChaste,(Ihn mit der Hand|herausnehmen.)ADD_MINUTES:1,"Du entspannst deinen Arsch und ziehst am Stöpsel.|Er dehnt dich erneut, bevor er herausploppt.",0,0,0,HandOut()
10,0,0,Common_PlayerChaste,(Ihn mit der Hand|herausnehmen.)ADD_MINUTES:1,"Der Keuschheitsgürtel bedeckt deinen Analstöpsel|und hindert dich daran, ihn herauszunehmen.",10,0,0,
10,0,0,,(Mit dem Arsch drücken.)ADD_MINUTES:1,"Der Stöpsel fühlt sich gnadenlos hart und dein Arsch|schmerzlich voll an, bis du dich wieder entspannst.",10,0,0,
10,0,0,!Common_PlayerChaste,(Ihn herauspressen.)ADD_MINUTES:1,"Du entspannst und windest dich und drückst, aber der|Stöpsel rührt sich nicht. Er muss auch gezogen werden.",10,0,0,
10,0,0,Common_PlayerChaste,(Ihn herauspressen.)ADD_MINUTES:1,"Du entspannst und windest dich und drückst, aber der|Keuschheitsgürtel hält den Stöpsel an seinem Platz.",10,0,0,
20,0,0,HasLoosePlug,(Den freien Stöpsel|untersuchen.)ADD_MINUTES:1,Trotz des weichen Silikons und der breiten Unterseite|wird dieser Stöpsel wohl kaum einfach herausgleiten.,20,0,0,ShowImage()
20,0,0,!Common_PlayerChaste,(Ihn herauspressen.)ADD_MINUTES:1,"Du entspannst und windest dich und drückst, aber der|Stöpsel rührt sich nicht. Du brauchst eine freie Hand.",20,0,0,
20,0,0,Common_PlayerChaste,(Ihn herauspressen.)ADD_MINUTES:1,"Du entspannst und windest dich und drückst, aber der|Keuschheitsgürtel hält den Stöpsel an seinem Platz.",20,0,0,
20,0,0,,(Mit dem Arsch drücken.)ADD_MINUTES:1,"Der Stöpsel fühlt sich gnadenlos hart und dein Arsch|schmerzlich voll an, bis du dich wieder entspannst.",20,0,0,
