Tag,Content
NoTitle,无
Love1,好女孩
Love2,被喜欢
Love3,被宠爱
Hate1,被反感
Hate2,被厌恶
Hate3,被痛恨
Domme1,女强人
Domme2,支配者
Domme3,女王
Sub1,害羞
Sub2,乖巧
Sub3,顺从
LoveDomme1,时髦
LoveDomme2,万人迷
LoveDomme3,公主
LoveSub1,书呆子
LoveSub2,甜心
LoveSub3,老师的走狗
HateDomme1,霸凌女
HateDomme2,班霸
HateDomme3,母夜叉
HateSub1,怪人
HateSub2,众矢之的
HateSub3,过街老鼠
Name,名称:
Title,标题：
Skills,技能
Level,等级
Profile,资料
Relationships,关系
KinbakuClub,紧缚俱乐部
Owner,主人:
NoOwner,没有主人
Lover,女友:
NoLover,单身
SkillArts,艺术
SkillFighting,格斗
SkillRopeMastery,绳艺
SkillSports,运动
SkillSeduction,诱惑
