Tag,Content
NoTitle,Kein Titel
Love1,Nettes Mädchen
Love2,Beliebt
Love3,Geschätzt
Hate1,Unbeliebt
Hate2,Verabscheut
Hate3,Verhasst
Domme1,Hartnäckig
Domme2,Dominant
Domme3,Königin
Sub1,Schüchtern
Sub2,Unterwürfig
Sub3,Gehorsam
LoveDomme1,Schick
LoveDomme2,Populär
LoveDomme3,Prinzessin
LoveSub1,Schleimerin
LoveSub2,Schätzchen
LoveSub3,Lehrers Liebling
HateDomme1,Arrogant
HateDomme2,Klassenchefin
HateDomme3,Domina
HateSub1,Spinnerin
HateSub2,Schwarzes Schaf
HateSub3,Außenseiterin
Name,Name:
Title,Titel:
Skills,Skills
Level,Level
Profile,Profil
Relationships,Beziehungen
KinbakuClub,Kinbaku-Club
Owner,Herrin:
NoOwner,Frei
Lover,Freundin:
NoLover,Single
SkillArts,Kunst
SkillFighting,Kampf
SkillRopeMastery,Meister der Seile
SkillSports,Sport
SkillSeduction,Verführung
