Path,Line,EnglishGagged,EnglishDecoded,German,GermanGagged
C007_LunchBreak_Natalie,137,Nhthlnm.,Natalie,Natalie,Nhthlnm
C007_LunchBreak_Natalie,219,whht thm...,What the...,Was zum...,Whhs zhm...
C007_LunchBreak_Natalie,229,hh nhthlnm thhngnhh.,???,???,???
C007_LunchBreak_Natalie,230,plmhfm nhthlnm|thrn Hmt hff.,Please Natalie turn it off.,"Bitte, Natalie, mach es aus.","Bhtte, Nhthlnm, mhhch eh aufh."
C007_LunchBreak_Natalie,231,fhrry,Sorry,Sorry,Fhrry
C007_LunchBreak_Natalie,232,ghn nhh rmlmhfm mm nhw?,Can you release me now?,Könnt ihr mich jetzt freilassen?,Ghnn ihh mihh jehht fheilahhen?
C007_LunchBreak_Natalie,233,plmhfm rmlmhfm mm mnff.,Please release me now.,Bitte lasst mich jetzt frei.,Bhtte lahht mihh jehht fhei.
C007_LunchBreak_Natalie,240,Lmt mm gh rnght nhw!,Let me go right now!,Lasst mich sofort frei!,Lahht mihh hofoht fhei!
C007_LunchBreak_Natalie,241,plmhfm rmlmhfm mm mnff.,Please release me now.,Bitte lasst mich jetzt frei.,Bhtte lahht mihh jehht fhei.
C007_LunchBreak_Natalie,242,jhft h lnttlm|lhngmr plmhfm.,Just a little longer please.,Nur noch etwas länger bitte.,Nuh nohh ethah länheh bhtte.
C101_KinbakuClub_BlindMansBuff,27,whnt plmhfm,wait please(?),Bitte wartet,Bhtth whtht
C101_KinbakuClub_Door,8,plmhfm lmt mm hht.,please let me out.,Bitte lasst mich raus.,Bhdhm lmft mmfh hhf
C101_KinbakuClub_Door,9,Bht Hm rmhlln nmmd|thm Rmftrhhm.,But I really need|the Restroom.,Aber ich muss ganz|dringend zur Toilette.,Hbh ifh mmf gmmf|dhimnd zh Thmlhmtm.
C101_KinbakuClub_Erica,74,Lmt mm gh,Let me go,Lass mich los.,Lahh mihh loh.
C101_KinbakuClub_Erica,78,Plmhfm nh mhrm.,Please no more.,Bitte nicht noch mehr.,Bhihhe nihhd nohh mhhr.
C101_KinbakuClub_Erica,79,N jhft nmmdmd h brmhth.,I just needed a breath.,Ich brauchte|nur kurz Luft.,Ihh bhauhhde|nuh guhhf Luhd.
C101_KinbakuClub_Erica,80,Nhh'rm jhft h grhml bntgh.,You're just a cruel bitch.,Du bist eine|grausame Schlampe.,Hu hift ahne|hrauhame Hlamhe.
C101_KinbakuClub_Erica,83,Wnll nhh lmt|mm gh nhw?,Will you let|me go now?,Lässt du|mich jetzt frei?,Lähhd hu|mihh jefd hrei?
C101_KinbakuClub_Erica,84,Ghn nhh plmhfhrm|mm nhw?,Can you pleasure|me now?,Kannst du mich|jetzt befriedigen?,Gannhd hu mihh|jefd hewriehigen?
